HCPCS Code,Modifier,Short Description,Mac Locality,Non-Facility Price,Facility Price,Non-Facility Limiting Charge,Facility Limiting Charge,GPCI Work,GPCI PE,GPCI MP,Proc Stat,Work RVU,NA Flag for Trans Non-FAC PE RVU,Transitioned Non-FAC PE RVU,NA Flag for Fully IMP Non-FAC PE RVU,Fully Implemented Non-FAC PE RVU,NA Flag for Trans facility PE RVU,Transitioned Facility PE RVU,NA Flag for Fully IMP FAC PE RVU,Fully Implemented Facility PE RVU,MP RVU,Transitioned Non-FAC Total,Transitioned Facility Total,Fully Implemented Non-Fac Total,Fully Implemented Facility Total,PCTC,Global,Pre Op,Intra Op,Post Op,Mult Surg,Bilt Surg,Asst Surg,Co Surg,Team Surg,Phys Supv,Endobase,Conv Fact,Not Used for Medicare,Diag Imaging Family Ind,Opps Non-Facility Payment Amount,Opps Facility Payment Amount,Non-Fac PE Used For Opps PMT AMT,Facility PE Used For Opps PMT AMT,Malpractice Used For Opps PMT AMT
31231,  ,Nasal endoscopy dx,1520200,171.79,61.42,187.68,67.1,1.0,0.911,1.033,A,1.1,,4.37,,4.37,,0.67,,0.67,0.16,5.63,1.93,5.63,1.93,0,0,0.0,0.0,0.0,2,2,1,0,0,9,,32.7442,,99,,,0,0,0
31231,  ,Nasal endoscopy dx,1510200,166.29,60.04,181.68,65.6,1.0,0.877,0.913,A,1.1,,4.37,,4.37,,0.67,,0.67,0.16,5.63,1.93,5.63,1.93,0,0,0.0,0.0,0.0,2,2,1,0,0,9,,32.7442,,99,,,0,0,0
31231,  ,Nasal endoscopy dx,1451250,180.82,60.52,197.55,66.12,1.0,0.993,0.518,A,1.1,,4.37,,4.37,,0.67,,0.67,0.16,5.63,1.93,5.63,1.93,0,0,0.0,0.0,0.0,2,2,1,0,0,9,,32.7442,,99,,,0,0,0
31231,  ,Nasal endoscopy dx,1441201,190.04,64.16,207.62,70.1,1.025,1.039,0.849,A,1.1,,4.37,,4.37,,0.67,,0.67,0.16,5.63,1.93,5.63,1.93,0,0,0.0,0.0,0.0,2,2,1,0,0,9,,32.7442,,99,,,0,0,0
31231,  ,Nasal endoscopy dx,1431240,188.68,63.41,206.13,69.27,1.0,1.034,0.898,A,1.1,,4.37,,4.37,,0.67,,0.67,0.16,5.63,1.93,5.63,1.93,0,0,0.0,0.0,0.0,2,2,1,0,0,9,,32.7442,,99,,,0,0,0
31231,  ,Nasal endoscopy dx,1421299,192.62,64.08,210.44,70.01,1.017,1.061,0.796,A,1.1,,4.37,,4.37,,0.67,,0.67,0.16,5.63,1.93,5.63,1.93,0,0,0.0,0.0,0.0,2,2,1,0,0,9,,32.7442,,99,,,0,0,0
31231,  ,Nasal endoscopy dx,1421201,213.5,68.48,233.24,74.81,1.042,1.197,0.894,A,1.1,,4.37,,4.37,,0.67,,0.67,0.16,5.63,1.93,5.63,1.93,0,0,0.0,0.0,0.0,2,2,1,0,0,9,,32.7442,,99,,,0,0,0
31231,  ,Nasal endoscopy dx,1411299,170.07,59.45,185.8,64.95,1.0,0.913,0.65,A,1.1,,4.37,,4.37,,0.67,,0.67,0.16,5.63,1.93,5.63,1.93,0,0,0.0,0.0,0.0,2,2,1,0,0,9,,32.7442,,99,,,0,0,0
31231,  ,Nasal endoscopy dx,1411203,184.26,61.66,201.31,67.36,1.0,1.012,0.656,A,1.1,,4.37,,4.37,,0.67,,0.67,0.16,5.63,1.93,5.63,1.93,0,0,0.0,0.0,0.0,2,2,1,0,0,9,,32.7442,,99,,,0,0,0
31231,  ,Nasal endoscopy dx,1329204,217.01,72.24,237.09,78.92,1.065,1.195,1.462,A,1.1,,4.37,,4.37,,0.67,,0.67,0.16,5.63,1.93,5.63,1.93,0,0,0.0,0.0,0.0,2,2,1,0,0,9,,32.7442,,99,,,0,0,0
31231,  ,Nasal endoscopy dx,1328299,175.65,60.67,191.9,66.29,1.0,0.949,0.732,A,1.1,,4.37,,4.37,,0.67,,0.67,0.16,5.63,1.93,5.63,1.93,0,0,0.0,0.0,0.0,2,2,1,0,0,9,,32.7442,,99,,,0,0,0
31231,  ,Nasal endoscopy dx,1320203,202.58,68.59,221.32,74.93,1.046,1.106,1.269,A,1.1,,4.37,,4.37,,0.67,,0.67,0.16,5.63,1.93,5.63,1.93,0,0,0.0,0.0,0.0,2,2,1,0,0,9,,32.7442,,99,,,0,0,0
31231,  ,Nasal endoscopy dx,1320202,220.08,74.7,240.44,81.61,1.065,1.2,1.911,A,1.1,,4.37,,4.37,,0.67,,0.67,0.16,5.63,1.93,5.63,1.93,0,0,0.0,0.0,0.0,2,2,1,0,0,9,,32.7442,,99,,,0,0,0
31231,  ,Nasal endoscopy dx,1320201,213.88,72.62,233.67,79.33,1.065,1.166,1.656,A,1.1,,4.37,,4.37,,0.67,,0.67,0.16,5.63,1.93,5.63,1.93,0,0,0.0,0.0,0.0,2,2,1,0,0,9,,32.7442,,99,,,0,0,0
31231,  ,Nasal endoscopy dx,1310200,199.25,67.07,217.68,73.27,1.022,1.091,1.207,A,1.1,,4.37,,4.37,,0.67,,0.67,0.16,5.63,1.93,5.63,1.93,0,0,0.0,0.0,0.0,2,2,1,0,0,9,,32.7442,,99,,,0,0,0
31231,  ,Nasal endoscopy dx,1250299,173.51,61.2,189.56,66.86,1.0,0.927,0.925,A,1.1,,4.37,,4.37,,0.67,,0.67,0.16,5.63,1.93,5.63,1.93,0,0,0.0,0.0,0.0,2,2,1,0,0,9,,32.7442,,99,,,0,0,0
31231,  ,Nasal endoscopy dx,1250201,193.73,66.15,211.65,72.27,1.024,1.053,1.177,A,1.1,,4.37,,4.37,,0.67,,0.67,0.16,5.63,1.93,5.63,1.93,0,0,0.0,0.0,0.0,2,2,1,0,0,9,,32.7442,,99,,,0,0,0
31231,  ,Nasal endoscopy dx,1240299,201.39,67.4,220.02,73.63,1.042,1.106,1.069,A,1.1,,4.37,,4.37,,0.67,,0.67,0.16,5.63,1.93,5.63,1.93,0,0,0.0,0.0,0.0,2,2,1,0,0,9,,32.7442,,99,,,0,0,0
31231,  ,Nasal endoscopy dx,1240201,211.43,69.44,230.99,75.87,1.064,1.172,1.032,A,1.1,,4.37,,4.37,,0.67,,0.67,0.16,5.63,1.93,5.63,1.93,0,0,0.0,0.0,0.0,2,2,1,0,0,9,,32.7442,,99,,,0,0,0
31231,  ,Nasal endoscopy dx,1230299,186.93,63.84,204.22,69.74,1.012,1.016,0.973,A,1.1,,4.37,,4.37,,0.67,,0.67,0.16,5.63,1.93,5.63,1.93,0,0,0.0,0.0,0.0,2,2,1,0,0,9,,32.7442,,99,,,0,0,0
