,,Medicare Part B Physician/Supplier BESS Data,,,
,,For Calendar Year 2008,,,
,,Code Ranges 30000 - 32999,,,
,,,,,
HCPCS,MODIFIER,DESCRIPTION,ALLOWED SERVICES,ALLOWED CHARGES,PAYMENT
30000,SG,RESPIRATORY,2,$140.10 ,$38.70 
,OTHER,,404,"$64,364.10 ","$50,366.91 "
,TOTAL,,406,"$64,504.20 ","$50,405.61 "
30020,SG,,6,$495.23 ,$396.18 
,OTHER,,275,"$36,679.42 ","$28,974.32 "
,TOTAL,,281,"$37,174.65 ","$29,370.50 "
30100,SG,,22,"$1,511.45 ","$1,209.16 "
,OTHER,,"3,161","$308,482.13 ","$235,358.53 "
,TOTAL,,"3,183","$309,993.58 ","$236,567.69 "
30110,SG,,6,$749.00 ,$599.21 
,OTHER,,702,"$129,819.15 ","$100,187.83 "
,TOTAL,,708,"$130,568.15 ","$100,787.04 "
30115,SG,,33,"$11,513.34 ","$9,171.94 "
,OTHER,,"1,042","$324,716.29 ","$256,926.14 "
,TOTAL,,"1,075","$336,229.63 ","$266,098.08 "
30117,SG,,66,"$33,549.73 ","$25,862.06 "
,OTHER,,"2,246","$945,275.26 ","$744,923.25 "
,TOTAL,,"2,312","$978,824.99 ","$770,785.31 "
30118,SG,,12,"$7,439.83 ","$5,951.87 "
,OTHER,,185,"$112,466.03 ","$89,038.38 "
,TOTAL,,197,"$119,905.86 ","$94,990.25 "
30120,SG,,18,"$6,814.13 ","$5,371.36 "
,OTHER,,368,"$140,604.26 ","$110,042.74 "
,TOTAL,,386,"$147,418.39 ","$115,414.10 "
30124,OTHER,,120,"$28,015.42 ","$22,011.19 "
,TOTAL,,120,"$28,015.42 ","$22,011.19 "
30125,SG,,5,"$3,652.40 ","$2,921.92 "
,80'S,,1,$98.46 ,$78.77 
,OTHER,,38,"$19,910.28 ","$15,928.20 "
,TOTAL,,44,"$23,661.14 ","$18,928.89 "
30130,SG,,249,"$86,335.12 ","$66,854.29 "
,OTHER,,"4,632","$1,194,728.82 ","$944,064.94 "
,TOTAL,,"4,881","$1,281,063.94 ","$1,010,919.23 "
3014F,OTHER,,23,$0.23 ,$0.23 
,TOTAL,,23,$0.23 ,$0.23 
30140,SG,,"1,206","$408,508.78 ","$322,958.84 "
,OTHER,,"19,965","$7,023,424.76 ","$5,526,926.07 "
,TOTAL,,"21,171","$7,431,933.54 ","$5,849,884.91 "
30150,SG,,5,"$3,781.56 ","$3,025.26 "
,OTHER,,421,"$237,839.61 ","$189,089.83 "
,TOTAL,,426,"$241,621.17 ","$192,115.09 "
30160,80'S,,4,$356.48 ,$285.18 
,OTHER,,71,"$39,471.58 ","$31,570.77 "
,TOTAL,,75,"$39,828.06 ","$31,855.95 "
3017F,OTHER,,13,$0.13 ,$0.11 
,TOTAL,,13,$0.13 ,$0.11 
30200,SG,,6,$198.89 ,$159.13 
,OTHER,,"8,083","$651,146.73 ","$496,175.69 "
,TOTAL,,"8,089","$651,345.62 ","$496,334.82 "
3021F,OTHER,,6,$0.06 ,$0.06 
,TOTAL,,6,$0.06 ,$0.06 
30210,OTHER,,878,"$76,349.24 ","$57,437.95 "
,TOTAL,,878,"$76,349.24 ","$57,437.95 "
3022F,OTHER,,1,$0.01 ,
,TOTAL,,1,$0.01 ,
30220,SG,,19,"$6,724.65 ","$5,379.70 "
,OTHER,,425,"$66,934.07 ","$51,037.44 "
,TOTAL,,444,"$73,658.72 ","$56,417.14 "
3028F,OTHER,,1,$0.01 ,$0.01 
,TOTAL,,1,$0.01 ,$0.01 
30300,OTHER,,"1,835","$316,873.26 ","$245,338.05 "
,TOTAL,,"1,835","$316,873.26 ","$245,338.05 "
30310,SG,,4,"$1,309.84 ","$1,047.87 "
,OTHER,,125,"$21,665.34 ","$16,872.10 "
,TOTAL,,129,"$22,975.18 ","$17,919.97 "
30320,SG,,2,$800.32 ,$640.26 
,OTHER,,4,"$1,196.63 ",$957.30 
,TOTAL,,6,"$1,996.95 ","$1,597.56 "
30400,SG,,4,"$3,541.61 ","$2,833.29 "
,OTHER,,109,"$95,923.31 ","$75,599.89 "
,TOTAL,,113,"$99,464.92 ","$78,433.18 "
30410,SG,,3,"$2,324.79 ","$1,859.83 "
,OTHER,,73,"$67,541.52 ","$53,729.13 "
,TOTAL,,76,"$69,866.31 ","$55,588.96 "
30420,SG,,21,"$17,954.29 ","$14,323.21 "
,OTHER,,398,"$457,218.70 ","$364,309.60 "
,TOTAL,,419,"$475,172.99 ","$378,632.81 "
30430,SG,,4,"$2,149.89 ","$1,719.91 "
,80'S,,1,$70.76 ,$56.61 
,OTHER,,76,"$50,040.85 ","$39,591.86 "
,TOTAL,,81,"$52,261.50 ","$41,368.38 "
30435,SG,,1,$460.90 ,$368.72 
,OTHER,,26,"$24,015.77 ","$19,135.54 "
,TOTAL,,27,"$24,476.67 ","$19,504.26 "
30450,SG,,2,"$2,345.04 ","$1,876.04 "
,80'S,,1,$237.20 ,$189.76 
,OTHER,,106,"$140,026.27 ","$111,550.75 "
,TOTAL,,109,"$142,608.51 ","$113,616.55 "
3046F,OTHER,,3,$0.03 ,$0.03 
,TOTAL,,3,$0.03 ,$0.03 
30460,SG,,2,"$2,063.95 ","$1,651.16 "
,OTHER,,11,"$5,865.44 ","$4,000.51 "
,TOTAL,,13,"$7,929.39 ","$5,651.67 "
30462,SG,,1,$57.50 ,$46.00 
,OTHER,,12,"$16,956.88 ","$13,547.50 "
,TOTAL,,13,"$17,014.38 ","$13,593.50 "
30465,SG,,89,"$128,058.00 ","$100,117.76 "
,80'S,,3,$422.25 ,$337.80 
,OTHER,,"1,538","$1,408,566.20 ","$1,111,064.27 "
,TOTAL,,"1,630","$1,537,046.45 ","$1,211,519.83 "
3048F,OTHER,,14,$0.14 ,$0.13 
,TOTAL,,14,$0.14 ,$0.13 
3049F,OTHER,,5,$0.05 ,$0.05 
,TOTAL,,5,$0.05 ,$0.05 
3050F,OTHER,,1,$0.01 ,$0.01 
,TOTAL,,1,$0.01 ,$0.01 
30520,SG,,"1,302","$758,835.65 ","$598,414.83 "
,OTHER,,"23,523","$9,747,519.91 ","$7,648,322.23 "
,TOTAL,,"24,825","$10,506,355.56 ","$8,246,737.06 "
30540,80'S,,1,$97.28 ,$77.82 
,OTHER,,19,"$9,269.50 ","$7,285.98 "
,TOTAL,,20,"$9,366.78 ","$7,363.80 "
30560,SG,,24,"$2,041.03 ","$1,525.66 "
,OTHER,,656,"$73,667.12 ","$57,946.16 "
,TOTAL,,680,"$75,708.15 ","$59,471.82 "
30580,SG,,9,"$7,299.84 ","$5,839.87 "
,OTHER,,599,"$286,018.69 ","$225,698.52 "
,TOTAL,,608,"$293,318.53 ","$231,538.39 "
3060F,OTHER,,2,$0.02 ,$0.01 
,TOTAL,,2,$0.02 ,$0.01 
30600,SG,,3,"$2,551.04 ","$2,040.83 "
,OTHER,,74,"$26,484.67 ","$20,604.89 "
,TOTAL,,77,"$29,035.71 ","$22,645.72 "
3061F,OTHER,,3,$0.03 ,$0.03 
,TOTAL,,3,$0.03 ,$0.03 
3062F,OTHER,,1,$0.01 ,$0.01 
,TOTAL,,1,$0.01 ,$0.01 
30620,SG,,3,"$3,583.49 ","$2,758.78 "
,OTHER,,182,"$94,734.76 ","$74,484.62 "
,TOTAL,,185,"$98,318.25 ","$77,243.40 "
30630,SG,,14,"$12,378.24 ","$9,333.24 "
,OTHER,,280,"$145,798.54 ","$114,278.96 "
,TOTAL,,294,"$158,176.78 ","$123,612.20 "
3066F,OTHER,,13,$0.13 ,$0.13 
,TOTAL,,13,$0.13 ,$0.13 
3072F,OTHER,,9,$0.09 ,$0.09 
,TOTAL,,9,$0.09 ,$0.09 
3073F,OTHER,,1,$0.01 ,$0.01 
,TOTAL,,1,$0.01 ,$0.01 
3074F,OTHER,,22,$0.22 ,$0.20 
,TOTAL,,22,$0.22 ,$0.20 
3075F,OTHER,,6,$0.06 ,$0.04 
,TOTAL,,6,$0.06 ,$0.04 
3077F,OTHER,,134,$1.34 ,$1.24 
,TOTAL,,134,$1.34 ,$1.24 
3078F,OTHER,,216,$2.16 ,$2.06 
,TOTAL,,216,$2.16 ,$2.06 
3079F,OTHER,,68,$0.68 ,$0.64 
,TOTAL,,68,$0.68 ,$0.64 
3080F,OTHER,,51,$0.51 ,$0.47 
,TOTAL,,51,$0.51 ,$0.47 
30801,SG,,24,"$4,330.22 ","$3,464.19 "
,OTHER,,"4,034","$700,635.77 ","$537,771.89 "
,TOTAL,,"4,058","$704,965.99 ","$541,236.08 "
30802,SG,,88,"$16,182.10 ","$12,945.64 "
,OTHER,,"4,279","$773,085.42 ","$605,364.97 "
,TOTAL,,"4,367","$789,267.52 ","$618,310.61 "
30901,SG,,7,$246.58 ,$157.96 
,OTHER,,"118,307","$8,713,614.33 ","$6,590,340.18 "
,TOTAL,,"118,314","$8,713,860.91 ","$6,590,498.14 "
30903,SG,,16,$918.85 ,$735.10 
,OTHER,,"45,522","$5,782,522.68 ","$4,466,060.07 "
,TOTAL,,"45,538","$5,783,441.53 ","$4,466,795.17 "
30905,SG,,7,$403.26 ,$276.42 
,OTHER,,"7,620","$927,905.18 ","$720,233.02 "
,TOTAL,,"7,627","$928,308.44 ","$720,509.44 "
30906,SG,,1,$69.64 ,
,OTHER,,"1,065","$193,771.29 ","$152,447.57 "
,TOTAL,,"1,066","$193,840.93 ","$152,447.57 "
30915,OTHER,,128,"$54,360.14 ","$43,410.34 "
,TOTAL,,128,"$54,360.14 ","$43,410.34 "
30920,OTHER,,164,"$108,692.52 ","$85,686.56 "
,TOTAL,,164,"$108,692.52 ","$85,686.56 "
30930,SG,,222,"$77,250.32 ","$60,750.04 "
,OTHER,,"3,553","$512,781.93 ","$405,700.09 "
,TOTAL,,"3,775","$590,032.25 ","$466,450.13 "
30999,OTHER,,307,"$73,830.66 ","$58,852.91 "
,TOTAL,,307,"$73,830.66 ","$58,852.91 "
3100F,OTHER,,1,$0.01 ,$0.01 
,TOTAL,,1,$0.01 ,$0.01 
31000,SG,,10,$693.71 ,$554.98 
,OTHER,,"3,954","$654,172.45 ","$511,643.44 "
,TOTAL,,"3,964","$654,866.16 ","$512,198.42 "
31002,OTHER,,205,"$31,532.03 ","$24,327.57 "
,TOTAL,,205,"$31,532.03 ","$24,327.57 "
31020,SG,,17,"$5,733.14 ","$4,586.50 "
,OTHER,,416,"$99,942.34 ","$79,106.82 "
,TOTAL,,433,"$105,675.48 ","$83,693.32 "
31030,SG,,15,"$11,621.21 ","$8,934.34 "
,OTHER,,634,"$279,943.72 ","$221,136.51 "
,TOTAL,,649,"$291,564.93 ","$230,070.85 "
31032,SG,,8,"$6,416.72 ","$5,133.39 "
,80'S,,1,$81.60 ,$65.28 
,OTHER,,346,"$167,877.60 ","$131,842.70 "
,TOTAL,,355,"$174,375.92 ","$137,041.37 "
31040,SG,,1,$938.75 ,$751.00 
,OTHER,,136,"$49,421.19 ","$38,891.39 "
,TOTAL,,137,"$50,359.94 ","$39,642.39 "
31050,SG,,2,"$1,045.88 ",$836.70 
,OTHER,,109,"$35,874.76 ","$28,351.68 "
,TOTAL,,111,"$36,920.64 ","$29,188.38 "
31051,SG,,4,"$2,566.21 ","$2,052.96 "
,OTHER,,93,"$42,577.78 ","$33,979.91 "
,TOTAL,,97,"$45,143.99 ","$36,032.87 "
31070,SG,,7,"$2,576.44 ","$2,061.16 "
,OTHER,,206,"$58,881.61 ","$46,773.76 "
,TOTAL,,213,"$61,458.05 ","$48,834.92 "
31075,80'S,,2,$188.60 ,$150.88 
,OTHER,,96,"$57,419.76 ","$43,719.18 "
,TOTAL,,98,"$57,608.36 ","$43,870.06 "
31080,80'S,,6,$605.84 ,$484.67 
,OTHER,,37,"$21,938.84 ","$17,467.05 "
,TOTAL,,43,"$22,544.68 ","$17,951.72 "
31081,80'S,,6,$652.08 ,$521.65 
,OTHER,,68,"$44,429.54 ","$35,543.60 "
,TOTAL,,74,"$45,081.62 ","$36,065.25 "
31084,80'S,,1,$82.19 ,$65.75 
,OTHER,,14,"$12,929.61 ","$10,242.41 "
,TOTAL,,15,"$13,011.80 ","$10,308.16 "
31085,80'S,,11,"$1,442.58 ","$1,154.08 "
,OTHER,,88,"$68,319.49 ","$54,607.32 "
,TOTAL,,99,"$69,762.07 ","$55,761.40 "
31086,80'S,,1,$75.78 ,$60.62 
,OTHER,,12,"$8,470.64 ","$6,776.54 "
,TOTAL,,13,"$8,546.42 ","$6,837.16 "
31087,80'S,,1,$159.37 ,$127.50 
,OTHER,,18,"$13,579.94 ","$10,809.12 "
,TOTAL,,19,"$13,739.31 ","$10,936.62 "
31090,SG,,9,"$5,340.27 ","$4,164.22 "
,OTHER,,375,"$393,009.35 ","$313,357.87 "
,TOTAL,,384,"$398,349.62 ","$317,522.09 "
3110F,OTHER,,3,$0.03 ,$0.03 
,TOTAL,,3,$0.03 ,$0.03 
3111F,OTHER,,2,$0.02 ,$0.02 
,TOTAL,,2,$0.02 ,$0.02 
3112F,OTHER,,1,$0.01 ,$0.01 
,TOTAL,,1,$0.01 ,$0.01 
3120F,OTHER,,12,$0.12 ,$0.12 
,TOTAL,,12,$0.12 ,$0.12 
31200,SG,,83,"$58,032.71 ","$46,256.88 "
,OTHER,,"1,088","$421,045.52 ","$334,520.26 "
,TOTAL,,"1,171","$479,078.23 ","$380,777.14 "
31201,SG,,4,"$4,556.44 ","$3,645.16 "
,OTHER,,296,"$201,587.71 ","$159,663.62 "
,TOTAL,,300,"$206,144.15 ","$163,308.78 "
31205,SG,,22,"$14,875.07 ","$11,900.04 "
,80'S,,49,"$6,013.23 ","$4,810.61 "
,OTHER,,602,"$388,049.55 ","$306,583.61 "
,TOTAL,,673,"$408,937.85 ","$323,294.26 "
31225,80'S,,63,"$16,113.76 ","$12,870.46 "
,OTHER,,785,"$1,202,872.48 ","$959,097.03 "
,TOTAL,,848,"$1,218,986.24 ","$971,967.49 "
31230,80'S,,2,$415.48 ,$332.38 
,OTHER,,49,"$80,977.80 ","$64,673.98 "
,TOTAL,,51,"$81,393.28 ","$65,006.36 "
31231,SG,,61,"$2,208.26 ","$1,766.66 "
,80'S,,1,$5.23 ,$4.18 
,OTHER,,"331,036","$56,493,261.05 ","$43,563,426.89 "
,TOTAL,,"331,098","$56,495,474.54 ","$43,565,197.73 "
31233,SG,,6,$367.90 ,$294.32 
,OTHER,,"6,694","$1,766,536.10 ","$1,380,445.30 "
,TOTAL,,"6,700","$1,766,904.00 ","$1,380,739.62 "
31235,SG,,1,$67.00 ,$53.60 
,OTHER,,"2,062","$814,348.31 ","$644,308.04 "
,TOTAL,,"2,063","$814,415.31 ","$644,361.64 "
31237,SG,,199,"$82,887.99 ","$65,731.27 "
,80'S,,1,$19.50 ,$15.60 
,OTHER,,"57,764","$19,397,582.13 ","$15,155,815.73 "
,TOTAL,,"57,964","$19,480,489.62 ","$15,221,562.60 "
31238,SG,,107,"$43,626.62 ","$33,863.01 "
,80'S,,1,$30.16 ,$24.13 
,OTHER,,"20,604","$6,139,320.46 ","$4,796,963.04 "
,TOTAL,,"20,712","$6,182,977.24 ","$4,830,850.18 "
31239,SG,,89,"$54,690.96 ","$43,743.02 "
,80'S,,14,"$1,382.77 ","$1,106.22 "
,OTHER,,"1,081","$638,610.32 ","$505,364.62 "
,TOTAL,,"1,184","$694,684.05 ","$550,213.86 "
31240,SG,,183,"$49,100.01 ","$38,911.51 "
,80'S,,1,$25.07 ,$20.06 
,OTHER,,"3,322","$427,012.43 ","$338,339.41 "
,TOTAL,,"3,506","$476,137.51 ","$377,270.98 "
31254,SG,,425,"$177,532.30 ","$140,337.56 "
,OTHER,,"7,205","$1,675,376.34 ","$1,319,467.83 "
,TOTAL,,"7,630","$1,852,908.64 ","$1,459,805.39 "
31255,SG,,"1,462","$967,780.91 ","$761,986.58 "
,80'S,,1,$30.64 ,$24.51 
,OTHER,,"23,630","$9,847,147.60 ","$7,770,918.97 "
,TOTAL,,"25,093","$10,814,959.15 ","$8,532,930.06 "
31256,SG,,783,"$275,332.15 ","$218,980.59 "
,OTHER,,"13,121","$2,313,538.69 ","$1,822,863.94 "
,TOTAL,,"13,904","$2,588,870.84 ","$2,041,844.53 "
31267,SG,,"1,150","$410,985.73 ","$325,084.71 "
,OTHER,,"20,030","$4,971,485.80 ","$3,928,875.59 "
,TOTAL,,"21,180","$5,382,471.53 ","$4,253,960.30 "
31276,SG,,710,"$231,345.15 ","$184,253.98 "
,80'S,,1,$38.59 ,$30.87 
,OTHER,,"13,211","$6,656,539.62 ","$5,252,825.76 "
,TOTAL,,"13,922","$6,887,923.36 ","$5,437,110.61 "
31287,SG,,325,"$110,780.18 ","$87,871.45 "
,80'S,,3,$85.06 ,$68.04 
,OTHER,,"5,724","$1,046,174.70 ","$824,899.87 "
,TOTAL,,"6,052","$1,157,039.94 ","$912,839.36 "
31288,SG,,253,"$85,888.08 ","$67,561.06 "
,80'S,,4,$178.55 ,$142.84 
,OTHER,,"6,426","$1,317,038.30 ","$1,042,281.49 "
,TOTAL,,"6,683","$1,403,104.93 ","$1,109,985.39 "
31290,80'S,,1,$95.21 ,$76.17 
,OTHER,,120,"$120,784.15 ","$95,940.43 "
,TOTAL,,121,"$120,879.36 ","$96,016.60 "
31291,80'S,,2,$261.21 ,$208.97 
,OTHER,,133,"$142,682.99 ","$114,010.46 "
,TOTAL,,135,"$142,944.20 ","$114,219.43 "
31292,80'S,,3,$300.54 ,$240.44 
