Medicare Part B Physician/Supplier BESS Data,,,,,
For Calendar Year 2003,,,,,
Code Ranges 30000 - 32999,,,,,
,,,,,
HCPCS,MODIFIER,DESCRIPTION,ALLOWED SERVICES,ALLOWED CHARGES,PAYMENT
,OTHER,,"51,119","$9,773,225.49 ","$7,737,748.21 "
,TOTAL,,"51,648","$9,998,872.39 ","$7,913,541.68 "
31629,SG,,158,"$60,501.11 ","$47,040.87 "
,OTHER,,"9,808","$1,251,485.48 ","$991,280.92 "
,TOTAL,,"9,966","$1,311,986.59 ","$1,038,321.79 "
31630,SG,,2,$888.28 ,$710.62 
,OTHER,,718,"$135,224.47 ","$106,554.45 "
,TOTAL,,720,"$136,112.75 ","$107,265.07 "
31631,SG,,2,$920.65 ,$656.52 
,80'S,,2,$90.30 ,$72.24 
,OTHER,,"1,414","$277,081.85 ","$219,593.06 "
,TOTAL,,"1,418","$278,092.80 ","$220,321.82 "
31635,SG,,7,"$3,007.85 ","$2,406.28 "
,OTHER,,"1,795","$339,946.53 ","$269,452.86 "
,TOTAL,,"1,802","$342,954.38 ","$271,859.14 "
31640,SG,,1,$478.95 ,$383.16 
,OTHER,,476,"$130,914.76 ","$103,850.30 "
,TOTAL,,477,"$131,393.71 ","$104,233.46 "
31641,SG,,15,"$6,417.43 ","$5,133.91 "
,OTHER,,"2,924","$776,398.80 ","$612,640.56 "
,TOTAL,,"2,939","$782,816.23 ","$617,774.47 "
31643,OTHER,,"1,557","$265,085.14 ","$209,213.01 "
,TOTAL,,"1,557","$265,085.14 ","$209,213.01 "
31645,SG,,33,"$7,878.76 ","$6,302.99 "
,80'S,,1,$13.97 ,$11.18 
,OTHER,,"27,916","$4,328,061.58 ","$3,444,278.71 "
,TOTAL,,"27,950","$4,335,954.31 ","$3,450,592.88 "
31646,OTHER,,"5,396","$738,404.58 ","$587,827.28 "
,TOTAL,,"5,396","$738,404.58 ","$587,827.28 "
31656,OTHER,,43,"$4,250.90 ","$3,311.43 "
,TOTAL,,43,"$4,250.90 ","$3,311.43 "
31700,OTHER,,54,"$3,290.73 ","$2,570.62 "
,TOTAL,,54,"$3,290.73 ","$2,570.62 "
31708,OTHER,,7,$395.47 ,$316.39 
,TOTAL,,7,$395.47 ,$316.39 
31710,OTHER,,61,"$1,593.04 ","$1,177.39 "
,TOTAL,,61,"$1,593.04 ","$1,177.39 "
31717,OTHER,,96,"$8,964.35 ","$7,171.35 "
,TOTAL,,96,"$8,964.35 ","$7,171.35 "
31720,OTHER,,293,"$16,237.23 ","$12,949.47 "
,TOTAL,,293,"$16,237.23 ","$12,949.47 "
31725,OTHER,,670,"$59,019.99 ","$47,206.79 "
,TOTAL,,670,"$59,019.99 ","$47,206.79 "
31730,SG,,10,"$2,476.82 ","$1,981.45 "
,OTHER,,570,"$82,452.25 ","$64,746.35 "
,TOTAL,,580,"$84,929.07 ","$66,727.80 "
31750,SG,,6,"$4,219.31 ","$2,852.52 "
,80'S,,8,"$1,306.48 ","$1,045.18 "
,OTHER,,207,"$163,420.06 ","$128,333.62 "
,TOTAL,,221,"$168,945.85 ","$132,231.32 "
31755,SG,,5,"$2,187.45 ","$1,749.95 "
,80'S,,2,$317.96 ,$254.37 
,OTHER,,41,"$44,543.48 ","$34,724.85 "
,TOTAL,,48,"$47,048.89 ","$36,729.17 "
31760,80'S,,1,$218.95 ,$175.16 
,OTHER,,21,"$17,758.86 ","$14,207.10 "
,TOTAL,,22,"$17,977.81 ","$14,382.26 "
31766,80'S,,3,$835.15 ,$668.12 
,OTHER,,4,"$6,799.35 ","$5,439.48 "
,TOTAL,,7,"$7,634.50 ","$6,107.60 "
31770,80'S,,2,$462.74 ,$370.19 
,OTHER,,15,"$16,123.46 ","$12,898.76 "
,TOTAL,,17,"$16,586.20 ","$13,268.95 "
31775,OTHER,,5,"$6,540.24 ","$5,232.18 "
,TOTAL,,5,"$6,540.24 ","$5,232.18 "
31780,80'S,,4,$688.27 ,$550.62 
,OTHER,,94,"$98,914.60 ","$77,250.83 "
,TOTAL,,98,"$99,602.87 ","$77,801.45 "
31781,80'S,,3,$689.89 ,$551.92 
,OTHER,,25,"$31,398.47 ","$25,118.79 "
,TOTAL,,28,"$32,088.36 ","$25,670.71 "
31785,80'S,,13,"$1,657.62 ","$1,246.09 "
,OTHER,,91,"$82,282.34 ","$65,825.91 "
,TOTAL,,104,"$83,939.96 ","$67,072.00 "
31786,80'S,,2,$497.20 ,$397.76 
,OTHER,,14,"$18,226.54 ","$14,581.25 "
,TOTAL,,16,"$18,723.74 ","$14,979.01 "
31800,80'S,,4,$360.59 ,$288.48 
,OTHER,,90,"$40,917.72 ","$32,056.54 "
,TOTAL,,94,"$41,278.31 ","$32,345.02 "
31805,80'S,,3,$340.40 ,$259.94 
,OTHER,,29,"$19,071.78 ","$15,177.50 "
,TOTAL,,32,"$19,412.18 ","$15,437.44 "
31820,SG,,17,"$5,078.07 ","$4,062.45 "
,OTHER,,255,"$108,820.39 ","$85,765.41 "
,TOTAL,,272,"$113,898.46 ","$89,827.86 "
31825,SG,,19,"$7,864.51 ","$6,291.62 "
,OTHER,,271,"$174,713.27 ","$139,190.46 "
,TOTAL,,290,"$182,577.78 ","$145,482.08 "
31830,SG,,12,"$5,236.83 ","$4,083.79 "
,80'S,,1,$38.38 ,$30.70 
,OTHER,,156,"$61,870.97 ","$48,481.72 "
,TOTAL,,169,"$67,146.18 ","$52,596.21 "
31899,80'S,,5,$316.99 ,$253.59 
,OTHER,,442,"$66,299.16 ","$52,883.10 "
,TOTAL,,447,"$66,616.15 ","$53,136.69 "
32000,SG,,455,"$145,635.28 ","$115,664.02 "
,80'S,,1,$13.97 ,$11.18 
,OTHER,,"161,223","$13,219,375.65 ","$10,476,291.30 "
,TOTAL,,"161,679","$13,365,024.90 ","$10,591,966.50 "
32002,SG,,3,"$1,330.80 ","$1,064.64 "
,OTHER,,"47,397","$5,399,136.28 ","$4,293,583.77 "
,TOTAL,,"47,400","$5,400,467.08 ","$4,294,648.41 "
32005,OTHER,,"8,857","$966,844.57 ","$768,901.92 "
,TOTAL,,"8,857","$966,844.57 ","$768,901.92 "
32020,SG,,5,"$1,935.57 ","$1,548.46 "
,OTHER,,"62,810","$13,050,535.67 ","$10,364,873.71 "
,TOTAL,,"62,815","$13,052,471.24 ","$10,366,422.17 "
32035,80'S,,27,"$2,259.33 ","$1,807.44 "
,OTHER,,214,"$107,883.98 ","$86,030.01 "
,TOTAL,,241,"$110,143.31 ","$87,837.45 "
32036,80'S,,34,"$3,481.52 ","$2,785.22 "
,OTHER,,305,"$179,657.70 ","$143,189.91 "
,TOTAL,,339,"$183,139.22 ","$145,975.13 "
32095,80'S,,272,"$22,970.64 ","$18,228.13 "
,OTHER,,"2,510","$1,257,332.97 ","$996,634.41 "
,TOTAL,,"2,782","$1,280,303.61 ","$1,014,862.54 "
32100,80'S,,642,"$92,416.57 ","$73,324.60 "
,OTHER,,"3,571","$2,900,089.19 ","$2,303,279.22 "
,TOTAL,,"4,213","$2,992,505.76 ","$2,376,603.82 "
32110,80'S,,91,"$17,422.60 ","$13,899.58 "
,OTHER,,560,"$625,893.86 ","$495,162.42 "
,TOTAL,,651,"$643,316.46 ","$509,062.00 "
32120,80'S,,107,"$11,712.35 ","$9,359.34 "
,OTHER,,923,"$529,110.61 ","$417,227.89 "
,TOTAL,,"1,030","$540,822.96 ","$426,587.23 "
32124,80'S,,218,"$19,232.62 ","$15,209.59 "
,OTHER,,"1,061","$538,888.35 ","$428,781.93 "
,TOTAL,,"1,279","$558,120.97 ","$443,991.52 "
32140,80'S,,30,"$4,105.70 ","$3,284.57 "
,OTHER,,125,"$99,449.90 ","$78,737.99 "
,TOTAL,,155,"$103,555.60 ","$82,022.56 "
32141,80'S,,137,"$16,826.93 ","$13,461.52 "
,OTHER,,820,"$537,123.93 ","$423,039.18 "
,TOTAL,,957,"$553,950.86 ","$436,500.70 "
32150,80'S,,42,"$4,707.60 ","$3,766.07 "
,OTHER,,263,"$180,626.08 ","$144,420.89 "
,TOTAL,,305,"$185,333.68 ","$148,186.96 "
32151,80'S,,10,"$1,115.72 ",$892.56 
,OTHER,,33,"$26,081.94 ","$20,865.58 "
,TOTAL,,43,"$27,197.66 ","$21,758.14 "
32160,80'S,,54,"$3,449.95 ","$2,725.14 "
,OTHER,,368,"$151,150.64 ","$119,968.77 "
,TOTAL,,422,"$154,600.59 ","$122,693.91 "
32200,80'S,,5,$665.37 ,$532.30 
,OTHER,,96,"$58,521.13 ","$45,927.14 "
,TOTAL,,101,"$59,186.50 ","$46,459.44 "
32201,80'S,,1,$26.33 ,$21.07 
,OTHER,,667,"$226,515.25 ","$180,545.29 "
,TOTAL,,668,"$226,541.58 ","$180,566.36 "
32215,80'S,,40,"$3,391.22 ","$2,712.96 "
,OTHER,,288,"$153,843.35 ","$122,409.60 "
,TOTAL,,328,"$157,234.57 ","$125,122.56 "
32220,80'S,,454,"$103,984.09 ","$82,756.14 "
,OTHER,,"3,194","$3,962,920.05 ","$3,141,228.37 "
,TOTAL,,"3,648","$4,066,904.14 ","$3,223,984.51 "
32225,80'S,,139,"$17,110.51 ","$13,682.68 "
,OTHER,,964,"$671,877.85 ","$531,460.51 "
,TOTAL,,"1,103","$688,988.36 ","$545,143.19 "
32310,80'S,,100,"$9,284.14 ","$7,367.02 "
,OTHER,,425,"$236,728.56 ","$188,377.65 "
,TOTAL,,525,"$246,012.70 ","$195,744.67 "
32320,80'S,,239,"$54,495.16 ","$43,456.77 "
,OTHER,,"1,328","$1,717,686.32 ","$1,362,589.86 "
,TOTAL,,"1,567","$1,772,181.48 ","$1,406,046.63 "
32400,SG,,6,"$1,502.61 ","$1,202.10 "
,80'S,,1,$7.93 ,$6.34 
,OTHER,,"2,318","$197,791.61 ","$156,546.14 "
,TOTAL,,"2,325","$199,302.15 ","$157,754.58 "
32402,80'S,,48,"$2,618.07 ","$2,089.91 "
,OTHER,,352,"$137,436.27 ","$108,816.28 "
,TOTAL,,400,"$140,054.34 ","$110,906.19 "
32405,SG,,74,"$22,017.86 ","$17,559.80 "
,OTHER,,"54,967","$5,360,728.06 ","$4,253,896.34 "
,TOTAL,,"55,041","$5,382,745.92 ","$4,271,456.14 "
32420,OTHER,,265,"$27,605.76 ","$22,084.56 "
,TOTAL,,265,"$27,605.76 ","$22,084.56 "
32440,80'S,,359,"$81,521.20 ","$64,473.93 "
,OTHER,,"1,520","$1,892,052.08 ","$1,505,870.82 "
,TOTAL,,"1,879","$1,973,573.28 ","$1,570,344.75 "
32442,80'S,,1,$282.00 ,$225.60 
,OTHER,,12,"$16,491.10 ","$13,192.90 "
,TOTAL,,13,"$16,773.10 ","$13,418.50 "
32445,80'S,,21,"$5,102.35 ","$4,081.89 "
,OTHER,,111,"$157,249.23 ","$125,660.88 "
,TOTAL,,132,"$162,351.58 ","$129,742.77 "
32480,80'S,,"4,044","$889,908.70 ","$706,767.90 "
,OTHER,,"17,515","$21,393,595.18 ","$16,952,205.21 "
,TOTAL,,"21,559","$22,283,503.88 ","$17,658,973.11 "
32482,80'S,,363,"$81,399.92 ","$64,720.62 "
,OTHER,,"1,475","$1,843,080.20 ","$1,457,121.55 "
,TOTAL,,"1,838","$1,924,480.12 ","$1,521,842.17 "
32484,80'S,,329,"$61,783.57 ","$49,328.10 "
,OTHER,,"1,494","$1,580,824.88 ","$1,254,823.01 "
,TOTAL,,"1,823","$1,642,608.45 ","$1,304,151.11 "
32486,80'S,,28,"$6,119.33 ","$4,790.05 "
,OTHER,,164,"$218,509.98 ","$172,841.95 "
,TOTAL,,192,"$224,629.31 ","$177,632.00 "
32488,80'S,,53,"$12,865.59 ","$10,292.50 "
,OTHER,,202,"$275,607.70 ","$220,246.03 "
,TOTAL,,255,"$288,473.29 ","$230,538.53 "
32491,80'S,,3,$640.41 ,$512.33 
,OTHER,,27,"$24,203.21 ","$19,362.54 "
,TOTAL,,30,"$24,843.62 ","$19,874.87 "
32500,80'S,,"1,748","$309,553.55 ","$245,271.29 "
,OTHER,,"9,657","$9,696,062.09 ","$7,706,005.74 "
,TOTAL,,"11,405","$10,005,615.64 ","$7,951,277.03 "
32501,80'S,,37,"$1,528.74 ","$1,223.02 "
,OTHER,,176,"$40,959.22 ","$32,546.29 "
,TOTAL,,213,"$42,487.96 ","$33,769.31 "
32520,80'S,,115,"$20,441.64 ","$16,175.81 "
,OTHER,,460,"$486,642.10 ","$386,942.03 "
,TOTAL,,575,"$507,083.74 ","$403,117.84 "
32522,80'S,,25,"$5,847.12 ","$4,659.55 "
,OTHER,,91,"$105,745.11 ","$84,596.13 "
,TOTAL,,116,"$111,592.23 ","$89,255.68 "
32525,80'S,,53,"$13,381.88 ","$10,705.44 "
,OTHER,,225,"$325,430.65 ","$259,072.61 "
,TOTAL,,278,"$338,812.53 ","$269,778.05 "
32540,80'S,,35,"$3,860.40 ","$3,088.35 "
,OTHER,,178,"$110,950.44 ","$88,723.18 "
,TOTAL,,213,"$114,810.84 ","$91,811.53 "
32601,80'S,,37,"$1,418.99 ","$1,135.18 "
,OTHER,,"1,821","$419,632.77 ","$331,788.42 "
,TOTAL,,"1,858","$421,051.76 ","$332,923.60 "
32602,80'S,,86,"$5,182.53 ","$4,140.79 "
,OTHER,,"3,884","$1,301,771.59 ","$1,032,487.65 "
,TOTAL,,"3,970","$1,306,954.12 ","$1,036,628.44 "
32603,OTHER,,32,"$10,643.31 ","$8,514.65 "
,TOTAL,,32,"$10,643.31 ","$8,514.65 "
32604,80'S,,1,$92.84 ,$74.27 
,OTHER,,38,"$15,649.68 ","$12,519.72 "
,TOTAL,,39,"$15,742.52 ","$12,593.99 "
32605,80'S,,2,$129.98 ,$103.99 
,OTHER,,39,"$13,346.57 ","$10,440.04 "
,TOTAL,,41,"$13,476.55 ","$10,544.03 "
32606,80'S,,11,$808.41 ,$639.70 
,OTHER,,265,"$125,276.65 ","$98,561.04 "
,TOTAL,,276,"$126,085.06 ","$99,200.74 "
32650,80'S,,641,"$60,050.75 ","$48,010.04 "
,OTHER,,"7,094","$3,991,053.83 ","$3,177,727.65 "
,TOTAL,,"7,735","$4,051,104.58 ","$3,225,737.69 "
32651,80'S,,131,"$13,992.27 ","$11,193.74 "
,OTHER,,"1,103","$752,741.13 ","$598,002.73 "
,TOTAL,,"1,234","$766,733.40 ","$609,196.47 "
32652,80'S,,145,"$25,243.02 ","$20,108.15 "
,OTHER,,"1,077","$1,078,361.69 ","$857,611.18 "
,TOTAL,,"1,222","$1,103,604.71 ","$877,719.33 "
32653,80'S,,79,"$7,786.78 ","$6,109.69 "
,OTHER,,578,"$375,042.33 ","$297,262.20 "
,TOTAL,,657,"$382,829.11 ","$303,371.89 "
32654,80'S,,12,"$1,325.39 ","$1,060.33 "
,OTHER,,96,"$62,543.80 ","$49,496.54 "
,TOTAL,,108,"$63,869.19 ","$50,556.87 "
32655,80'S,,66,"$7,701.11 ","$6,160.82 "
,OTHER,,529,"$359,289.17 ","$285,087.60 "
,TOTAL,,595,"$366,990.28 ","$291,248.42 "
32656,80'S,,110,"$12,870.85 ","$10,285.49 "
,OTHER,,482,"$320,003.11 ","$253,899.90 "
,TOTAL,,592,"$332,873.96 ","$264,185.39 "
32657,80'S,,851,"$102,947.27 ","$82,036.79 "
,OTHER,,"6,358","$4,621,084.53 ","$3,659,916.52 "
,TOTAL,,"7,209","$4,724,031.80 ","$3,741,953.31 "
32658,80'S,,6,$592.08 ,$473.67 
,OTHER,,34,"$19,980.94 ","$15,984.75 "
,TOTAL,,40,"$20,573.02 ","$16,458.42 "
32659,80'S,,44,"$4,758.62 ","$3,806.86 "
,OTHER,,415,"$250,875.13 ","$198,163.31 "
,TOTAL,,459,"$255,633.75 ","$201,970.17 "
32660,80'S,,2,$323.60 ,$258.88 
,OTHER,,19,"$10,575.38 ","$8,443.12 "
,TOTAL,,21,"$10,898.98 ","$8,702.00 "
32661,80'S,,4,$524.32 ,$419.46 
,OTHER,,24,"$15,777.57 ","$12,622.06 "
,TOTAL,,28,"$16,301.89 ","$13,041.52 "
32662,80'S,,76,"$8,416.19 ","$6,726.51 "
,OTHER,,251,"$205,756.24 ","$164,425.28 "
,TOTAL,,327,"$214,172.43 ","$171,151.79 "
32663,80'S,,397,"$75,346.59 ","$59,687.45 "
,OTHER,,"1,158","$1,283,848.56 ","$1,019,964.65 "
,TOTAL,,"1,555","$1,359,195.15 ","$1,079,652.10 "
32664,80'S,,5,$763.77 ,$559.17 
,OTHER,,94,"$81,188.25 ","$63,613.90 "
,TOTAL,,99,"$81,952.02 ","$64,173.07 "
32665,80'S,,10,"$1,086.58 ",$869.28 
,OTHER,,30,"$20,149.97 ","$15,880.48 "
,TOTAL,,40,"$21,236.55 ","$16,749.76 "
32800,80'S,,11,"$1,516.75 ","$1,213.41 "
,OTHER,,46,"$35,923.84 ","$27,920.56 "
,TOTAL,,57,"$37,440.59 ","$29,133.97 "
32810,80'S,,2,$293.74 ,$235.00 
,OTHER,,49,"$37,930.55 ","$30,344.47 "
,TOTAL,,51,"$38,224.29 ","$30,579.47 "
32815,80'S,,42,"$8,617.82 ","$6,894.27 "
,OTHER,,195,"$219,753.94 ","$175,764.14 "
,TOTAL,,237,"$228,371.76 ","$182,658.41 "
32820,80'S,,13,"$2,653.38 ","$2,122.72 "
,OTHER,,81,"$78,213.57 ","$62,570.81 "
,TOTAL,,94,"$80,866.95 ","$64,693.53 "
32851,80'S,,43,"$16,139.45 ","$12,871.08 "
,OTHER,,149,"$327,711.35 ","$262,104.30 "
,TOTAL,,192,"$343,850.80 ","$274,975.38 "
32852,80'S,,4,"$1,648.90 ","$1,319.12 "
,OTHER,,15,"$38,398.42 ","$30,718.74 "
,TOTAL,,19,"$40,047.32 ","$32,037.86 "
32853,80'S,,43,"$19,220.84 ","$15,155.45 "
,OTHER,,88,"$238,320.13 ","$188,742.25 "
,TOTAL,,131,"$257,540.97 ","$203,897.70 "
32854,80'S,,21,"$10,372.25 ","$8,297.80 "
,OTHER,,61,"$165,084.78 ","$130,616.68 "
,TOTAL,,82,"$175,457.03 ","$138,914.48 "
32900,80'S,,45,"$7,019.82 ","$5,615.84 "
,OTHER,,247,"$240,773.44 ","$192,496.17 "
,TOTAL,,292,"$247,793.26 ","$198,112.01 "
32905,80'S,,23,"$3,429.33 ","$2,743.46 "
,OTHER,,83,"$84,889.79 ","$67,772.32 "
,TOTAL,,106,"$88,319.12 ","$70,515.78 "
32906,80'S,,5,"$1,338.91 ","$1,071.12 "
,OTHER,,52,"$73,130.40 ","$57,484.60 "
,TOTAL,,57,"$74,469.31 ","$58,555.72 "
32940,80'S,,9,"$1,717.59 ","$1,374.07 "
,OTHER,,31,"$25,082.45 ","$19,518.35 "
,TOTAL,,40,"$26,800.04 ","$20,892.42 "
32960,OTHER,,69,"$5,910.98 ","$4,693.10 "
,TOTAL,,69,"$5,910.98 ","$4,693.10 "
32997,OTHER,,81,"$24,143.54 ","$19,210.98 "
,TOTAL,,81,"$24,143.54 ","$19,210.98 "
32999,80'S,,12,"$1,745.74 ","$1,396.59 "
,OTHER,,590,"$262,431.78 ","$209,943.50 "
,TOTAL,,602,"$264,177.52 ","$211,340.09 "
,,,,,
