Medicare Part B Physician/Supplier BESS Data,,,,,
For Calendar Year 2003,,,,,
Code Ranges 30000 - 32999,,,,,
,,,,,
HCPCS,MODIFIER,DESCRIPTION,ALLOWED SERVICES,ALLOWED CHARGES,PAYMENT
30801,SG,,153,"$29,883.32 ","$23,562.99 "
,OTHER,,"3,990","$479,008.28 ","$363,074.46 "
,TOTAL,,"4,143","$508,891.60 ","$386,637.45 "
30802,SG,,296,"$61,246.22 ","$47,802.63 "
,OTHER,,"2,781","$400,721.73 ","$312,695.60 "
,TOTAL,,"3,077","$461,967.95 ","$360,498.23 "
30901,OTHER,,"123,678","$9,442,439.15 ","$7,162,581.18 "
,TOTAL,,"123,678","$9,442,439.15 ","$7,162,581.18 "
30903,SG,,65,"$18,749.34 ","$14,837.05 "
,OTHER,,"44,206","$5,796,718.88 ","$4,500,194.84 "
,TOTAL,,"44,271","$5,815,468.22 ","$4,515,031.89 "
30905,SG,,28,"$7,714.45 ","$6,040.55 "
,OTHER,,"9,882","$1,276,288.89 ","$997,771.92 "
,TOTAL,,"9,910","$1,284,003.34 ","$1,003,812.47 "
30906,SG,,10,"$2,278.31 ","$1,822.68 "
,OTHER,,"1,188","$221,667.17 ","$175,511.12 "
,TOTAL,,"1,198","$223,945.48 ","$177,333.80 "
30915,OTHER,,202,"$85,348.69 ","$67,521.11 "
,TOTAL,,202,"$85,348.69 ","$67,521.11 "
30920,SG,,5,"$1,996.08 ","$1,596.86 "
,OTHER,,216,"$136,257.84 ","$108,234.08 "
,TOTAL,,221,"$138,253.92 ","$109,830.94 "
30930,SG,,468,"$204,940.56 ","$161,246.86 "
,OTHER,,"2,639","$216,307.73 ","$171,089.62 "
,TOTAL,,"3,107","$421,248.29 ","$332,336.48 "
30999,OTHER,,119,"$36,599.78 ","$29,270.60 "
,TOTAL,,119,"$36,599.78 ","$29,270.60 "
31000,OTHER,,"5,000","$643,989.31 ","$502,617.37 "
,TOTAL,,"5,000","$643,989.31 ","$502,617.37 "
31002,OTHER,,228,"$10,502.48 ","$7,588.59 "
,TOTAL,,228,"$10,502.48 ","$7,588.59 "
31020,SG,,124,"$38,981.94 ","$30,868.71 "
,OTHER,,654,"$107,388.38 ","$85,252.66 "
,TOTAL,,778,"$146,370.32 ","$116,121.37 "
31030,SG,,80,"$31,934.99 ","$24,926.55 "
,OTHER,,772,"$207,731.93 ","$163,743.55 "
,TOTAL,,852,"$239,666.92 ","$188,670.10 "
31032,SG,,48,"$25,043.44 ","$18,612.29 "
,OTHER,,434,"$189,377.73 ","$148,687.85 "
,TOTAL,,482,"$214,421.17 ","$167,300.14 "
31040,OTHER,,271,"$49,141.23 ","$38,631.02 "
,TOTAL,,271,"$49,141.23 ","$38,631.02 "
31050,SG,,7,"$1,652.92 ","$1,322.34 "
,OTHER,,151,"$40,078.86 ","$31,947.65 "
,TOTAL,,158,"$41,731.78 ","$33,269.99 "
31051,SG,,12,"$6,306.92 ","$5,045.53 "
,OTHER,,141,"$58,316.40 ","$45,916.43 "
,TOTAL,,153,"$64,623.32 ","$50,961.96 "
31070,SG,,37,"$9,462.61 ","$7,570.03 "
,OTHER,,265,"$63,707.32 ","$49,877.96 "
,TOTAL,,302,"$73,169.93 ","$57,447.99 "
31075,SG,,13,"$6,937.47 ","$5,172.46 "
,80'S,,5,$409.95 ,$288.38 
,OTHER,,114,"$63,665.00 ","$49,470.16 "
,TOTAL,,132,"$71,012.42 ","$54,931.00 "
31080,SG,,2,$922.75 ,$738.20 
,80'S,,4,$372.28 ,$297.81 
,OTHER,,46,"$20,376.06 ","$16,222.34 "
,TOTAL,,52,"$21,671.09 ","$17,258.35 "
31081,80'S,,5,$485.04 ,$388.04 
,OTHER,,68,"$37,694.70 ","$29,409.66 "
,TOTAL,,73,"$38,179.74 ","$29,797.70 "
31084,80'S,,4,$551.34 ,$441.08 
,OTHER,,41,"$32,681.57 ","$25,436.88 "
,TOTAL,,45,"$33,232.91 ","$25,877.96 "
31085,80'S,,17,"$1,831.45 ","$1,406.28 "
,OTHER,,111,"$80,808.72 ","$63,230.11 "
,TOTAL,,128,"$82,640.17 ","$64,636.39 "
31086,SG,,1,$639.52 ,$511.62 
,80'S,,4,$551.35 ,$441.08 
,OTHER,,22,"$18,824.35 ","$14,981.54 "
,TOTAL,,27,"$20,015.22 ","$15,934.24 "
31087,80'S,,8,$900.42 ,$720.34 
,OTHER,,24,"$18,864.11 ","$14,938.08 "
,TOTAL,,32,"$19,764.53 ","$15,658.42 "
31090,SG,,100,"$69,290.46 ","$54,186.73 "
,OTHER,,491,"$384,153.30 ","$304,562.52 "
,TOTAL,,591,"$453,443.76 ","$358,749.25 "
31200,SG,,238,"$56,464.05 ","$45,154.20 "
,OTHER,,881,"$195,787.28 ","$155,710.76 "
,TOTAL,,"1,119","$252,251.33 ","$200,864.96 "
31201,SG,,62,"$49,178.52 ","$38,725.62 "
,OTHER,,302,"$192,303.41 ","$149,996.00 "
,TOTAL,,364,"$241,481.93 ","$188,721.62 "
31205,SG,,83,"$24,258.98 ","$19,287.66 "
,80'S,,31,"$2,533.75 ","$2,003.05 "
,OTHER,,493,"$269,067.96 ","$213,733.06 "
,TOTAL,,607,"$295,860.69 ","$235,023.77 "
31225,80'S,,91,"$18,184.79 ","$14,230.70 "
,OTHER,,750,"$927,718.98 ","$736,554.04 "
,TOTAL,,841,"$945,903.77 ","$750,784.74 "
31230,80'S,,5,"$1,108.87 ",$887.10 
,OTHER,,75,"$100,623.86 ","$80,461.50 "
,TOTAL,,80,"$101,732.73 ","$81,348.60 "
31231,OTHER,,"196,981","$22,007,308.78 ","$16,833,335.40 "
,TOTAL,,"196,981","$22,007,308.78 ","$16,833,335.40 "
31233,SG,,16,"$4,460.85 ","$3,568.68 "
,OTHER,,"7,280","$1,369,814.74 ","$1,068,614.01 "
,TOTAL,,"7,296","$1,374,275.59 ","$1,072,182.69 "
31235,SG,,9,"$2,710.81 ","$2,158.66 "
,OTHER,,"1,948","$531,323.07 ","$420,089.46 "
,TOTAL,,"1,957","$534,033.88 ","$422,248.12 "
31237,SG,,742,"$318,105.10 ","$252,700.54 "
,OTHER,,"44,028","$11,111,801.39 ","$8,665,389.81 "
,TOTAL,,"44,770","$11,429,906.49 ","$8,918,090.35 "
31238,SG,,199,"$60,663.99 ","$47,328.74 "
,OTHER,,"14,337","$3,615,561.23 ","$2,836,040.48 "
,TOTAL,,"14,536","$3,676,225.22 ","$2,883,369.22 "
31239,SG,,258,"$157,004.45 ","$125,066.98 "
,80'S,,10,$890.03 ,$712.02 
,OTHER,,751,"$395,311.12 ","$314,687.25 "
,TOTAL,,"1,019","$553,205.60 ","$440,466.25 "
31240,SG,,537,"$141,160.80 ","$111,247.96 "
,OTHER,,"2,174","$205,975.43 ","$162,726.76 "
,TOTAL,,"2,711","$347,136.23 ","$273,974.72 "
31254,SG,,"1,416","$541,190.95 ","$424,801.21 "
,OTHER,,"5,767","$1,185,973.37 ","$930,822.85 "
,TOTAL,,"7,183","$1,727,164.32 ","$1,355,624.06 "
31255,SG,,"4,499","$3,300,761.49 ","$2,606,950.00 "
,OTHER,,"18,419","$7,502,600.97 ","$5,897,889.22 "
,TOTAL,,"22,918","$10,803,362.46 ","$8,504,839.22 "
31256,SG,,"2,697","$888,638.46 ","$701,631.10 "
,OTHER,,"10,691","$1,426,305.41 ","$1,121,415.75 "
,TOTAL,,"13,388","$2,314,943.87 ","$1,823,046.85 "
31267,SG,,"3,239","$1,082,274.09 ","$851,939.81 "
,OTHER,,"14,404","$3,533,947.82 ","$2,781,414.80 "
,TOTAL,,"17,643","$4,616,221.91 ","$3,633,354.61 "
31276,SG,,"1,925","$600,097.20 ","$474,824.96 "
,OTHER,,"8,081","$4,854,123.09 ","$3,812,958.26 "
,TOTAL,,"10,006","$5,454,220.29 ","$4,287,783.22 "
31287,SG,,892,"$271,492.15 ","$214,827.69 "
,80'S,,1,$54.75 ,$43.80 
,OTHER,,"4,139","$631,682.35 ","$498,401.48 "
