,,,Medicare Part B Physician/Supplier BESS Data,,
,,,For Calendar Year 2004,,
,,,Code Ranges 30000 - 32999,,
,,,,,
HCPCS,MODIFIER,DESCRIPTION,ALLOWED SERVICES,ALLOWED CHARGES,PAYMENT
,,,,,
30000,OTHER,RESPIRATORY,302,"$41,308.71 ","$32,141.82 "
,TOTAL,,302,"$41,308.71 ","$32,141.82 "
30020,OTHER,,204,"$25,830.76 ","$19,871.24 "
,TOTAL,,204,"$25,830.76 ","$19,871.24 "
30100,OTHER,,"3,254","$301,165.15 ","$232,921.41 "
,TOTAL,,"3,254","$301,165.15 ","$232,921.41 "
30110,OTHER,,871,"$158,458.36 ","$123,075.40 "
,TOTAL,,871,"$158,458.36 ","$123,075.40 "
30115,SG,,164,"$55,049.77 ","$43,309.78 "
,OTHER,,"1,213","$328,295.65 ","$259,820.15 "
,TOTAL,,"1,377","$383,345.42 ","$303,129.93 "
30117,SG,,286,"$126,955.07 ","$98,828.42 "
,OTHER,,"2,215","$527,352.21 ","$413,206.82 "
,TOTAL,,"2,501","$654,307.28 ","$512,035.24 "
30118,SG,,37,"$16,442.08 ","$13,010.83 "
,80'S,,12,$803.90 ,$643.13 
,OTHER,,264,"$142,104.45 ","$113,545.97 "
,TOTAL,,313,"$159,350.43 ","$127,199.93 "
30120,SG,,71,"$21,918.10 ","$17,215.11 "
,OTHER,,399,"$153,694.22 ","$120,660.00 "
,TOTAL,,470,"$175,612.32 ","$137,875.11 "
30124,OTHER,,177,"$37,729.91 ","$30,038.98 "
,TOTAL,,177,"$37,729.91 ","$30,038.98 "
30125,SG,,10,"$3,338.19 ","$2,670.53 "
,OTHER,,48,"$20,976.15 ","$16,709.09 "
,TOTAL,,58,"$24,314.34 ","$19,379.62 "
30130,SG,,"1,177","$396,545.64 ","$313,346.05 "
,OTHER,,"5,053","$948,042.78 ","$746,053.94 "
,TOTAL,,"6,230","$1,344,588.42 ","$1,059,399.99 "
30140,SG,,"3,788","$1,159,344.54 ","$911,001.46 "
,OTHER,,"14,233","$3,688,803.86 ","$2,889,045.96 "
,TOTAL,,"18,021","$4,848,148.40 ","$3,800,047.42 "
30150,SG,,48,"$21,846.69 ","$17,477.33 "
,OTHER,,361,"$185,834.94 ","$146,716.19 "
,TOTAL,,409,"$207,681.63 ","$164,193.52 "
30160,SG,,5,"$2,749.65 ","$2,199.72 "
,80'S,,10,$872.72 ,$689.93 
,OTHER,,82,"$40,620.54 ","$32,496.42 "
,TOTAL,,97,"$44,242.91 ","$35,386.07 "
30200,OTHER,,"8,137","$637,520.76 ","$486,174.12 "
,TOTAL,,"8,137","$637,520.76 ","$486,174.12 "
30210,OTHER,,975,"$94,386.70 ","$73,130.99 "
,TOTAL,,975,"$94,386.70 ","$73,130.99 "
30220,OTHER,,341,"$53,588.57 ","$41,325.58 "
,TOTAL,,341,"$53,588.57 ","$41,325.58 "
30300,OTHER,,"1,899","$316,970.26 ","$247,003.64 "
,TOTAL,,"1,899","$316,970.26 ","$247,003.64 "
30310,SG,,10,"$2,642.37 ","$2,059.63 "
,OTHER,,108,"$15,376.69 ","$12,301.37 "
,TOTAL,,118,"$18,019.06 ","$14,361.00 "
30320,SG,,3,"$1,301.23 ","$1,040.99 "
,OTHER,,20,"$5,162.25 ","$4,103.55 "
,TOTAL,,23,"$6,463.48 ","$5,144.54 "
30400,SG,,52,"$25,981.91 ","$19,938.45 "
,OTHER,,112,"$71,077.45 ","$55,688.03 "
,TOTAL,,164,"$97,059.36 ","$75,626.48 "
30410,SG,,16,"$10,179.09 ","$8,063.26 "
,OTHER,,66,"$53,681.04 ","$41,402.93 "
,TOTAL,,82,"$63,860.13 ","$49,466.19 "
30420,SG,,128,"$87,148.12 ","$68,364.71 "
,OTHER,,420,"$441,082.48 ","$350,097.47 "
,TOTAL,,548,"$528,230.60 ","$418,462.18 "
30430,SG,,17,"$7,163.47 ","$5,532.22 "
,80'S,,1,$83.72 ,$66.98 
,OTHER,,84,"$39,904.68 ","$31,389.54 "
,TOTAL,,102,"$47,151.87 ","$36,988.74 "
30435,SG,,7,"$4,567.54 ","$3,654.04 "
,OTHER,,29,"$24,346.73 ","$18,864.56 "
,TOTAL,,36,"$28,914.27 ","$22,518.60 "
30450,SG,,14,"$13,312.53 ","$10,050.01 "
,80'S,,1,$189.04 ,$151.23 
,OTHER,,69,"$87,283.94 ","$69,827.21 "
,TOTAL,,84,"$100,785.51 ","$80,028.45 "
30460,80'S,,1,$107.58 ,$86.06 
,OTHER,,12,"$4,634.44 ","$2,799.28 "
,TOTAL,,13,"$4,742.02 ","$2,885.34 "
30462,SG,,3,"$4,080.97 ","$3,264.78 "
,80'S,,1,$166.01 ,$132.81 
,OTHER,,17,"$20,443.88 ","$16,304.00 "
,TOTAL,,21,"$24,690.86 ","$19,701.59 "
30465,SG,,181,"$229,368.10 ","$180,421.06 "
,80'S,,4,$431.07 ,$344.86 
,OTHER,,840,"$588,474.68 ","$459,542.35 "
,TOTAL,,"1,025","$818,273.85 ","$640,308.27 "
30520,SG,,"4,840","$2,280,377.63 ","$1,790,021.91 "
,OTHER,,"19,689","$5,692,112.44 ","$4,461,899.92 "
,TOTAL,,"24,529","$7,972,490.07 ","$6,251,921.83 "
30540,SG,,3,"$1,783.96 ","$1,427.17 "
,80'S,,1,$39.95 ,$31.96 
,OTHER,,20,"$6,606.52 ","$5,270.82 "
,TOTAL,,24,"$8,430.43 ","$6,729.95 "
30545,OTHER,,1,$738.04 ,$590.43 
,TOTAL,,1,$738.04 ,$590.43 
30560,SG,,82,"$20,654.75 ","$15,870.31 "
,OTHER,,588,"$67,331.22 ","$52,727.14 "
,TOTAL,,670,"$87,985.97 ","$68,597.45 "
30580,SG,,34,"$21,141.42 ","$16,775.78 "
,OTHER,,648,"$305,505.15 ","$238,674.11 "
,TOTAL,,682,"$326,646.57 ","$255,449.89 "
30600,SG,,12,"$6,861.73 ","$5,489.38 "
,OTHER,,77,"$28,386.31 ","$22,307.31 "
,TOTAL,,89,"$35,248.04 ","$27,796.69 "
30620,SG,,23,"$21,415.77 ","$17,116.54 "
,OTHER,,172,"$52,270.45 ","$40,852.25 "
,TOTAL,,195,"$73,686.22 ","$57,968.79 "
30630,SG,,65,"$61,865.31 ","$47,739.14 "
,OTHER,,237,"$102,243.90 ","$79,644.31 "
,TOTAL,,302,"$164,109.21 ","$127,383.45 "
30801,SG,,150,"$28,581.82 ","$22,505.63 "
,OTHER,,"4,383","$449,195.12 ","$343,946.42 "
,TOTAL,,"4,533","$477,776.94 ","$366,452.05 "
30802,SG,,292,"$59,310.72 ","$46,441.93 "
,OTHER,,"2,884","$384,942.10 ","$301,726.17 "
,TOTAL,,"3,176","$444,252.82 ","$348,168.10 "
30901,OTHER,,"127,905","$10,025,439.91 ","$7,627,733.02 "
,TOTAL,,"127,905","$10,025,439.91 ","$7,627,733.02 "
30903,SG,,80,"$23,897.74 ","$18,979.33 "
,OTHER,,"46,341","$5,972,353.57 ","$4,645,545.54 "
,TOTAL,,"46,421","$5,996,251.31 ","$4,664,524.87 "
30905,SG,,20,"$5,955.84 ","$4,764.64 "
,OTHER,,"9,467","$1,215,657.36 ","$949,870.03 "
,TOTAL,,"9,487","$1,221,613.20 ","$954,634.67 "
30906,SG,,4,"$1,134.34 ",$907.48 
,OTHER,,"1,183","$224,180.25 ","$176,170.11 "
,TOTAL,,"1,187","$225,314.59 ","$177,077.59 "
30915,SG,,9,"$2,647.38 ","$2,117.90 "
,OTHER,,188,"$75,682.15 ","$59,420.88 "
,TOTAL,,197,"$78,329.53 ","$61,538.78 "
30920,SG,,6,"$2,428.60 ","$1,942.89 "
,80'S,,1,$121.22 ,$96.98 
,OTHER,,203,"$127,862.51 ","$101,555.29 "
,TOTAL,,210,"$130,412.33 ","$103,595.16 "
30930,SG,,"1,004","$438,762.21 ","$346,340.18 "
,OTHER,,"2,942","$209,609.54 ","$164,938.29 "
,TOTAL,,"3,946","$648,371.75 ","$511,278.47 "
30999,OTHER,,125,"$35,895.75 ","$28,582.87 "
,TOTAL,,125,"$35,895.75 ","$28,582.87 "
31000,OTHER,,"4,949","$729,200.36 ","$569,217.88 "
,TOTAL,,"4,949","$729,200.36 ","$569,217.88 "
31002,OTHER,,248,"$18,988.04 ","$14,782.05 "
,TOTAL,,248,"$18,988.04 ","$14,782.05 "
31020,SG,,111,"$33,312.85 ","$26,650.32 "
,OTHER,,595,"$101,362.38 ","$80,739.64 "
,TOTAL,,706,"$134,675.23 ","$107,389.96 "
31030,SG,,69,"$25,639.49 ","$20,188.44 "
