MEDICARE PART B PHYSICIAN/SUPPLIER BESS DATA,,,,,
FOR CALENDAR YEAR 2007,,,,,
,,,,,
HCPCS,MODIFIER,DESCRIPTION,ALLOWED SERVICES,ALLOWED CHARGES,PAYMENT
,OTHER,,230,"$105,663.32 ","$83,084.93 "
,TOTAL,,286,"$159,756.14 ","$125,618.39 "
3073F,OTHER,,21,$0.21 ,$0.21 
,TOTAL,,21,$0.21 ,$0.21 
3074F,OTHER,,7,$0.07 ,$0.07 
,TOTAL,,7,$0.07 ,$0.07 
3075F,OTHER,,2,$0.02 ,$0.02 
,TOTAL,,2,$0.02 ,$0.02 
30801,SG,,180,"$35,497.49 ","$28,075.45 "
,OTHER,,"4,080","$681,506.69 ","$523,618.77 "
,TOTAL,,"4,260","$717,004.18 ","$551,694.22 "
30802,SG,,372,"$73,549.53 ","$57,607.23 "
,OTHER,,"3,475","$539,097.74 ","$421,389.06 "
,TOTAL,,"3,847","$612,647.27 ","$478,996.29 "
30901,OTHER,,"121,445","$9,035,209.47 ","$6,841,482.23 "
,TOTAL,,"121,445","$9,035,209.47 ","$6,841,482.23 "
30903,SG,,92,"$5,556.85 ","$4,271.64 "
,OTHER,,"45,538","$5,654,980.20 ","$4,372,600.92 "
,TOTAL,,"45,630","$5,660,537.05 ","$4,376,872.56 "
30905,SG,,25,"$1,409.48 ","$1,071.63 "
,80'S,,1,$8.73 ,$6.98 
,OTHER,,"8,032","$980,338.38 ","$762,767.78 "
,TOTAL,,"8,058","$981,756.59 ","$763,846.39 "
30906,SG,,3,$155.14 ,$124.11 
,OTHER,,991,"$181,789.51 ","$143,022.94 "
,TOTAL,,994,"$181,944.65 ","$143,147.05 "
30915,SG,,5,"$1,307.78 ","$1,046.22 "
,OTHER,,111,"$49,107.28 ","$39,069.24 "
,TOTAL,,116,"$50,415.06 ","$40,115.46 "
30920,SG,,14,"$4,492.38 ","$3,593.90 "
,80'S,,1,$111.66 ,$89.33 
,OTHER,,144,"$100,166.33 ","$78,764.41 "
,TOTAL,,159,"$104,770.37 ","$82,447.64 "
30930,SG,,"1,032","$432,359.28 ","$342,415.27 "
,OTHER,,"2,652","$188,881.55 ","$149,188.27 "
,TOTAL,,"3,684","$621,240.83 ","$491,603.54 "
30999,80'S,,1,$29.95 ,$23.96 
,OTHER,,313,"$84,895.77 ","$66,934.20 "
,TOTAL,,314,"$84,925.72 ","$66,958.16 "
3100F,OTHER,,1,$0.01 ,$0.01 
,TOTAL,,1,$0.01 ,$0.01 
31000,OTHER,,"3,688","$572,867.54 ","$444,968.28 "
,TOTAL,,"3,688","$572,867.54 ","$444,968.28 "
31002,OTHER,,193,"$25,158.51 ","$19,532.04 "
,TOTAL,,193,"$25,158.51 ","$19,532.04 "
31020,SG,,83,"$23,413.40 ","$18,580.11 "
,OTHER,,371,"$84,247.68 ","$66,419.52 "
,TOTAL,,454,"$107,661.08 ","$84,999.63 "
31030,SG,,84,"$32,579.84 ","$25,850.72 "
,OTHER,,621,"$248,875.09 ","$196,688.44 "
,TOTAL,,705,"$281,454.93 ","$222,539.16 "
31032,SG,,52,"$27,082.78 ","$21,215.69 "
,OTHER,,384,"$178,885.95 ","$141,527.75 "
,TOTAL,,436,"$205,968.73 ","$162,743.44 "
31040,OTHER,,152,"$48,806.35 ","$38,400.01 "
,TOTAL,,152,"$48,806.35 ","$38,400.01 "
