MEDICARE PART B PHYSICIAN/SUPPLIER BESS DATA,,,,,
FOR CALENDAR YEAR 2007,,,,,
,,,,,
HCPCS,MODIFIER,DESCRIPTION,ALLOWED SERVICES,ALLOWED CHARGES,PAYMENT
,TOTAL,,"37,340","$2,427,869.75 ","$1,922,815.96 "
31624,SG,,414,"$120,187.15 ","$94,606.03 "
,OTHER,,"77,928","$6,939,925.15 ","$5,494,229.05 "
,TOTAL,,"78,342","$7,060,112.30 ","$5,588,835.08 "
31625,SG,,454,"$182,961.08 ","$144,469.58 "
,80'S,,1,$27.99 ,$22.39 
,OTHER,,"34,444","$5,222,234.72 ","$4,132,715.19 "
,TOTAL,,"34,899","$5,405,223.79 ","$4,277,207.16 "
31628,SG,,449,"$188,264.00 ","$147,072.92 "
,OTHER,,"44,496","$7,753,407.96 ","$6,125,508.48 "
,TOTAL,,"44,945","$7,941,671.96 ","$6,272,581.40 "
31629,SG,,92,"$38,045.13 ","$30,301.23 "
,OTHER,,"13,043","$2,615,380.56 ","$2,072,480.75 "
,TOTAL,,"13,135","$2,653,425.69 ","$2,102,781.98 "
31630,SG,,10,"$3,991.35 ","$3,193.08 "
,OTHER,,"1,324","$206,856.75 ","$160,653.15 "
,TOTAL,,"1,334","$210,848.10 ","$163,846.23 "
31631,SG,,2,$868.18 ,$694.54 
,OTHER,,822,"$162,615.56 ","$128,787.91 "
,TOTAL,,824,"$163,483.74 ","$129,482.45 "
31632,OTHER,,"3,184","$168,720.11 ","$133,672.49 "
,TOTAL,,"3,184","$168,720.11 ","$133,672.49 "
31633,OTHER,,"1,625","$107,484.50 ","$85,675.00 "
,TOTAL,,"1,625","$107,484.50 ","$85,675.00 "
31635,SG,,7,"$2,870.52 ","$1,963.67 "
,OTHER,,"2,084","$349,209.09 ","$277,299.57 "
,TOTAL,,"2,091","$352,079.61 ","$279,263.24 "
31636,OTHER,,581,"$99,369.57 ","$78,478.65 "
,TOTAL,,581,"$99,369.57 ","$78,478.65 "
31637,OTHER,,74,"$6,003.53 ","$4,802.82 "
,TOTAL,,74,"$6,003.53 ","$4,802.82 "
31638,OTHER,,251,"$54,602.81 ","$43,451.56 "
,TOTAL,,251,"$54,602.81 ","$43,451.56 "
31640,SG,,6,"$1,733.34 ","$1,386.67 "
,OTHER,,577,"$141,169.18 ","$110,884.01 "
,TOTAL,,583,"$142,902.52 ","$112,270.68 "
31641,SG,,5,"$2,016.31 ","$1,613.03 "
,80'S,,1,$38.84 ,$31.07 
,OTHER,,"2,957","$720,529.86 ","$567,790.62 "
,TOTAL,,"2,963","$722,585.01 ","$569,434.72 "
31643,SG,,2,$874.13 ,$699.30 
,OTHER,,"1,135","$180,807.44 ","$142,973.17 "
,TOTAL,,"1,137","$181,681.57 ","$143,672.47 "
31645,SG,,9,"$2,102.87 ","$1,682.29 "
,OTHER,,"28,535","$4,106,246.36 ","$3,261,710.69 "
,TOTAL,,"28,544","$4,108,349.23 ","$3,263,392.98 "
31646,OTHER,,"4,908","$619,987.05 ","$494,039.40 "
,TOTAL,,"4,908","$619,987.05 ","$494,039.40 "
31656,SG,,1,$332.07 ,$265.66 
,OTHER,,57,"$4,758.14 ","$3,806.54 "
,TOTAL,,58,"$5,090.21 ","$4,072.20 "
31715,OTHER,,8,$234.42 ,$167.01 
,TOTAL,,8,$234.42 ,$167.01 
31717,OTHER,,53,"$4,294.39 ","$3,435.51 "
,TOTAL,,53,"$4,294.39 ","$3,435.51 "
31720,OTHER,,214,"$10,656.88 ","$8,457.11 "
,TOTAL,,214,"$10,656.88 ","$8,457.11 "
31725,OTHER,,312,"$26,870.74 ","$21,263.17 "
,TOTAL,,312,"$26,870.74 ","$21,263.17 "
31730,SG,,4,$841.01 ,$672.82 
,OTHER,,735,"$106,490.49 ","$84,509.00 "
,TOTAL,,739,"$107,331.50 ","$85,181.82 "
31750,SG,,1,$762.25 ,$609.80 
,80'S,,36,"$7,335.12 ","$5,867.99 "
,OTHER,,171,"$187,195.57 ","$147,547.62 "
,TOTAL,,208,"$195,292.94 ","$154,025.41 "
31755,SG,,1,$440.95 ,$352.76 
,80'S,,2,$352.31 ,$281.85 
,OTHER,,35,"$48,602.13 ","$37,885.63 "
,TOTAL,,38,"$49,395.39 ","$38,520.24 "
31760,80'S,,6,"$1,155.59 ",$924.47 
,OTHER,,19,"$22,186.41 ","$17,749.11 "
,TOTAL,,25,"$23,342.00 ","$18,673.58 "
31766,OTHER,,6,"$9,718.42 ","$7,774.75 "
,TOTAL,,6,"$9,718.42 ","$7,774.75 "
31770,80'S,,9,"$1,358.29 ","$1,086.63 "
,OTHER,,37,"$30,765.66 ","$24,612.50 "
,TOTAL,,46,"$32,123.95 ","$25,699.13 "
31775,OTHER,,34,"$31,030.28 ","$24,824.21 "
,TOTAL,,34,"$31,030.28 ","$24,824.21 "
31780,80'S,,12,"$2,216.95 ","$1,773.55 "
,OTHER,,125,"$122,671.52 ","$96,346.73 "
,TOTAL,,137,"$124,888.47 ","$98,120.28 "
31781,80'S,,5,"$1,016.51 ",$813.21 
,OTHER,,27,"$30,931.99 ","$24,745.63 "
,TOTAL,,32,"$31,948.50 ","$25,558.84 "
31785,80'S,,15,"$1,934.09 ","$1,464.79 "
,OTHER,,121,"$97,313.07 ","$77,153.96 "
,TOTAL,,136,"$99,247.16 ","$78,618.75 "
31786,80'S,,1,$214.33 ,$171.46 
,OTHER,,10,"$14,358.81 ","$11,487.07 "
,TOTAL,,11,"$14,573.14 ","$11,658.53 "
31800,80'S,,1,$101.33 ,$81.06 
,OTHER,,73,"$40,549.48 ","$32,439.60 "
,TOTAL,,74,"$40,650.81 ","$32,520.66 "
31805,80'S,,4,$286.17 ,$228.93 
,OTHER,,29,"$16,390.64 ","$13,112.46 "
,TOTAL,,33,"$16,676.81 ","$13,341.39 "
31820,SG,,26,"$8,351.53 ","$6,576.42 "
,80'S,,3,$95.05 ,$76.04 
,OTHER,,246,"$68,329.45 ","$54,126.50 "
,TOTAL,,275,"$76,776.03 ","$60,778.96 "
31825,SG,,11,"$4,876.03 ","$3,900.82 "
,80'S,,1,$74.35 ,$59.48 
,OTHER,,264,"$112,883.15 ","$89,103.20 "
,TOTAL,,276,"$117,833.53 ","$93,063.50 "
31830,SG,,9,"$3,810.13 ","$3,048.10 "
,80'S,,1,$51.88 ,$41.50 
,OTHER,,149,"$42,737.47 ","$34,039.17 "
,TOTAL,,159,"$46,599.48 ","$37,128.77 "
31899,80'S,,4,$311.96 ,$249.57 
,OTHER,,390,"$55,263.48 ","$44,029.55 "
,TOTAL,,394,"$55,575.44 ","$44,279.12 "
32000,SG,,229,"$47,861.24 ","$37,991.57 "
,80'S,,2,$25.90 ,$20.72 
,OTHER,,"124,371","$9,611,457.67 ","$7,612,031.84 "
,TOTAL,,"124,602","$9,659,344.81 ","$7,650,044.13 "
32002,OTHER,,"91,095","$10,944,372.96 ","$8,685,568.49 "
,TOTAL,,"91,095","$10,944,372.96 ","$8,685,568.49 "
32005,OTHER,,"6,430","$635,923.13 ","$505,646.36 "
,TOTAL,,"6,430","$635,923.13 ","$505,646.36 "
32019,OTHER,,"3,856","$877,373.70 ","$696,929.30 "
,TOTAL,,"3,856","$877,373.70 ","$696,929.30 "
32020,80'S,,4,$114.17 ,$91.33 
,OTHER,,"64,724","$11,387,830.60 ","$9,046,434.88 "
,TOTAL,,"64,728","$11,387,944.77 ","$9,046,526.21 "
32035,80'S,,13,$846.98 ,$677.60 
,OTHER,,188,"$85,605.01 ","$68,276.89 "
,TOTAL,,201,"$86,451.99 ","$68,954.49 "
32036,80'S,,27,"$2,412.64 ","$1,930.13 "
,OTHER,,278,"$160,427.83 ","$127,647.80 "
,TOTAL,,305,"$162,840.47 ","$129,577.93 "
32095,80'S,,193,"$14,196.63 ","$11,211.54 "
,OTHER,,"2,118","$906,057.88 ","$720,880.94 "
,TOTAL,,"2,311","$920,254.51 ","$732,092.48 "
32100,80'S,,359,"$48,600.87 ","$38,632.65 "
,OTHER,,"2,738","$1,990,755.60 ","$1,585,474.53 "
,TOTAL,,"3,097","$2,039,356.47 ","$1,624,107.18 "
32110,80'S,,84,"$15,146.35 ","$12,117.12 "
,OTHER,,552,"$587,955.86 ","$468,081.99 "
,TOTAL,,636,"$603,102.21 ","$480,199.11 "
32120,80'S,,110,"$12,559.18 ","$9,911.58 "
,OTHER,,941,"$526,200.45 ","$417,134.71 "
,TOTAL,,"1,051","$538,759.63 ","$427,046.29 "
32124,80'S,,394,"$32,941.64 ","$26,318.97 "
,OTHER,,"1,634","$785,305.22 ","$626,453.84 "
,TOTAL,,"2,028","$818,246.86 ","$652,772.81 "
32140,80'S,,22,"$3,064.79 ","$2,451.86 "
,OTHER,,105,"$70,409.53 ","$56,260.58 "
,TOTAL,,127,"$73,474.32 ","$58,712.44 "
32141,80'S,,83,"$13,767.61 ","$11,014.08 "
,OTHER,,591,"$537,112.78 ","$428,021.34 "
,TOTAL,,674,"$550,880.39 ","$439,035.42 "
32150,80'S,,44,"$5,045.61 ","$4,036.46 "
,OTHER,,256,"$185,030.68 ","$148,024.45 "
,TOTAL,,300,"$190,076.29 ","$152,060.91 "
32151,80'S,,6,$869.02 ,$654.11 
,OTHER,,37,"$25,296.43 ","$19,980.17 "
,TOTAL,,43,"$26,165.45 ","$20,634.28 "
32160,80'S,,44,"$2,751.76 ","$2,201.39 "
,OTHER,,336,"$145,852.60 ","$115,448.64 "
,TOTAL,,380,"$148,604.36 ","$117,650.03 "
32200,80'S,,8,$996.50 ,$686.98 
,OTHER,,108,"$78,161.08 ","$61,235.36 "
,TOTAL,,116,"$79,157.58 ","$61,922.34 "
32201,80'S,,1,$32.88 ,$26.30 
,OTHER,,524,"$103,680.45 ","$82,502.81 "
,TOTAL,,525,"$103,713.33 ","$82,529.11 "
32215,80'S,,22,"$1,402.43 ","$1,121.91 "
,OTHER,,243,"$121,959.25 ","$97,240.27 "
,TOTAL,,265,"$123,361.68 ","$98,362.18 "
32220,80'S,,359,"$84,608.63 ","$67,328.60 "
,OTHER,,"3,584","$4,507,614.63 ","$3,581,188.81 "
,TOTAL,,"3,943","$4,592,223.26 ","$3,648,517.41 "
32225,80'S,,137,"$15,980.89 ","$12,784.68 "
,OTHER,,"1,060","$733,299.84 ","$583,432.82 "
,TOTAL,,"1,197","$749,280.73 ","$596,217.50 "
32310,80'S,,72,"$6,135.19 ","$4,902.53 "
,OTHER,,343,"$176,744.32 ","$140,372.39 "
,TOTAL,,415,"$182,879.51 ","$145,274.92 "
32320,80'S,,207,"$48,247.51 ","$38,330.00 "
,OTHER,,"1,249","$1,605,750.89 ","$1,280,078.41 "
,TOTAL,,"1,456","$1,653,998.40 ","$1,318,408.41 "
32400,SG,,2,$652.40 ,$521.92 
,80'S,,2,$22.29 ,$17.83 
,OTHER,,"1,684","$137,815.65 ","$109,468.43 "
,TOTAL,,"1,688","$138,490.34 ","$110,008.18 "
32402,80'S,,52,"$2,723.61 ","$2,178.87 "
,OTHER,,371,"$120,010.40 ","$95,801.46 "
,TOTAL,,423,"$122,734.01 ","$97,980.33 "
32405,SG,,90,"$28,939.26 ","$23,151.06 "
,OTHER,,"57,800","$5,337,365.43 ","$4,217,540.21 "
,TOTAL,,"57,890","$5,366,304.69 ","$4,240,691.27 "
32420,OTHER,,286,"$27,857.16 ","$21,813.36 "
,TOTAL,,286,"$27,857.16 ","$21,813.36 "
32440,80'S,,231,"$55,105.39 ","$44,056.68 "
,OTHER,,"1,065","$1,372,452.01 ","$1,085,090.83 "
,TOTAL,,"1,296","$1,427,557.40 ","$1,129,147.51 "
32442,80'S,,4,"$1,528.76 ","$1,223.01 "
,OTHER,,13,"$25,859.06 ","$20,687.26 "
,TOTAL,,17,"$27,387.82 ","$21,910.27 "
32445,80'S,,17,"$8,117.14 ","$6,493.69 "
,OTHER,,85,"$236,520.32 ","$186,850.59 "
,TOTAL,,102,"$244,637.46 ","$193,344.28 "
32480,80'S,,"3,196","$726,517.87 ","$578,784.97 "
,OTHER,,"17,341","$20,742,060.08 ","$16,502,863.21 "
,TOTAL,,"20,537","$21,468,577.95 ","$17,081,648.18 "
32482,80'S,,285,"$69,495.10 ","$55,548.53 "
,OTHER,,"1,408","$1,770,953.02 ","$1,411,585.67 "
,TOTAL,,"1,693","$1,840,448.12 ","$1,467,134.20 "
32484,80'S,,260,"$54,094.30 ","$43,255.37 "
,OTHER,,"1,425","$1,614,565.26 ","$1,287,614.20 "
,TOTAL,,"1,685","$1,668,659.56 ","$1,330,869.57 "
32486,80'S,,19,"$6,396.48 ","$5,117.18 "
,OTHER,,145,"$254,893.54 ","$200,863.70 "
,TOTAL,,164,"$261,290.02 ","$205,980.88 "
32488,80'S,,30,"$10,625.91 ","$8,395.96 "
,OTHER,,137,"$262,191.01 ","$208,082.44 "
,TOTAL,,167,"$272,816.92 ","$216,478.40 "
32491,80'S,,14,"$3,926.67 ","$3,141.32 "
,OTHER,,109,"$162,313.53 ","$127,015.08 "
,TOTAL,,123,"$166,240.20 ","$130,156.40 "
32500,80'S,,"1,363","$254,169.86 ","$202,693.87 "
,OTHER,,"9,178","$9,517,608.23 ","$7,576,022.11 "
,TOTAL,,"10,541","$9,771,778.09 ","$7,778,715.98 "
32501,80'S,,39,"$1,490.96 ","$1,192.75 "
,OTHER,,237,"$49,981.62 ","$39,803.54 "
,TOTAL,,276,"$51,472.58 ","$40,996.29 "
32503,80'S,,22,"$6,215.32 ","$4,867.43 "
,OTHER,,114,"$174,850.86 ","$139,775.92 "
,TOTAL,,136,"$181,066.18 ","$144,643.35 "
32504,80'S,,17,"$5,151.54 ","$4,021.16 "
,OTHER,,101,"$180,689.96 ","$142,154.85 "
,TOTAL,,118,"$185,841.50 ","$146,176.01 "
32540,80'S,,34,"$6,787.62 ","$5,419.08 "
,OTHER,,197,"$221,638.04 ","$176,010.75 "
,TOTAL,,231,"$228,425.66 ","$181,429.83 "
32601,80'S,,38,"$1,100.17 ",$880.15 
,OTHER,,"2,413","$465,318.64 ","$370,948.16 "
,TOTAL,,"2,451","$466,418.81 ","$371,828.31 "
32602,80'S,,76,"$3,372.10 ","$2,693.23 "
,OTHER,,"3,622","$1,019,257.81 ","$808,561.48 "
,TOTAL,,"3,698","$1,022,629.91 ","$811,254.71 "
32603,OTHER,,49,"$13,171.70 ","$10,537.29 "
,TOTAL,,49,"$13,171.70 ","$10,537.29 "
32604,OTHER,,35,"$11,359.38 ","$8,589.23 "
,TOTAL,,35,"$11,359.38 ","$8,589.23 "
32605,OTHER,,46,"$13,317.03 ","$10,548.84 "
,TOTAL,,46,"$13,317.03 ","$10,548.84 "
32606,80'S,,13,$848.33 ,$632.03 
,OTHER,,314,"$127,004.00 ","$101,376.46 "
,TOTAL,,327,"$127,852.33 ","$102,008.49 "
32650,80'S,,746,"$66,597.63 ","$52,956.11 "
,OTHER,,"8,590","$4,544,769.25 ","$3,617,691.97 "
,TOTAL,,"9,336","$4,611,366.88 ","$3,670,648.08 "
32651,80'S,,180,"$27,235.52 ","$21,640.87 "
,OTHER,,"1,513","$1,317,239.58 ","$1,049,719.57 "
,TOTAL,,"1,693","$1,344,475.10 ","$1,071,360.44 "
32652,80'S,,293,"$71,887.85 ","$57,355.48 "
,OTHER,,"1,798","$2,461,775.80 ","$1,956,270.84 "
,TOTAL,,"2,091","$2,533,663.65 ","$2,013,626.32 "
32653,80'S,,147,"$17,263.73 ","$13,712.58 "
,OTHER,,797,"$616,909.08 ","$490,831.54 "
,TOTAL,,944,"$634,172.81 ","$504,544.12 "
32654,80'S,,18,"$2,837.02 ","$2,269.59 "
,OTHER,,137,"$123,515.40 ","$98,494.88 "
,TOTAL,,155,"$126,352.42 ","$100,764.47 "
32655,80'S,,67,"$8,302.08 ","$6,549.73 "
,OTHER,,719,"$523,000.75 ","$414,746.49 "
,TOTAL,,786,"$531,302.83 ","$421,296.22 "
32656,80'S,,198,"$20,023.87 ","$15,965.65 "
,OTHER,,612,"$377,417.23 ","$300,749.48 "
,TOTAL,,810,"$397,441.10 ","$316,715.13 "
32657,80'S,,"1,272","$137,901.07 ","$109,582.92 "
,OTHER,,"9,407","$6,044,464.71 ","$4,799,801.01 "
,TOTAL,,"10,679","$6,182,365.78 ","$4,909,383.93 "
32658,80'S,,4,$464.36 ,$371.49 
,OTHER,,82,"$46,101.80 ","$36,217.45 "
,TOTAL,,86,"$46,566.16 ","$36,588.94 "
32659,80'S,,49,"$5,038.74 ","$4,031.00 "
,OTHER,,502,"$296,884.55 ","$237,031.01 "
,TOTAL,,551,"$301,923.29 ","$241,062.01 "
32660,OTHER,,5,"$3,605.00 ","$2,883.99 "
,TOTAL,,5,"$3,605.00 ","$2,883.99 "
32661,80'S,,4,$312.54 ,$250.03 
,OTHER,,38,"$24,285.43 ","$19,428.34 "
,TOTAL,,42,"$24,597.97 ","$19,678.37 "
32662,80'S,,68,"$9,060.91 ","$7,248.76 "
,OTHER,,327,"$243,351.87 ","$193,757.25 "
,TOTAL,,395,"$252,412.78 ","$201,006.01 "
32663,80'S,,785,"$166,804.89 ","$132,713.73 "
,OTHER,,"2,955","$3,654,352.34 ","$2,902,971.02 "
,TOTAL,,"3,740","$3,821,157.23 ","$3,035,684.75 "
32664,80'S,,7,$846.05 ,$676.84 
,OTHER,,77,"$62,793.19 ","$49,661.66 "
,TOTAL,,84,"$63,639.24 ","$50,338.50 "
32665,80'S,,20,"$3,438.83 ","$2,751.05 "
,OTHER,,63,"$61,265.80 ","$48,704.76 "
,TOTAL,,83,"$64,704.63 ","$51,455.81 "
32800,80'S,,6,$792.05 ,$549.65 
,OTHER,,84,"$47,979.08 ","$38,083.28 "
,TOTAL,,90,"$48,771.13 ","$38,632.93 "
32810,80'S,,6,$648.79 ,$512.82 
,OTHER,,48,"$35,632.20 ","$28,505.73 "
,TOTAL,,54,"$36,280.99 ","$29,018.55 "
32815,80'S,,33,"$11,911.40 ","$9,495.45 "
,OTHER,,216,"$394,326.35 ","$313,767.04 "
,TOTAL,,249,"$406,237.75 ","$323,262.49 "
32820,80'S,,6,"$1,091.52 ",$873.22 
,OTHER,,35,"$39,756.53 ","$31,805.22 "
,TOTAL,,41,"$40,848.05 ","$32,678.44 "
32851,80'S,,52,"$22,212.16 ","$17,478.13 "
,OTHER,,178,"$429,247.16 ","$341,687.76 "
,TOTAL,,230,"$451,459.32 ","$359,165.89 "
32852,80'S,,10,"$4,705.57 ","$3,764.43 "
,OTHER,,25,"$62,960.28 ","$50,368.24 "
,TOTAL,,35,"$67,665.85 ","$54,132.67 "
32853,80'S,,40,"$19,578.42 ","$15,662.75 "
,OTHER,,126,"$377,012.19 ","$294,634.83 "
,TOTAL,,166,"$396,590.61 ","$310,297.58 "
32854,80'S,,44,"$23,651.17 ","$18,712.97 "
,OTHER,,142,"$430,289.41 ","$342,756.16 "
,TOTAL,,186,"$453,940.58 ","$361,469.13 "
32855,80'S,,30,"$1,069.36 ",$855.48 
,OTHER,,125,"$19,589.60 ","$15,545.49 "
,TOTAL,,155,"$20,658.96 ","$16,400.97 "
32856,80'S,,43,"$1,134.96 ",$901.31 
,OTHER,,175,"$28,628.67 ","$22,507.29 "
,TOTAL,,218,"$29,763.63 ","$23,408.60 "
32900,80'S,,37,"$5,891.26 ","$4,704.52 "
,OTHER,,168,"$156,310.39 ","$122,712.18 "
,TOTAL,,205,"$162,201.65 ","$127,416.70 "
32905,80'S,,6,"$1,177.85 ",$942.28 
,OTHER,,38,"$41,015.19 ","$32,812.17 "
,TOTAL,,44,"$42,193.04 ","$33,754.45 "
32906,80'S,,5,"$1,085.31 ",$679.90 
,OTHER,,48,"$57,647.07 ","$44,551.66 "
,TOTAL,,53,"$58,732.38 ","$45,231.56 "
32940,80'S,,8,"$1,281.49 ","$1,025.18 "
,OTHER,,54,"$37,900.88 ","$30,320.71 "
,TOTAL,,62,"$39,182.37 ","$31,345.89 "
32960,OTHER,,78,"$5,060.36 ","$4,032.04 "
,TOTAL,,78,"$5,060.36 ","$4,032.04 "
32997,OTHER,,220,"$59,740.26 ","$47,687.72 "
,TOTAL,,220,"$59,740.26 ","$47,687.72 "
32998,80'S,,35,"$1,479.94 ","$1,183.91 "
,OTHER,,811,"$281,182.86 ","$224,106.35 "
,TOTAL,,846,"$282,662.80 ","$225,290.26 "
32999,80'S,,21,"$2,073.22 ","$1,655.93 "
,OTHER,,"1,396","$341,430.41 ","$272,839.70 "
,TOTAL,,"1,417","$343,503.63 ","$274,495.63 "
