Medicare Part B Physician/Supplier BESS Data,,,,,
For Calendar Year 2005,,,,,
Code Ranges - 30000 - 32999,,,,,
,BESS REPORTS, CODE RANGES,,,
HCPCS,MODIFIER,DESCRIPTION,ALLOWED SERVICES,ALLOWED CHARGES,PAYMENT
_____,________,___________,________________,_______________,_______
31624,SG,,471,"$154,734.12 ","$122,861.52 "
,OTHER,,"67,717","$6,639,130.85 ","$5,260,312.73 "
,TOTAL,,"68,188","$6,793,864.97 ","$5,383,174.25 "
31625,SG,,596,"$240,976.35 ","$189,790.76 "
,OTHER,,"39,836","$6,697,683.53 ","$5,304,234.43 "
,TOTAL,,"40,432","$6,938,659.88 ","$5,494,025.19 "
31628,SG,,476,"$192,756.65 ","$148,660.50 "
,OTHER,,"49,315","$9,458,340.90 ","$7,482,299.36 "
,TOTAL,,"49,791","$9,651,097.55 ","$7,630,959.86 "
31629,SG,,129,"$50,944.46 ","$40,116.83 "
,OTHER,,"11,430","$2,434,125.71 ","$1,927,908.28 "
,TOTAL,,"11,559","$2,485,070.17 ","$1,968,025.11 "
31630,SG,,2,$891.49 ,$713.19 
,OTHER,,"1,237","$217,199.69 ","$170,819.05 "
,TOTAL,,"1,239","$218,091.18 ","$171,532.24 "
31631,OTHER,,943,"$201,814.74 ","$159,835.02 "
,TOTAL,,943,"$201,814.74 ","$159,835.02 "
31632,OTHER,,"2,756","$157,482.19 ","$124,418.09 "
,TOTAL,,"2,756","$157,482.19 ","$124,418.09 "
31633,OTHER,,765,"$54,347.40 ","$43,262.40 "
,TOTAL,,765,"$54,347.40 ","$43,262.40 "
31635,SG,,7,"$3,110.16 ","$2,488.13 "
,OTHER,,"2,151","$397,518.25 ","$314,846.79 "
,TOTAL,,"2,158","$400,628.41 ","$317,334.92 "
31636,OTHER,,443,"$83,823.61 ","$66,474.77 "
,TOTAL,,443,"$83,823.61 ","$66,474.77 "
31637,OTHER,,56,"$4,939.53 ","$3,910.19 "
,TOTAL,,56,"$4,939.53 ","$3,910.19 "
31638,OTHER,,148,"$36,429.76 ","$28,912.70 "
,TOTAL,,148,"$36,429.76 ","$28,912.70 "
31640,SG,,6,"$2,429.02 ","$1,895.36 "
,OTHER,,541,"$147,705.73 ","$116,922.15 "
,TOTAL,,547,"$150,134.75 ","$118,817.51 "
31641,SG,,2,$859.41 ,$687.53 
,OTHER,,"3,373","$894,210.05 ","$709,045.43 "
,TOTAL,,"3,375","$895,069.46 ","$709,732.96 "
31643,SG,,7,"$3,000.48 ","$2,400.37 "
,OTHER,,"1,428","$252,977.58 ","$200,723.02 "
,TOTAL,,"1,435","$255,978.06 ","$203,123.39 "
31645,SG,,7,"$1,794.05 ","$1,435.25 "
,OTHER,,"27,956","$4,421,755.89 ","$3,513,787.79 "
,TOTAL,,"27,963","$4,423,549.94 ","$3,515,223.04 "
31646,OTHER,,"4,757","$676,215.15 ","$538,464.11 "
,TOTAL,,"4,757","$676,215.15 ","$538,464.11 "
31656,OTHER,,69,"$6,293.21 ","$5,034.58 "
,TOTAL,,69,"$6,293.21 ","$5,034.58 "
31700,OTHER,,48,"$3,633.34 ","$2,906.62 "
,TOTAL,,48,"$3,633.34 ","$2,906.62 "
31708,OTHER,,3,$236.21 ,$188.97 
,TOTAL,,3,$236.21 ,$188.97 
31710,OTHER,,27,"$1,188.42 ",$924.05 
,TOTAL,,27,"$1,188.42 ",$924.05 
31715,OTHER,,7,$184.68 ,$147.76 
,TOTAL,,7,$184.68 ,$147.76 
31717,OTHER,,66,"$6,142.64 ","$4,914.25 "
,TOTAL,,66,"$6,142.64 ","$4,914.25 "
31720,OTHER,,238,"$12,860.39 ","$10,122.41 "
,TOTAL,,238,"$12,860.39 ","$10,122.41 "
31725,OTHER,,287,"$27,182.45 ","$21,701.78 "
,TOTAL,,287,"$27,182.45 ","$21,701.78 "
31730,SG,,5,"$1,597.45 ","$1,277.95 "
,OTHER,,753,"$110,544.29 ","$87,682.85 "
,TOTAL,,758,"$112,141.74 ","$88,960.80 "
31750,SG,,2,"$1,455.36 ","$1,148.54 "
,80'S,,15,"$2,905.15 ","$2,180.55 "
,OTHER,,184,"$184,122.40 ","$145,485.45 "
,TOTAL,,201,"$188,482.91 ","$148,814.54 "
31755,SG,,2,$888.37 ,$710.70 
,80'S,,2,$543.75 ,$435.00 
,OTHER,,49,"$69,287.50 ","$53,979.56 "
,TOTAL,,53,"$70,719.62 ","$55,125.26 "
31760,80'S,,1,$110.78 ,$88.62 
,OTHER,,26,"$29,255.46 ","$23,404.32 "
,TOTAL,,27,"$29,366.24 ","$23,492.94 "
31766,OTHER,,6,"$10,809.49 ","$8,647.59 "
,TOTAL,,6,"$10,809.49 ","$8,647.59 "
31770,80'S,,11,"$1,389.48 ","$1,111.58 "
,OTHER,,48,"$38,484.06 ","$30,787.22 "
,TOTAL,,59,"$39,873.54 ","$31,898.80 "
31775,OTHER,,14,"$17,949.37 ","$14,359.50 "
,TOTAL,,14,"$17,949.37 ","$14,359.50 "
31780,80'S,,7,"$1,124.76 ",$899.81 
,OTHER,,120,"$121,946.33 ","$96,602.15 "
,TOTAL,,127,"$123,071.09 ","$97,501.96 "
31781,80'S,,4,$903.38 ,$539.85 
,OTHER,,21,"$27,458.14 ","$21,966.50 "
,TOTAL,,25,"$28,361.52 ","$22,506.35 "
31785,80'S,,7,"$1,181.12 ",$944.91 
,OTHER,,"1,105","$95,769.81 ","$76,477.96 "
,TOTAL,,"1,112","$96,950.93 ","$77,422.87 "
31786,80'S,,2,$343.42 ,$274.73 
,OTHER,,18,"$21,850.73 ","$17,480.58 "
,TOTAL,,20,"$22,194.15 ","$17,755.31 "
31800,80'S,,2,$192.32 ,$153.85 
,OTHER,,79,"$41,934.92 ","$32,831.09 "
,TOTAL,,81,"$42,127.24 ","$32,984.94 "
31805,80'S,,3,$331.10 ,$264.88 
,OTHER,,38,"$18,072.00 ","$14,457.61 "
,TOTAL,,41,"$18,403.10 ","$14,722.49 "
31820,SG,,21,"$6,642.88 ","$5,314.28 "
,80'S,,1,$25.75 ,$20.60 
,OTHER,,257,"$78,551.18 ","$61,851.28 "
,TOTAL,,279,"$85,219.81 ","$67,186.16 "
31825,SG,,17,"$6,856.49 ","$5,485.19 "
,80'S,,1,$63.95 ,$51.16 
,OTHER,,302,"$141,412.95 ","$111,109.48 "
,TOTAL,,320,"$148,333.39 ","$116,645.83 "
31830,SG,,13,"$5,535.95 ","$4,402.29 "
,80'S,,1,$58.79 ,$47.03 
,OTHER,,148,"$46,420.56 ","$36,533.63 "
,TOTAL,,162,"$52,015.30 ","$40,982.95 "
31899,80'S,,1,$41.67 ,$33.34 
,OTHER,,314,"$48,004.82 ","$38,217.79 "
,TOTAL,,315,"$48,046.49 ","$38,251.13 "
32000,SG,,348,"$108,699.45 ","$85,218.16 "
,80'S,,1,$14.27 ,$11.42 
,OTHER,,"149,459","$12,650,858.79 ","$10,024,940.90 "
,TOTAL,,"149,808","$12,759,572.51 ","$10,110,170.48 "
32002,OTHER,,"66,890","$8,707,716.80 ","$6,919,110.41 "
,TOTAL,,"66,890","$8,707,716.80 ","$6,919,110.41 "
32005,OTHER,,"8,200","$900,169.27 ","$715,463.18 "
,TOTAL,,"8,200","$900,169.27 ","$715,463.18 "
32019,OTHER,,"1,778","$434,716.04 ","$346,467.07 "
,TOTAL,,"1,778","$434,716.04 ","$346,467.07 "
32020,80'S,,2,$78.32 ,$62.65 
,OTHER,,"66,053","$14,329,234.07 ","$11,378,267.19 "
,TOTAL,,"66,055","$14,329,312.39 ","$11,378,329.84 "
32035,80'S,,21,"$1,261.92 ","$1,009.54 "
,OTHER,,203,"$95,826.70 ","$76,395.66 "
,TOTAL,,224,"$97,088.62 ","$77,405.20 "
32036,80'S,,36,"$3,609.90 ","$2,887.91 "
,OTHER,,292,"$161,616.75 ","$128,790.35 "
,TOTAL,,328,"$165,226.65 ","$131,678.26 "
32095,80'S,,265,"$19,340.09 ","$15,322.19 "
,OTHER,,"2,393","$1,008,453.92 ","$799,397.53 "
,TOTAL,,"2,658","$1,027,794.01 ","$814,719.72 "
32100,80'S,,549,"$76,098.43 ","$60,422.46 "
,OTHER,,"3,562","$2,755,953.78 ","$2,191,079.87 "
,TOTAL,,"4,111","$2,832,052.21 ","$2,251,502.33 "
32110,80'S,,89,"$17,049.26 ","$13,538.96 "
,OTHER,,571,"$633,820.12 ","$502,765.41 "
,TOTAL,,660,"$650,869.38 ","$516,304.37 "
32120,80'S,,109,"$11,655.18 ","$9,324.13 "
,OTHER,,"1,041","$545,084.63 ","$434,484.08 "
,TOTAL,,"1,150","$556,739.81 ","$443,808.21 "
32124,80'S,,358,"$28,313.57 ","$22,435.59 "
,OTHER,,"1,479","$661,175.32 ","$526,565.62 "
,TOTAL,,"1,837","$689,488.89 ","$549,001.21 "
32140,80'S,,20,"$2,419.07 ","$1,928.62 "
,OTHER,,121,"$79,136.07 ","$62,487.57 "
,TOTAL,,141,"$81,555.14 ","$64,416.19 "
32141,80'S,,105,"$11,920.57 ","$9,522.76 "
,OTHER,,757,"$478,743.63 ","$379,859.28 "
,TOTAL,,862,"$490,664.20 ","$389,382.04 "
32150,80'S,,40,"$4,349.64 ","$3,479.69 "
,OTHER,,287,"$191,767.54 ","$153,346.36 "
,TOTAL,,327,"$196,117.18 ","$156,826.05 "
32151,80'S,,3,$229.18 ,$183.35 
,OTHER,,16,"$10,495.54 ","$8,396.43 "
,TOTAL,,19,"$10,724.72 ","$8,579.78 "
32160,80'S,,49,"$3,032.37 ","$2,425.91 "
,OTHER,,332,"$132,249.58 ","$105,250.37 "
,TOTAL,,381,"$135,281.95 ","$107,676.28 "
32200,80'S,,25,"$3,047.77 ","$2,350.21 "
,OTHER,,106,"$60,370.50 ","$47,865.08 "
,TOTAL,,131,"$63,418.27 ","$50,215.29 "
32201,80'S,,1,$18.00 ,$14.40 
,OTHER,,512,"$107,586.44 ","$85,076.06 "
,TOTAL,,513,"$107,604.44 ","$85,090.46 "
32215,80'S,,39,"$2,864.41 ","$2,291.53 "
,OTHER,,318,"$151,225.16 ","$120,226.41 "
,TOTAL,,357,"$154,089.57 ","$122,517.94 "
32220,80'S,,446,"$105,517.41 ","$83,347.44 "
,OTHER,,"3,701","$4,762,275.00 ","$3,782,492.52 "
,TOTAL,,"4,147","$4,867,792.41 ","$3,865,839.96 "
32225,80'S,,139,"$15,713.43 ","$12,428.59 "
,OTHER,,"1,149","$737,244.01 ","$585,039.24 "
,TOTAL,,"1,288","$752,957.44 ","$597,467.83 "
32310,80'S,,87,"$7,380.42 ","$5,898.65 "
,OTHER,,463,"$228,848.80 ","$181,504.15 "
,TOTAL,,550,"$236,229.22 ","$187,402.80 "
32320,80'S,,232,"$53,839.31 ","$43,049.31 "
,OTHER,,"1,381","$1,826,383.32 ","$1,448,481.44 "
,TOTAL,,"1,613","$1,880,222.63 ","$1,491,530.75 "
32400,SG,,1,$321.63 ,$257.30 
,80'S,,1,$8.14 ,$6.51 
,OTHER,,"1,924","$168,700.21 ","$133,921.86 "
,TOTAL,,"1,926","$169,029.98 ","$134,185.67 "
32402,80'S,,40,"$2,110.14 ","$1,567.26 "
,OTHER,,359,"$114,414.17 ","$90,266.76 "
,TOTAL,,399,"$116,524.31 ","$91,834.02 "
32405,SG,,98,"$31,042.14 ","$24,660.04 "
,OTHER,,"57,365","$5,759,186.77 ","$4,557,124.17 "
,TOTAL,,"57,463","$5,790,228.91 ","$4,581,784.21 "
32420,OTHER,,280,"$29,418.78 ","$23,275.79 "
,TOTAL,,280,"$29,418.78 ","$23,275.79 "
32440,80'S,,326,"$79,526.54 ","$62,913.05 "
,OTHER,,"1,488","$1,966,072.81 ","$1,553,337.40 "
,TOTAL,,"1,814","$2,045,599.35 ","$1,616,250.45 "
32442,80'S,,3,$761.29 ,$609.03 
,OTHER,,19,"$27,064.70 ","$21,651.73 "
,TOTAL,,22,"$27,825.99 ","$22,260.76 "
32445,80'S,,25,"$6,765.59 ","$5,412.47 "
,OTHER,,131,"$199,695.65 ","$159,756.46 "
,TOTAL,,156,"$206,461.24 ","$165,168.93 "
32480,80'S,,"3,892","$907,166.31 ","$720,529.70 "
,OTHER,,"19,115","$24,174,226.77 ","$19,188,474.73 "
,TOTAL,,"23,007","$25,081,393.08 ","$19,909,004.43 "
32482,80'S,,329,"$79,649.99 ","$63,242.19 "
,OTHER,,"1,506","$1,981,374.02 ","$1,573,892.44 "
,TOTAL,,"1,835","$2,061,024.01 ","$1,637,134.63 "
32484,80'S,,269,"$52,005.52 ","$41,501.67 "
,OTHER,,"1,605","$1,743,826.50 ","$1,390,315.02 "
,TOTAL,,"1,874","$1,795,832.02 ","$1,431,816.69 "
32486,80'S,,26,"$6,438.85 ","$4,968.14 "
,OTHER,,155,"$208,443.12 ","$165,655.06 "
,TOTAL,,181,"$214,881.97 ","$170,623.20 "
32488,80'S,,38,"$9,727.03 ","$7,781.59 "
,OTHER,,198,"$271,402.34 ","$216,295.66 "
,TOTAL,,236,"$281,129.37 ","$224,077.25 "
32491,80'S,,40,"$11,915.77 ","$9,532.56 "
,OTHER,,167,"$264,367.20 ","$210,587.15 "
,TOTAL,,207,"$276,282.97 ","$220,119.71 "
32500,80'S,,"1,685","$320,779.06 ","$254,679.10 "
,OTHER,,"10,232","$10,961,190.37 ","$8,710,314.99 "
,TOTAL,,"11,917","$11,281,969.43 ","$8,964,994.09 "
32501,80'S,,33,"$1,460.05 ","$1,164.13 "
,OTHER,,221,"$52,325.43 ","$41,783.28 "
,TOTAL,,254,"$53,785.48 ","$42,947.41 "
32520,80'S,,83,"$16,581.75 ","$13,194.05 "
,OTHER,,371,"$412,694.73 ","$328,422.63 "
,TOTAL,,454,"$429,276.48 ","$341,616.68 "
32522,80'S,,24,"$5,642.11 ","$4,425.69 "
,OTHER,,97,"$126,594.49 ","$101,275.55 "
,TOTAL,,121,"$132,236.60 ","$105,701.24 "
32525,80'S,,37,"$9,810.39 ","$7,848.32 "
,OTHER,,212,"$314,424.44 ","$250,366.60 "
,TOTAL,,249,"$324,234.83 ","$258,214.92 "
32540,80'S,,40,"$4,845.28 ","$3,876.22 "
,OTHER,,205,"$147,589.62 ","$118,071.71 "
,TOTAL,,245,"$152,434.90 ","$121,947.93 "
32601,80'S,,43,"$1,407.70 ","$1,124.09 "
,OTHER,,"2,213","$467,321.64 ","$372,181.51 "
,TOTAL,,"2,256","$468,729.34 ","$373,305.60 "
32602,80'S,,70,"$3,380.45 ","$2,699.87 "
,OTHER,,"4,038","$1,246,198.38 ","$986,815.50 "
,TOTAL,,"4,108","$1,249,578.83 ","$989,515.37 "
32603,80'S,,1,$35.57 ,$28.46 
,OTHER,,48,"$13,255.20 ","$10,604.12 "
,TOTAL,,49,"$13,290.77 ","$10,632.58 "
32604,OTHER,,51,"$19,493.28 ","$15,594.57 "
,TOTAL,,51,"$19,493.28 ","$15,594.57 "
32605,OTHER,,40,"$11,190.49 ","$8,952.36 "
,TOTAL,,40,"$11,190.49 ","$8,952.36 "
32606,80'S,,7,$621.16 ,$496.92 
,OTHER,,270,"$124,100.13 ","$98,479.04 "
,TOTAL,,277,"$124,721.29 ","$98,975.96 "
32650,80'S,,814,"$76,929.41 ","$61,104.45 "
,OTHER,,"8,421","$4,940,048.14 ","$3,932,004.18 "
,TOTAL,,"9,235","$5,016,977.55 ","$3,993,108.63 "
32651,80'S,,137,"$15,726.74 ","$12,490.66 "
,OTHER,,"1,349","$949,114.91 ","$756,444.73 "
,TOTAL,,"1,486","$964,841.65 ","$768,935.39 "
32652,80'S,,222,"$40,759.50 ","$32,491.17 "
,OTHER,,"1,399","$1,467,368.79 ","$1,163,424.78 "
,TOTAL,,"1,621","$1,508,128.29 ","$1,195,915.95 "
32653,80'S,,108,"$10,411.64 ","$8,261.30 "
,OTHER,,754,"$483,457.70 ","$385,388.75 "
,TOTAL,,862,"$493,869.34 ","$393,650.05 "
32654,80'S,,13,"$1,619.54 ","$1,295.63 "
,OTHER,,106,"$76,320.56 ","$60,384.99 "
,TOTAL,,119,"$77,940.10 ","$61,680.62 "
32655,80'S,,62,"$6,939.40 ","$5,551.48 "
,OTHER,,656,"$446,347.02 ","$354,281.83 "
,TOTAL,,718,"$453,286.42 ","$359,833.31 "
32656,80'S,,179,"$19,415.57 ","$15,386.91 "
,OTHER,,625,"$420,634.06 ","$332,242.44 "
,TOTAL,,804,"$440,049.63 ","$347,629.35 "
32657,80'S,,"1,052","$131,982.24 ","$104,673.24 "
,OTHER,,"7,732","$5,747,772.73 ","$4,564,064.93 "
,TOTAL,,"8,784","$5,879,754.97 ","$4,668,738.17 "
32658,80'S,,9,$775.12 ,$620.10 
,OTHER,,52,"$31,276.57 ","$25,021.26 "
,TOTAL,,61,"$32,051.69 ","$25,641.36 "
32659,80'S,,81,"$8,615.55 ","$6,870.30 "
,OTHER,,477,"$310,389.95 ","$247,267.32 "
,TOTAL,,558,"$319,005.50 ","$254,137.62 "
32660,OTHER,,9,"$8,352.48 ","$6,190.68 "
,TOTAL,,9,"$8,352.48 ","$6,190.68 "
32661,80'S,,7,$891.27 ,$713.00 
,OTHER,,27,"$20,421.13 ","$16,336.93 "
,TOTAL,,34,"$21,312.40 ","$17,049.93 "
32662,80'S,,66,"$9,378.26 ","$7,502.60 "
,OTHER,,256,"$230,701.56 ","$183,884.37 "
,TOTAL,,322,"$240,079.82 ","$191,386.97 "
32663,80'S,,611,"$121,241.95 ","$96,484.36 "
,OTHER,,"1,871","$2,171,686.08 ","$1,727,067.20 "
,TOTAL,,"2,482","$2,292,928.03 ","$1,823,551.56 "
32664,80'S,,7,"$1,009.77 ",$719.98 
,OTHER,,86,"$78,548.73 ","$60,512.43 "
,TOTAL,,93,"$79,558.50 ","$61,232.41 "
32665,80'S,,14,"$1,826.10 ","$1,460.85 "
,OTHER,,40,"$33,658.86 ","$26,870.70 "
,TOTAL,,54,"$35,484.96 ","$28,331.55 "
32800,80'S,,10,"$1,145.95 ",$916.77 
,OTHER,,52,"$33,367.55 ","$26,613.16 "
,TOTAL,,62,"$34,513.50 ","$27,529.93 "
32810,80'S,,3,$357.20 ,$275.47 
,OTHER,,74,"$51,376.06 ","$40,228.62 "
,TOTAL,,77,"$51,733.26 ","$40,504.09 "
32815,80'S,,28,"$5,302.22 ","$4,142.59 "
,OTHER,,236,"$234,338.01 ","$185,293.08 "
,TOTAL,,264,"$239,640.23 ","$189,435.67 "
32820,80'S,,5,$536.19 ,$428.95 
,OTHER,,49,"$53,213.76 ","$42,267.26 "
,TOTAL,,54,"$53,749.95 ","$42,696.21 "
32850,OTHER,,1,"$1,608.46 ","$1,286.77 "
,TOTAL,,1,"$1,608.46 ","$1,286.77 "
32851,80'S,,45,"$19,154.09 ","$15,095.82 "
,OTHER,,197,"$499,017.70 ","$388,384.09 "
,TOTAL,,242,"$518,171.79 ","$403,479.91 "
32852,80'S,,8,"$3,932.72 ","$3,146.16 "
,OTHER,,23,"$64,415.32 ","$51,532.25 "
,TOTAL,,31,"$68,348.04 ","$54,678.41 "
32853,80'S,,33,"$16,853.41 ","$13,482.74 "
,OTHER,,109,"$350,477.97 ","$276,588.27 "
,TOTAL,,142,"$367,331.38 ","$290,071.01 "
32854,80'S,,37,"$21,517.90 ","$17,214.34 "
,OTHER,,105,"$344,887.95 ","$275,910.32 "
,TOTAL,,142,"$366,405.85 ","$293,124.66 "
32855,80'S,,26,$919.57 ,$732.41 
,OTHER,,89,"$16,858.54 ","$13,466.81 "
,TOTAL,,115,"$17,778.11 ","$14,199.22 "
32856,80'S,,26,$896.80 ,$717.43 
,OTHER,,105,"$21,652.45 ","$17,269.57 "
,TOTAL,,131,"$22,549.25 ","$17,987.00 "
32900,80'S,,32,"$4,417.77 ","$3,534.25 "
,OTHER,,192,"$184,252.74 ","$144,930.45 "
,TOTAL,,224,"$188,670.51 ","$148,464.70 "
32905,80'S,,9,"$1,424.55 ","$1,139.65 "
,OTHER,,68,"$63,465.54 ","$50,108.72 "
,TOTAL,,77,"$64,890.09 ","$51,248.37 "
32906,80'S,,10,"$2,486.82 ","$1,989.45 "
,OTHER,,38,"$53,121.90 ","$42,497.55 "
,TOTAL,,48,"$55,608.72 ","$44,487.00 "
32940,80'S,,6,$627.52 ,$502.03 
,OTHER,,81,"$49,361.95 ","$39,489.58 "
,TOTAL,,87,"$49,989.47 ","$39,991.61 "
32960,OTHER,,47,"$3,627.14 ","$2,887.77 "
,TOTAL,,47,"$3,627.14 ","$2,887.77 "
32997,OTHER,,105,"$32,293.54 ","$25,834.95 "
,TOTAL,,105,"$32,293.54 ","$25,834.95 "
32999,80'S,,42,"$7,260.61 ","$5,808.42 "
,OTHER,,"1,188","$520,606.69 ","$416,365.89 "
,TOTAL,,"1,230","$527,867.30 ","$422,174.31 "
,,,,,
