Medicare Part B Physician/Supplier BESS Data,,,,,
For Calendar Year 2005,,,,,
Code Ranges - 30000 - 32999,,,,,
,BESS REPORTS, CODE RANGES,,,
HCPCS,MODIFIER,DESCRIPTION,ALLOWED SERVICES,ALLOWED CHARGES,PAYMENT
_____,________,___________,________________,_______________,_______
,TOTAL,,"4,513","$755,239.05 ","$585,693.06 "
30802,SG,,384,"$75,399.02 ","$58,929.49 "
,OTHER,,"3,088","$488,322.15 ","$380,153.21 "
,TOTAL,,"3,472","$563,721.17 ","$439,082.70 "
30901,OTHER,,"130,207","$10,332,621.17 ","$7,860,078.31 "
,TOTAL,,"130,207","$10,332,621.17 ","$7,860,078.31 "
30903,SG,,79,"$23,342.68 ","$18,674.16 "
,OTHER,,"47,751","$6,168,387.25 ","$4,781,909.73 "
,TOTAL,,"47,830","$6,191,729.93 ","$4,800,583.89 "
30905,SG,,16,"$4,071.42 ","$3,209.70 "
,OTHER,,"9,348","$1,195,748.42 ","$930,505.54 "
,TOTAL,,"9,364","$1,199,819.84 ","$933,715.24 "
30906,SG,,5,"$1,539.48 ","$1,231.58 "
,OTHER,,"1,169","$216,213.05 ","$170,756.43 "
,TOTAL,,"1,174","$217,752.53 ","$171,988.01 "
30915,SG,,3,"$1,099.68 ",$879.74 
,OTHER,,164,"$71,214.62 ","$56,375.00 "
,TOTAL,,167,"$72,314.30 ","$57,254.74 "
30920,SG,,2,$744.99 ,$595.99 
,OTHER,,196,"$132,528.37 ","$103,823.35 "
,TOTAL,,198,"$133,273.36 ","$104,419.34 "
30930,SG,,"1,047","$441,680.49 ","$348,768.78 "
,OTHER,,"3,199","$232,328.69 ","$183,656.71 "
,TOTAL,,"4,246","$674,009.18 ","$532,425.49 "
30999,OTHER,,93,"$35,391.05 ","$27,992.19 "
,TOTAL,,93,"$35,391.05 ","$27,992.19 "
31000,OTHER,,"4,673","$688,847.04 ","$536,013.27 "
,TOTAL,,"4,673","$688,847.04 ","$536,013.27 "
31002,OTHER,,181,"$17,726.57 ","$13,722.25 "
,TOTAL,,181,"$17,726.57 ","$13,722.25 "
31020,SG,,84,"$24,780.95 ","$19,759.68 "
,OTHER,,497,"$107,684.33 ","$84,925.41 "
,TOTAL,,581,"$132,465.28 ","$104,685.09 "
31030,SG,,80,"$34,054.81 ","$26,416.46 "
,OTHER,,803,"$296,045.90 ","$232,495.53 "
,TOTAL,,883,"$330,100.71 ","$258,911.99 "
31032,SG,,60,"$30,588.81 ","$24,181.89 "
,OTHER,,404,"$193,796.82 ","$152,998.04 "
,TOTAL,,464,"$224,385.63 ","$177,179.93 "
31040,OTHER,,228,"$48,414.50 ","$37,454.22 "
,TOTAL,,228,"$48,414.50 ","$37,454.22 "
31050,SG,,13,"$3,285.34 ","$2,628.29 "
,OTHER,,134,"$39,865.09 ","$31,286.22 "
,TOTAL,,147,"$43,150.43 ","$33,914.51 "
31051,SG,,12,"$4,485.69 ","$3,588.55 "
,OTHER,,128,"$58,716.28 ","$46,397.71 "
,TOTAL,,140,"$63,201.97 ","$49,986.26 "
31070,SG,,29,"$7,496.88 ","$5,997.48 "
,OTHER,,243,"$63,226.87 ","$49,785.71 "
,TOTAL,,272,"$70,723.75 ","$55,783.19 "
31075,SG,,17,"$7,774.35 ","$6,219.47 "
,80'S,,5,$595.91 ,$476.73 
,OTHER,,120,"$77,567.16 ","$62,053.78 "
,TOTAL,,142,"$85,937.42 ","$68,749.98 "
31080,80'S,,1,$174.99 ,$139.99 
,OTHER,,47,"$26,103.49 ","$20,049.67 "
,TOTAL,,48,"$26,278.48 ","$20,189.66 "
31081,80'S,,10,"$1,195.04 ",$956.03 
,OTHER,,73,"$48,516.96 ","$37,917.28 "
,TOTAL,,83,"$49,712.00 ","$38,873.31 "
31084,SG,,1,$589.85 ,$471.88 
,80'S,,4,$596.33 ,$477.06 
,OTHER,,35,"$35,306.63 ","$28,217.69 "
,TOTAL,,40,"$36,492.81 ","$29,166.63 "
31085,SG,,1,$632.82 ,$506.26 
,80'S,,15,"$2,241.44 ","$1,793.16 "
,OTHER,,88,"$84,619.18 ","$67,695.34 "
,TOTAL,,104,"$87,493.44 ","$69,994.76 "
31086,OTHER,,15,"$13,627.85 ","$10,902.29 "
,TOTAL,,15,"$13,627.85 ","$10,902.29 "
31087,80'S,,3,$465.98 ,$372.78 
,OTHER,,20,"$16,200.19 ","$12,960.15 "
,TOTAL,,23,"$16,666.17 ","$13,332.93 "
31090,SG,,94,"$59,121.00 ","$47,134.64 "
,OTHER,,322,"$322,970.41 ","$253,856.01 "
,TOTAL,,416,"$382,091.41 ","$300,990.65 "
31200,SG,,265,"$60,940.92 ","$48,071.51 "
,OTHER,,882,"$279,457.37 ","$220,345.37 "
,TOTAL,,"1,147","$340,398.29 ","$268,416.88 "
31201,SG,,49,"$36,321.03 ","$28,968.82 "
,OTHER,,266,"$191,497.73 ","$151,919.03 "
,TOTAL,,315,"$227,818.76 ","$180,887.85 "
31205,SG,,66,"$19,878.89 ","$15,650.94 "
,80'S,,30,"$3,106.95 ","$2,485.57 "
,OTHER,,448,"$311,834.38 ","$244,763.78 "
,TOTAL,,544,"$334,820.22 ","$262,900.29 "
31225,80'S,,59,"$12,767.67 ","$10,214.15 "
,OTHER,,770,"$1,060,157.35 ","$839,190.70 "
,TOTAL,,829,"$1,072,925.02 ","$849,404.85 "
31230,80'S,,3,$793.68 ,$634.94 
,OTHER,,68,"$93,220.88 ","$74,326.41 "
,TOTAL,,71,"$94,014.56 ","$74,961.35 "
31231,OTHER,,"254,435","$42,870,015.48 ","$33,120,105.17 "
