Medicare Part B Physician/Supplier BESS Data,,,,,
For Calendar Year 2002,,,,,
Code Ranges 30000 - 32999,,,,,
,,,,,
HCPCS,MODIFIER,DESCRIPTION,ALLOWED SERVICES,ALLOWED CHARGES,PAYMENT
,,,,,
30000,OTHER,RESPIRATORY,201,"$23,754","$18,248"
,TOTAL,,201,"$23,754","$18,248"
30020,OTHER,,198,"$22,045","$17,364"
,TOTAL,,198,"$22,045","$17,364"
30100,OTHER,,"2,926","$203,534","$154,496"
,TOTAL,,"2,926","$203,534","$154,496"
30110,OTHER,,993,"$155,370","$118,607"
,TOTAL,,993,"$155,370","$118,607"
30115,SG,,162,"$52,459","$41,531"
,OTHER,,"1,272","$354,128","$280,955"
,TOTAL,,"1,434","$406,587","$322,486"
30117,SG,,271,"$120,672","$94,633"
,OTHER,,"2,061","$473,860","$372,700"
,TOTAL,,"2,332","$594,532","$467,333"
30118,SG,,30,"$14,262","$11,410"
,80'S,,14,"$1,306","$1,042"
,OTHER,,279,"$173,217","$137,650"
,TOTAL,,323,"$188,785","$150,101"
30120,SG,,69,"$20,850","$16,278"
,OTHER,,382,"$140,706","$110,250"
,TOTAL,,451,"$161,556","$126,527"
30124,SG,,19,"$4,969","$3,895"
,OTHER,,166,"$36,495","$28,552"
,TOTAL,,185,"$41,464","$32,447"
30125,SG,,9,"$3,480","$2,784"
,OTHER,,53,"$22,399","$17,690"
,TOTAL,,62,"$25,879","$20,473"
30130,SG,,916,"$279,000","$221,661"
,OTHER,,"5,091","$942,450","$742,848"
,TOTAL,,"6,007","$1,221,450","$964,509"
30140,SG,,"2,793","$832,762","$657,151"
,OTHER,,"13,667","$3,726,222","$2,920,086"
,TOTAL,,"16,460","$4,558,984","$3,577,237"
30150,SG,,67,"$30,696","$24,557"
,OTHER,,394,"$218,416","$172,318"
,TOTAL,,461,"$249,112","$196,875"
30160,SG,,1,$578,$462
,80'S,,4,$289,$231
,OTHER,,77,"$43,825","$35,060"
,TOTAL,,82,"$44,692","$35,753"
30200,OTHER,,"7,294","$492,172","$372,138"
,TOTAL,,"7,294","$492,172","$372,138"
30210,OTHER,,"1,122","$89,593","$68,688"
,TOTAL,,"1,122","$89,593","$68,688"
30220,OTHER,,323,"$33,273","$25,915"
,TOTAL,,323,"$33,273","$25,915"
30300,OTHER,,"1,848","$199,005","$152,405"
,TOTAL,,"1,848","$199,005","$152,405"
30310,SG,,17,"$3,846","$3,077"
,OTHER,,100,"$11,071","$8,641"
,TOTAL,,117,"$14,917","$11,718"
30320,OTHER,,4,$858,$686
,TOTAL,,4,$858,$686
30400,SG,,54,"$28,992","$22,825"
,OTHER,,139,"$85,164","$67,697"
,TOTAL,,193,"$114,156","$90,522"
30410,SG,,20,"$12,063","$9,650"
,OTHER,,73,"$56,842","$45,454"
,TOTAL,,93,"$68,904","$55,104"
30420,SG,,89,"$58,362","$46,610"
,OTHER,,392,"$395,762","$313,974"
,TOTAL,,481,"$454,124","$360,584"
30430,SG,,21,"$8,753","$6,963"
,OTHER,,79,"$35,904","$28,618"
,TOTAL,,100,"$44,657","$35,581"
30435,SG,,6,"$3,663","$2,930"
,OTHER,,34,"$27,147","$21,718"
,TOTAL,,40,"$30,810","$24,648"
30450,SG,,16,"$14,087","$11,083"
,80'S,,1,$217,$174
,OTHER,,61,"$73,215","$58,497"
,TOTAL,,78,"$87,519","$69,754"
30460,OTHER,,13,"$6,987","$5,589"
,TOTAL,,13,"$6,987","$5,589"
30462,OTHER,,11,"$12,703","$10,163"
,TOTAL,,11,"$12,703","$10,163"
30465,80'S,,3,$335,$268
,OTHER,,572,"$419,213","$330,559"
,TOTAL,,575,"$419,548","$330,827"
30520,SG,,"4,018","$1,882,253","$1,483,069"
,OTHER,,"19,322","$5,971,824","$4,688,986"
,TOTAL,,"23,340","$7,854,077","$6,172,055"
30540,SG,,4,"$2,366","$1,893"
,OTHER,,20,"$6,582","$5,212"
,TOTAL,,24,"$8,949","$7,105"
30545,OTHER,,1,$839,$671
,TOTAL,,1,$839,$671
30560,SG,,56,"$14,308","$11,300"
,OTHER,,576,"$48,523","$37,758"
,TOTAL,,632,"$62,830","$49,058"
30580,SG,,27,"$15,042","$11,954"
,OTHER,,608,"$237,314","$184,466"
,TOTAL,,635,"$252,356","$196,420"
30600,SG,,5,"$2,061","$1,649"
,OTHER,,86,"$27,076","$21,366"
,TOTAL,,91,"$29,137","$23,015"
30620,SG,,53,"$51,599","$40,901"
,OTHER,,230,"$80,968","$64,107"
,TOTAL,,283,"$132,567","$105,008"
30630,SG,,47,"$42,172","$33,721"
,OTHER,,217,"$97,798","$77,361"
,TOTAL,,264,"$139,970","$111,082"
30801,SG,,154,"$28,159","$21,616"
,OTHER,,"4,066","$465,127","$354,963"
,TOTAL,,"4,220","$493,287","$376,579"
30802,SG,,255,"$47,370","$37,442"
,OTHER,,"2,733","$386,748","$301,957"
,TOTAL,,"2,988","$434,119","$339,399"
30901,OTHER,,"117,197","$8,952,017","$6,760,554"
,TOTAL,,"117,197","$8,952,017","$6,760,554"
30903,SG,,57,"$16,927","$13,542"
,OTHER,,"43,418","$5,587,485","$4,328,194"
,TOTAL,,"43,475","$5,604,411","$4,341,736"
30905,SG,,19,"$4,575","$3,650"
,OTHER,,"10,296","$1,357,449","$1,059,403"
,TOTAL,,"10,315","$1,362,025","$1,063,053"
30906,SG,,3,$647,$517
,OTHER,,975,"$179,000","$140,781"
,TOTAL,,978,"$179,647","$141,298"
30915,SG,,1,$444,$355
,OTHER,,163,"$68,252","$54,466"
,TOTAL,,164,"$68,696","$54,821"
30920,SG,,1,$254,$203
,OTHER,,190,"$120,122","$95,829"
,TOTAL,,191,"$120,376","$96,031"
30930,OTHER,,"2,643","$206,577","$162,863"
,TOTAL,,"2,643","$206,577","$162,863"
30999,80'S,,1,$119,$95
,OTHER,,198,"$50,443","$40,083"
,TOTAL,,199,"$50,562","$40,178"
31000,OTHER,,"5,521","$735,116","$571,953"
,TOTAL,,"5,521","$735,116","$571,953"
31002,OTHER,,335,"$15,216","$11,143"
,TOTAL,,335,"$15,216","$11,143"
31020,SG,,103,"$29,136","$22,649"
,OTHER,,650,"$107,346","$84,898"
,TOTAL,,753,"$136,482","$107,547"
31030,SG,,58,"$22,537","$17,748"
,OTHER,,811,"$217,616","$171,487"
,TOTAL,,869,"$240,153","$189,235"
31032,SG,,42,"$22,160","$17,329"
,OTHER,,426,"$184,501","$145,273"
,TOTAL,,468,"$206,661","$162,602"
31040,OTHER,,196,"$37,685","$29,852"
,TOTAL,,196,"$37,685","$29,852"
31050,SG,,18,"$5,362","$4,048"
,OTHER,,155,"$36,496","$28,984"
,TOTAL,,173,"$41,858","$33,032"
31051,SG,,14,"$4,406","$3,525"
,OTHER,,128,"$48,868","$38,433"
,TOTAL,,142,"$53,275","$41,958"
31070,SG,,48,"$12,577","$9,876"
,OTHER,,254,"$57,615","$44,795"
,TOTAL,,302,"$70,192","$54,671"
31075,SG,,7,"$2,827","$2,262"
,80'S,,10,$907,$726
,OTHER,,144,"$84,217","$65,522"
,TOTAL,,161,"$87,952","$68,509"
31080,SG,,2,$900,$720
,80'S,,7,$685,$495
,OTHER,,44,"$21,353","$17,059"
,TOTAL,,53,"$22,938","$18,274"
31081,80'S,,6,$518,$415
,OTHER,,62,"$34,449","$26,492"
,TOTAL,,68,"$34,967","$26,906"
31084,SG,,2,"$1,225",$980
,80'S,,5,$672,$538
,OTHER,,36,"$29,461","$23,569"
,TOTAL,,43,"$31,358","$25,086"
31085,80'S,,11,"$1,517","$1,137"
,OTHER,,83,"$65,701","$51,301"
,TOTAL,,94,"$67,217","$52,438"
31086,SG,,1,$641,$513
,80'S,,2,$195,$156
,OTHER,,16,"$13,028","$10,422"
,TOTAL,,19,"$13,864","$11,091"
31087,80'S,,4,$406,$324
,OTHER,,22,"$15,418","$11,772"
,TOTAL,,26,"$15,824","$12,097"
31090,SG,,194,"$122,209","$96,430"
,OTHER,,534,"$419,069","$331,572"
,TOTAL,,728,"$541,278","$428,002"
31200,SG,,260,"$64,572","$51,657"
,OTHER,,865,"$201,386","$160,085"
,TOTAL,,"1,125","$265,958","$211,742"
31201,SG,,69,"$53,921","$42,322"
,OTHER,,309,"$201,682","$159,397"
,TOTAL,,378,"$255,603","$201,720"
31205,SG,,71,"$21,504","$17,203"
,80'S,,33,"$3,169","$2,455"
,OTHER,,443,"$248,991","$197,190"
,TOTAL,,547,"$273,664","$216,849"
31225,80'S,,88,"$17,600","$13,984"
,OTHER,,741,"$914,496","$727,598"
,TOTAL,,829,"$932,096","$741,582"
31230,80'S,,10,"$2,376","$1,901"
,OTHER,,72,"$89,325","$70,082"
,TOTAL,,82,"$91,702","$71,983"
31231,OTHER,,"176,743","$19,508,895","$14,908,232"
,TOTAL,,"176,743","$19,508,895","$14,908,232"
31233,SG,,19,"$7,535","$6,028"
,OTHER,,"6,447","$1,193,184","$928,490"
,TOTAL,,"6,466","$1,200,720","$934,518"
31235,SG,,8,"$1,727","$1,382"
,OTHER,,"2,061","$480,198","$379,492"
,TOTAL,,"2,069","$481,925","$380,874"
31237,SG,,531,"$213,901","$169,033"
,OTHER,,"40,445","$10,093,029","$7,873,929"
,TOTAL,,"40,976","$10,306,929","$8,042,962"
31238,SG,,152,"$45,561","$36,272"
,OTHER,,"12,673","$3,185,213","$2,494,368"
,TOTAL,,"12,825","$3,230,774","$2,530,640"
31239,SG,,225,"$129,941","$102,890"
,80'S,,14,"$1,261",$937
,OTHER,,873,"$449,556","$354,429"
,TOTAL,,"1,112","$580,757","$458,256"
31240,SG,,465,"$116,464","$92,319"
,OTHER,,"2,099","$200,772","$158,671"
,TOTAL,,"2,564","$317,236","$250,989"
31254,SG,,"1,156","$441,819","$347,532"
,OTHER,,"5,892","$1,235,455","$970,605"
,TOTAL,,"7,048","$1,677,274","$1,318,137"
31255,SG,,"4,130","$2,947,058","$2,322,385"
,80'S,,1,$64,$51
,OTHER,,"18,488","$7,528,402","$5,933,126"
,TOTAL,,"22,619","$10,475,524","$8,255,562"
31256,SG,,"2,653","$835,861","$658,091"
,OTHER,,"11,309","$1,501,469","$1,181,554"
,TOTAL,,"13,962","$2,337,329","$1,839,644"
31267,SG,,"2,685","$869,882","$686,778"
,OTHER,,"13,745","$3,382,159","$2,666,910"
,TOTAL,,"16,430","$4,252,042","$3,353,687"
31276,SG,,"1,686","$519,095","$410,362"
,80'S,,1,$83,$66
,OTHER,,"8,137","$4,891,990","$3,859,726"
,TOTAL,,"9,824","$5,411,168","$4,270,155"
31287,SG,,858,"$261,372","$206,518"
,80'S,,3,$56,$45
,OTHER,,"4,310","$656,990","$519,404"
,TOTAL,,"5,171","$918,419","$725,967"
31288,SG,,766,"$239,432","$187,791"
,80'S,,3,$127,$101
,OTHER,,"4,301","$803,329","$634,311"
,TOTAL,,"5,070","$1,042,887","$822,203"
31290,80'S,,1,$163,$130
,OTHER,,85,"$86,332","$68,203"
,TOTAL,,86,"$86,495","$68,334"
31291,OTHER,,64,"$69,790","$55,778"
,TOTAL,,64,"$69,790","$55,778"
31292,OTHER,,54,"$52,334","$41,787"
,TOTAL,,54,"$52,334","$41,787"
31293,80'S,,3,$493,$394
,OTHER,,66,"$63,933","$47,683"
,TOTAL,,69,"$64,426","$48,077"
31294,OTHER,,12,"$12,476","$9,981"
,TOTAL,,12,"$12,476","$9,981"
31299,80'S,,1,$86,$69
,OTHER,,88,"$34,456","$27,518"
,TOTAL,,89,"$34,542","$27,587"
31300,SG,,7,"$4,746","$3,797"
,80'S,,6,"$1,107",$886
,OTHER,,115,"$111,451","$88,224"
,TOTAL,,128,"$117,304","$92,906"
31320,OTHER,,9,"$4,783","$3,826"
,TOTAL,,9,"$4,783","$3,826"
31360,80'S,,184,"$38,116","$30,260"
,OTHER,,755,"$973,923","$772,471"
,TOTAL,,939,"$1,012,039","$802,731"
31365,80'S,,111,"$30,217","$23,963"
,OTHER,,574,"$972,976","$764,936"
,TOTAL,,685,"$1,003,194","$788,900"
31367,80'S,,7,"$1,863","$1,491"
,OTHER,,66,"$110,318","$85,837"
,TOTAL,,73,"$112,181","$87,328"
31368,80'S,,13,"$4,187","$3,350"
,OTHER,,87,"$176,677","$141,318"
,TOTAL,,100,"$180,864","$144,668"
31370,80'S,,3,$810,$648
,OTHER,,53,"$82,160","$64,672"
,TOTAL,,56,"$82,969","$65,320"
31375,80'S,,2,$451,$361
,OTHER,,59,"$72,290","$57,832"
,TOTAL,,61,"$72,741","$58,193"
31380,80'S,,1,$230,$184
,OTHER,,31,"$46,518","$37,214"
,TOTAL,,32,"$46,748","$37,398"
31382,80'S,,10,"$2,627","$1,917"
,OTHER,,56,"$91,639","$71,249"
,TOTAL,,66,"$94,266","$73,166"
31390,80'S,,6,"$1,813","$1,451"
,OTHER,,93,"$181,155","$144,890"
,TOTAL,,99,"$182,968","$146,341"
