Medicare Part B Physician/Supplier BESS Data,,,,,
For Calendar Year 2002,,,,,
Code Ranges 30000 - 32999,,,,,
,,,,,
HCPCS,MODIFIER,DESCRIPTION,ALLOWED SERVICES,ALLOWED CHARGES,PAYMENT
31395,80'S,,6,"$2,366","$1,892"
,OTHER,,98,"$240,486","$190,315"
,TOTAL,,104,"$242,852","$192,208"
31400,80'S,,8,$803,$642
,OTHER,,98,"$59,467","$47,133"
,TOTAL,,106,"$60,269","$47,776"
31420,80'S,,1,$146,$117
,OTHER,,39,"$31,982","$25,560"
,TOTAL,,40,"$32,128","$25,676"
31500,OTHER,,"261,786","$28,699,309","$22,727,034"
,TOTAL,,"261,786","$28,699,309","$22,727,034"
31502,OTHER,,"16,281","$781,937","$609,851"
,TOTAL,,"16,281","$781,937","$609,851"
31505,OTHER,,"25,272","$2,036,904","$1,556,971"
,TOTAL,,"25,272","$2,036,904","$1,556,971"
31510,SG,,30,"$11,292","$8,953"
,OTHER,,166,"$15,277","$12,040"
,TOTAL,,196,"$26,569","$20,993"
31511,OTHER,,270,"$37,901","$29,408"
,TOTAL,,270,"$37,901","$29,408"
31512,SG,,13,"$4,845","$3,876"
,OTHER,,20,"$2,762","$2,070"
,TOTAL,,33,"$7,608","$5,946"
31513,SG,,12,"$5,100","$4,080"
,OTHER,,659,"$78,490","$60,096"
,TOTAL,,671,"$83,590","$64,176"
31515,SG,,37,"$8,812","$6,970"
,OTHER,,"2,094","$232,073","$180,728"
,TOTAL,,"2,131","$240,885","$187,698"
31520,OTHER,,36,"$4,140","$3,261"
,TOTAL,,36,"$4,140","$3,261"
31525,SG,,343,"$79,385","$62,691"
,OTHER,,"12,992","$2,061,411","$1,620,479"
,TOTAL,,"13,335","$2,140,795","$1,683,170"
31526,SG,,184,"$72,061","$56,293"
,OTHER,,"1,527","$200,391","$157,798"
,TOTAL,,"1,711","$272,452","$214,091"
31527,80'S,,1,$28,$23
,OTHER,,38,"$6,056","$4,725"
,TOTAL,,39,"$6,085","$4,747"
31528,SG,,4,"$1,491","$1,192"
,OTHER,,128,"$13,287","$10,382"
,TOTAL,,132,"$14,778","$11,574"
31529,SG,,5,"$1,886","$1,509"
,OTHER,,75,"$9,379","$7,411"
,TOTAL,,80,"$11,265","$8,920"
31530,SG,,11,"$4,568","$3,655"
,OTHER,,369,"$69,204","$53,876"
,TOTAL,,380,"$73,772","$57,531"
31531,SG,,36,"$17,505","$14,004"
,OTHER,,129,"$25,291","$19,712"
,TOTAL,,165,"$42,796","$33,716"
31535,SG,,744,"$300,526","$237,200"
,OTHER,,"7,889","$1,298,287","$1,025,309"
,TOTAL,,"8,633","$1,598,813","$1,262,509"
31536,SG,,"1,093","$523,906","$411,267"
,OTHER,,"7,705","$1,488,670","$1,174,208"
,TOTAL,,"8,798","$2,012,576","$1,585,475"
31540,SG,,207,"$98,582","$77,575"
,OTHER,,"1,309","$303,199","$238,646"
,TOTAL,,"1,516","$401,780","$316,221"
31541,SG,,"1,343","$802,915","$632,695"
,OTHER,,"10,815","$2,827,556","$2,225,199"
,TOTAL,,"12,158","$3,630,470","$2,857,894"
31560,SG,,3,"$2,059","$1,647"
,OTHER,,36,"$10,243","$8,194"
,TOTAL,,39,"$12,302","$9,842"
31561,SG,,6,"$4,061","$3,249"
,OTHER,,324,"$83,974","$66,693"
,TOTAL,,330,"$88,035","$69,942"
31570,SG,,50,"$20,161","$16,061"
,OTHER,,"1,892","$474,362","$364,421"
,TOTAL,,"1,942","$494,522","$380,482"
31571,SG,,70,"$24,961","$19,629"
,OTHER,,908,"$194,895","$154,404"
,TOTAL,,978,"$219,856","$174,034"
31575,OTHER,,"433,339","$47,769,503","$36,696,728"
,TOTAL,,"433,339","$47,769,503","$36,696,728"
31576,SG,,14,"$5,865","$4,612"
,OTHER,,405,"$51,373","$40,060"
,TOTAL,,419,"$57,238","$44,672"
31577,SG,,1,$411,$329
,OTHER,,160,"$26,800","$21,114"
,TOTAL,,161,"$27,212","$21,443"
31578,SG,,5,"$2,124","$1,699"
,OTHER,,99,"$16,830","$13,247"
,TOTAL,,104,"$18,954","$14,945"
31579,OTHER,,"15,946","$2,928,192","$2,271,467"
,TOTAL,,"15,946","$2,928,192","$2,271,467"
31580,80'S,,2,$368,$295
,OTHER,,66,"$57,099","$45,596"
,TOTAL,,68,"$57,467","$45,890"
31582,SG,,2,"$1,345","$1,076"
,OTHER,,163,"$233,726","$184,310"
,TOTAL,,165,"$235,071","$185,386"
31584,80'S,,2,$466,$192
,OTHER,,21,"$28,472","$22,778"
,TOTAL,,23,"$28,939","$22,970"
31585,OTHER,,5,"$1,707","$1,200"
,TOTAL,,5,"$1,707","$1,200"
31586,OTHER,,13,"$8,971","$7,074"
,TOTAL,,13,"$8,971","$7,074"
31587,OTHER,,24,"$19,229","$14,932"
,TOTAL,,24,"$19,229","$14,932"
31588,SG,,43,"$29,019","$23,215"
,80'S,,116,"$20,659","$16,417"
,OTHER,,"1,414","$1,376,640","$1,088,579"
,TOTAL,,"1,573","$1,426,318","$1,128,211"
31590,SG,,1,$708,$566
,80'S,,3,$244,$195
,OTHER,,15,"$9,002","$7,201"
,TOTAL,,19,"$9,954","$7,963"
31595,80'S,,1,$58,$47
,OTHER,,25,"$14,470","$11,155"
,TOTAL,,26,"$14,529","$11,201"
31599,80'S,,15,"$2,736","$2,189"
,OTHER,,535,"$219,676","$175,375"
,TOTAL,,550,"$222,411","$177,564"
31600,SG,,6,"$2,557","$2,045"
,80'S,,4,$277,$221
,OTHER,,"42,747","$15,468,854","$12,302,517"
,TOTAL,,"42,757","$15,471,688","$12,304,783"
31601,80'S,,1,$48,$38
,OTHER,,35,"$8,325","$6,660"
,TOTAL,,36,"$8,373","$6,698"
31603,OTHER,,"2,682","$579,676","$459,043"
,TOTAL,,"2,682","$579,676","$459,043"
31605,OTHER,,472,"$83,376","$65,741"
,TOTAL,,472,"$83,376","$65,741"
31610,OTHER,,"1,481","$1,050,407","$833,954"
,TOTAL,,"1,481","$1,050,407","$833,954"
31611,SG,,50,"$24,381","$19,290"
,80'S,,52,"$2,902","$2,287"
,OTHER,,"1,150","$523,270","$411,096"
,TOTAL,,"1,252","$550,554","$432,673"
31612,SG,,15,"$4,295","$3,436"
,OTHER,,297,"$15,056","$11,727"
,TOTAL,,312,"$19,352","$15,164"
31613,SG,,36,"$15,292","$12,042"
,OTHER,,"1,158","$526,620","$416,260"
,TOTAL,,"1,194","$541,912","$428,302"
31614,SG,,16,"$6,355","$5,048"
,OTHER,,443,"$297,398","$236,090"
,TOTAL,,459,"$303,753","$241,138"
31615,SG,,9,"$2,125","$1,700"
,OTHER,,"6,728","$1,038,652","$812,595"
,TOTAL,,"6,737","$1,040,778","$814,295"
31622,SG,,"1,304","$367,500","$290,108"
,80'S,,3,$67,$54
,OTHER,,"99,488","$13,480,118","$10,685,700"
,TOTAL,,"100,795","$13,847,685","$10,975,862"
31623,80'S,,1,$12,$9
,OTHER,,"29,668","$2,428,643","$1,923,072"
,TOTAL,,"29,669","$2,428,655","$1,923,081"
31624,OTHER,,"40,850","$3,688,251","$2,922,285"
,TOTAL,,"40,850","$3,688,251","$2,922,285"
31625,SG,,661,"$273,163","$215,752"
,80'S,,4,$112,$89
,OTHER,,"45,275","$7,538,217","$5,972,197"
,TOTAL,,"45,940","$7,811,492","$6,188,039"
31628,SG,,624,"$259,554","$203,034"
,OTHER,,"50,789","$9,660,690","$7,654,239"
,TOTAL,,"51,413","$9,920,244","$7,857,273"
31629,SG,,146,"$53,243","$42,010"
,OTHER,,"9,005","$1,172,909","$928,858"
,TOTAL,,"9,151","$1,226,151","$970,868"
31630,SG,,6,"$2,375","$1,900"
,OTHER,,687,"$129,129","$102,090"
,TOTAL,,693,"$131,504","$103,990"
31631,OTHER,,"1,275","$267,180","$211,458"
,TOTAL,,"1,275","$267,180","$211,458"
31635,SG,,7,"$2,895","$2,316"
,OTHER,,"1,689","$320,473","$254,004"
,TOTAL,,"1,696","$323,368","$256,320"
31640,SG,,4,"$1,260","$1,008"
,OTHER,,436,"$116,558","$92,821"
,TOTAL,,440,"$117,818","$93,829"
31641,SG,,8,"$2,902","$2,321"
,OTHER,,"2,938","$774,363","$612,313"
,TOTAL,,"2,946","$777,265","$614,634"
31643,OTHER,,"1,553","$258,340","$204,679"
,TOTAL,,"1,553","$258,340","$204,679"
31645,SG,,38,"$9,796","$7,628"
,OTHER,,"26,849","$4,195,124","$3,333,269"
,TOTAL,,"26,887","$4,204,920","$3,340,897"
31646,OTHER,,"5,005","$686,962","$545,728"
,TOTAL,,"5,005","$686,962","$545,728"
31656,SG,,1,$265,$212
,OTHER,,46,"$4,171","$3,337"
,TOTAL,,47,"$4,436","$3,549"
31700,OTHER,,52,"$2,867","$2,210"
,TOTAL,,52,"$2,867","$2,210"
31708,OTHER,,16,"$1,041",$799
,TOTAL,,16,"$1,041",$799
31710,OTHER,,64,"$2,148","$1,719"
,TOTAL,,64,"$2,148","$1,719"
31715,OTHER,,5,$242,$194
,TOTAL,,5,$242,$194
31717,OTHER,,115,"$11,340","$9,072"
,TOTAL,,115,"$11,340","$9,072"
31720,OTHER,,368,"$20,439","$16,160"
,TOTAL,,368,"$20,439","$16,160"
31725,OTHER,,766,"$69,175","$54,980"
,TOTAL,,766,"$69,175","$54,980"
31730,SG,,11,"$2,911","$2,329"
,OTHER,,685,"$98,355","$77,595"
,TOTAL,,696,"$101,267","$79,924"
31750,SG,,1,$698,$559
,80'S,,13,"$1,846","$1,477"
,OTHER,,181,"$159,249","$126,835"
,TOTAL,,195,"$161,793","$128,870"
31755,SG,,5,"$2,149","$1,719"
,80'S,,4,$763,$610
,OTHER,,51,"$60,665","$48,532"
,TOTAL,,60,"$63,577","$50,861"
31760,80'S,,2,$302,$242
,OTHER,,14,"$13,468","$9,871"
,TOTAL,,16,"$13,771","$10,113"
31766,OTHER,,1,"$1,651","$1,321"
,TOTAL,,1,"$1,651","$1,321"
31770,80'S,,1,$115,$92
,OTHER,,13,"$15,104","$12,083"
,TOTAL,,14,"$15,219","$12,175"
31775,OTHER,,8,"$11,323","$9,059"
,TOTAL,,8,"$11,323","$9,059"
31780,80'S,,9,"$1,479","$1,162"
,OTHER,,87,"$91,620","$73,296"
,TOTAL,,96,"$93,099","$74,458"
31781,80'S,,1,$257,$206
,OTHER,,14,"$20,075","$16,060"
,TOTAL,,15,"$20,332","$16,266"
31785,80'S,,4,$510,$408
,OTHER,,78,"$68,111","$54,019"
,TOTAL,,82,"$68,620","$54,427"
31786,80'S,,2,$470,$376
,OTHER,,15,"$17,678","$14,142"
,TOTAL,,17,"$18,147","$14,518"
31800,OTHER,,66,"$29,338","$23,194"
,TOTAL,,66,"$29,338","$23,194"
31805,80'S,,3,$435,$348
,OTHER,,20,"$13,786","$10,957"
,TOTAL,,23,"$14,222","$11,305"
31820,SG,,21,"$6,293","$4,778"
,80'S,,2,$121,$96
,OTHER,,284,"$116,880","$92,618"
,TOTAL,,307,"$123,294","$97,492"
31825,SG,,11,"$4,071","$3,257"
,80'S,,3,$301,$241
,OTHER,,243,"$151,100","$119,893"
,TOTAL,,257,"$155,472","$123,390"
31830,SG,,13,"$5,207","$4,166"
,OTHER,,138,"$56,539","$44,564"
,TOTAL,,151,"$61,746","$48,730"
31899,OTHER,,424,"$67,459","$53,951"
,TOTAL,,424,"$67,459","$53,951"
32000,SG,,489,"$148,268","$117,957"
,80'S,,3,$41,$33
,OTHER,,"166,080","$13,485,992","$10,689,074"
,TOTAL,,"166,572","$13,634,301","$10,807,064"
32002,SG,,14,"$5,394","$4,315"
,OTHER,,"40,773","$4,620,182","$3,670,944"
,TOTAL,,"40,787","$4,625,576","$3,675,259"
32005,SG,,1,$217,$174
,OTHER,,"9,145","$994,438","$790,683"
,TOTAL,,"9,146","$994,655","$790,856"
32020,SG,,12,"$3,797","$3,037"
,OTHER,,"60,076","$12,363,833","$9,814,161"
,TOTAL,,"60,088","$12,367,630","$9,817,199"
32035,80'S,,20,"$1,666","$1,333"
,OTHER,,199,"$103,284","$82,590"
,TOTAL,,219,"$104,951","$83,923"
32036,80'S,,27,"$2,756","$2,205"
,OTHER,,325,"$195,168","$156,066"
,TOTAL,,352,"$197,924","$158,271"
32095,80'S,,243,"$20,351","$16,202"
,OTHER,,"2,507","$1,263,386","$1,001,682"
,TOTAL,,"2,750","$1,283,737","$1,017,883"
32100,80'S,,686,"$98,181","$78,204"
,OTHER,,"3,750","$3,084,368","$2,446,012"
,TOTAL,,"4,436","$3,182,549","$2,524,217"
32110,80'S,,94,"$18,880","$14,780"
,OTHER,,535,"$600,344","$476,757"
,TOTAL,,629,"$619,224","$491,537"
32120,80'S,,105,"$10,691","$8,553"
,OTHER,,943,"$529,155","$421,300"
,TOTAL,,"1,048","$539,845","$429,852"
32124,80'S,,211,"$18,266","$14,538"
,OTHER,,991,"$496,267","$395,018"
,TOTAL,,"1,202","$514,532","$409,557"
32140,80'S,,33,"$4,178","$3,342"
,OTHER,,129,"$93,090","$73,442"
,TOTAL,,162,"$97,268","$76,785"
32141,80'S,,122,"$15,266","$12,120"
,OTHER,,783,"$522,698","$414,442"
,TOTAL,,905,"$537,964","$426,562"
32150,80'S,,41,"$4,590","$3,672"
,OTHER,,266,"$187,773","$150,125"
,TOTAL,,307,"$192,363","$153,797"
32151,80'S,,10,"$1,232",$985
,OTHER,,37,"$26,503","$21,122"
,TOTAL,,47,"$27,734","$22,107"
32160,80'S,,63,"$4,174","$3,303"
,OTHER,,368,"$153,775","$121,029"
,TOTAL,,431,"$157,948","$124,332"
32200,80'S,,14,"$1,514","$1,211"
,OTHER,,289,"$58,002","$45,671"
,TOTAL,,303,"$59,515","$46,882"
32201,OTHER,,553,"$188,294","$150,175"
,TOTAL,,553,"$188,294","$150,175"
32215,80'S,,17,"$1,422","$1,137"
,OTHER,,277,"$148,451","$117,862"
,TOTAL,,294,"$149,873","$118,999"
32220,80'S,,466,"$104,610","$82,874"
,OTHER,,"2,921","$3,586,031","$2,846,450"
,TOTAL,,"3,387","$3,690,640","$2,929,324"
32225,80'S,,139,"$16,501","$13,041"
,OTHER,,949,"$642,294","$509,977"
,TOTAL,,"1,088","$658,795","$523,017"
32310,80'S,,100,"$9,358","$7,482"
,OTHER,,498,"$262,256","$209,389"
,TOTAL,,598,"$271,613","$216,871"
32320,80'S,,246,"$56,048","$44,727"
,OTHER,,"1,294","$1,644,412","$1,301,303"
,TOTAL,,"1,540","$1,700,459","$1,346,030"
32400,SG,,3,$942,$753
,80'S,,1,$8,$6
,OTHER,,"2,616","$223,842","$177,223"
,TOTAL,,"2,620","$224,792","$177,983"
32402,80'S,,56,"$3,179","$2,523"
,OTHER,,438,"$165,975","$131,664"
,TOTAL,,494,"$169,155","$134,188"
32405,SG,,54,"$16,195","$12,855"
,80'S,,1,$9,$7
,OTHER,,"55,295","$5,339,078","$4,236,172"
