Medicare Part B Physician/Supplier BESS Data,,,,,
For Calendar Year 2001,,,,,
Code Ranges 30000 - 32999,,,,,
,,,,,
HCPCS,MODIFIER,DESCRIPTION,ALLOWED SERVICES,ALLOWED CHARGES,PAYMENT
,,,,,
30000,OTHER,RESPIRATORY,322,"$19,224","$14,658"
,TOTAL,,322,"$19,224","$14,658"
30020,OTHER,,204,"$21,313","$16,635"
,TOTAL,,204,"$21,313","$16,635"
30100,OTHER,,"2,851","$191,923","$145,485"
,TOTAL,,"2,851","$191,923","$145,485"
30110,OTHER,,"1,083","$166,979","$126,670"
,TOTAL,,"1,083","$166,979","$126,670"
30115,SG,,120,"$37,271","$29,676"
,OTHER,,"1,342","$361,271","$287,373"
,TOTAL,,"1,462","$398,542","$317,050"
30117,SG,,210,"$92,524","$73,848"
,OTHER,,"2,151","$471,338","$369,237"
,TOTAL,,"2,361","$563,862","$443,085"
30118,SG,,40,"$18,120","$14,455"
,80'S,,16,"$1,287","$1,030"
,OTHER,,335,"$187,723","$149,817"
,TOTAL,,391,"$207,130","$165,302"
30120,SG,,44,"$12,657","$9,870"
,OTHER,,372,"$144,370","$113,963"
,TOTAL,,416,"$157,026","$123,833"
30124,SG,,35,"$8,287","$6,629"
,OTHER,,194,"$40,905","$31,919"
,TOTAL,,229,"$49,192","$38,548"
30125,SG,,15,"$4,656","$3,725"
,OTHER,,66,"$28,386","$22,591"
,TOTAL,,81,"$33,042","$26,316"
30130,SG,,783,"$242,362","$191,702"
,OTHER,,"5,459","$974,633","$768,625"
,TOTAL,,"6,242","$1,216,995","$960,327"
30140,SG,,"2,011","$555,066","$437,079"
,OTHER,,"13,243","$3,098,597","$2,434,569"
,TOTAL,,"15,254","$3,653,663","$2,871,648"
30150,SG,,53,"$23,978","$19,182"
,OTHER,,425,"$234,508","$185,146"
,TOTAL,,478,"$258,486","$204,329"
30160,SG,,1,$631,$505
,80'S,,4,$266,$213
,OTHER,,76,"$43,505","$34,804"
,TOTAL,,81,"$44,402","$35,522"
30200,OTHER,,"8,591","$530,430","$396,767"
,TOTAL,,"8,591","$530,430","$396,767"
30210,OTHER,,"1,208","$71,981","$54,366"
,TOTAL,,"1,208","$71,981","$54,366"
30220,OTHER,,333,"$36,206","$28,128"
,TOTAL,,333,"$36,206","$28,128"
30300,OTHER,,"1,572","$142,114","$107,030"
,TOTAL,,"1,572","$142,114","$107,030"
30310,SG,,20,"$5,129","$4,103"
,OTHER,,108,"$13,336","$10,294"
,TOTAL,,128,"$18,464","$14,397"
30320,SG,,2,$628,$502
,OTHER,,9,"$2,562","$2,050"
,TOTAL,,11,"$3,190","$2,552"
30400,SG,,35,"$17,974","$14,317"
,OTHER,,148,"$93,220","$73,878"
,TOTAL,,183,"$111,194","$88,195"
30410,SG,,9,"$5,941","$4,753"
,80'S,,1,$146,$117
,OTHER,,63,"$57,481","$45,427"
,TOTAL,,73,"$63,568","$50,296"
30420,SG,,58,"$37,237","$29,589"
,OTHER,,387,"$423,321","$334,143"
,TOTAL,,445,"$460,558","$363,732"
30430,SG,,15,"$6,633","$5,269"
,80'S,,1,$105,$84
,OTHER,,56,"$23,490","$18,647"
,TOTAL,,72,"$30,229","$24,000"
30435,SG,,2,"$1,004",$804
,80'S,,1,$157,$125
,OTHER,,28,"$23,551","$18,761"
,TOTAL,,31,"$24,712","$19,689"
30450,SG,,13,"$12,490","$9,912"
,OTHER,,54,"$64,790","$51,832"
,TOTAL,,67,"$77,280","$61,744"
30460,OTHER,,11,"$4,939","$3,951"
,TOTAL,,11,"$4,939","$3,951"
30462,OTHER,,13,"$17,365","$13,732"
,TOTAL,,13,"$17,365","$13,732"
30465,80'S,,1,$145,$116
,OTHER,,500,"$292,819","$231,963"
,TOTAL,,501,"$292,964","$232,079"
30520,SG,,"3,321","$1,563,534","$1,227,954"
,OTHER,,"18,947","$6,512,502","$5,109,177"
,TOTAL,,"22,268","$8,076,036","$6,337,131"
30540,SG,,2,"$1,029",$547
,OTHER,,27,"$8,835","$6,745"
,TOTAL,,29,"$9,864","$7,292"
30545,OTHER,,1,$100,$80
,TOTAL,,1,$100,$80
30560,SG,,43,"$11,706","$9,365"
,OTHER,,591,"$47,208","$36,197"
,TOTAL,,634,"$58,915","$45,563"
30580,SG,,27,"$14,848","$11,638"
,OTHER,,672,"$271,064","$211,331"
,TOTAL,,699,"$285,912","$222,969"
30600,SG,,8,"$3,654","$2,923"
,OTHER,,87,"$26,300","$20,763"
,TOTAL,,95,"$29,954","$23,686"
30620,SG,,96,"$81,610","$65,261"
,OTHER,,264,"$99,310","$78,673"
,TOTAL,,360,"$180,920","$143,934"
30630,SG,,37,"$34,324","$27,431"
,OTHER,,194,"$94,399","$74,313"
,TOTAL,,231,"$128,723","$101,744"
30801,SG,,91,"$16,672","$13,052"
,OTHER,,"3,751","$380,719","$287,045"
,TOTAL,,"3,842","$397,391","$300,096"
30802,SG,,236,"$46,303","$36,685"
,OTHER,,"2,805","$378,391","$293,740"
,TOTAL,,"3,041","$424,694","$330,425"
30901,OTHER,,"108,426","$9,322,193","$7,027,572"
,TOTAL,,"108,426","$9,322,193","$7,027,572"
30903,SG,,38,"$10,697","$8,545"
,OTHER,,"41,214","$4,798,579","$3,690,527"
,TOTAL,,"41,252","$4,809,276","$3,699,071"
30905,SG,,19,"$5,277","$4,048"
,OTHER,,"10,674","$1,399,458","$1,091,769"
,TOTAL,,"10,693","$1,404,736","$1,095,817"
30906,SG,,2,$497,$398
,OTHER,,965,"$175,530","$138,483"
,TOTAL,,967,"$176,027","$138,880"
30915,SG,,4,$851,$681
,OTHER,,190,"$77,199","$61,230"
,TOTAL,,194,"$78,050","$61,911"
30920,SG,,4,"$1,420","$1,136"
,OTHER,,205,"$139,565","$109,280"
,TOTAL,,209,"$140,986","$110,416"
30930,OTHER,,"2,439","$178,879","$140,848"
,TOTAL,,"2,439","$178,879","$140,848"
30999,80'S,,1,$23,$19
,OTHER,,181,"$54,899","$43,517"
,TOTAL,,182,"$54,922","$43,535"
31000,OTHER,,"6,294","$765,417","$596,356"
,TOTAL,,"6,294","$765,417","$596,356"
31002,OTHER,,276,"$10,301","$7,795"
,TOTAL,,276,"$10,301","$7,795"
31020,SG,,101,"$31,284","$24,776"
,OTHER,,727,"$125,731","$98,875"
,TOTAL,,828,"$157,015","$123,651"
31030,SG,,79,"$31,308","$24,597"
,80'S,,1,$58,$47
,OTHER,,832,"$250,242","$194,829"
,TOTAL,,912,"$281,607","$219,473"
31032,SG,,28,"$15,048","$11,798"
,OTHER,,449,"$205,785","$162,791"
,TOTAL,,477,"$220,834","$174,589"
31040,OTHER,,230,"$33,841","$25,796"
,TOTAL,,230,"$33,841","$25,796"
31050,SG,,18,"$4,056","$3,245"
,OTHER,,197,"$48,839","$38,915"
,TOTAL,,215,"$52,896","$42,160"
31051,SG,,7,"$2,459","$1,967"
,OTHER,,143,"$64,684","$50,741"
,TOTAL,,150,"$67,143","$52,709"
31070,SG,,48,"$12,340","$9,730"
,OTHER,,259,"$61,133","$48,350"
,TOTAL,,307,"$73,473","$58,079"
31075,SG,,17,"$8,927","$6,707"
,80'S,,4,$376,$301
,OTHER,,134,"$81,893","$63,898"
,TOTAL,,155,"$91,196","$70,905"
31080,80'S,,3,$327,$262
,OTHER,,37,"$17,897","$14,268"
,TOTAL,,40,"$18,224","$14,530"
31081,80'S,,4,$565,$452
,OTHER,,52,"$32,609","$24,968"
,TOTAL,,56,"$33,174","$25,421"
31084,80'S,,5,$746,$597
,OTHER,,42,"$37,705","$30,121"
,TOTAL,,47,"$38,451","$30,718"
31085,80'S,,13,"$1,848","$1,478"
,OTHER,,93,"$81,309","$63,106"
,TOTAL,,106,"$83,157","$64,585"
31086,80'S,,2,$277,$221
,OTHER,,12,"$9,317","$6,787"
,TOTAL,,14,"$9,594","$7,008"
31087,80'S,,3,$419,$335
,OTHER,,16,"$14,627","$11,702"
,TOTAL,,19,"$15,046","$12,037"
31090,SG,,88,"$57,538","$45,951"
,OTHER,,630,"$510,955","$405,674"
,TOTAL,,718,"$568,493","$451,625"
31200,SG,,220,"$53,379","$42,436"
,OTHER,,933,"$229,670","$181,824"
,TOTAL,,"1,153","$283,048","$224,260"
31201,SG,,53,"$38,611","$30,253"
,OTHER,,304,"$201,361","$159,767"
,TOTAL,,357,"$239,972","$190,020"
31205,SG,,54,"$14,261","$11,329"
,80'S,,29,"$3,052","$2,441"
,OTHER,,457,"$266,445","$212,655"
,TOTAL,,540,"$283,758","$226,425"
31225,80'S,,74,"$15,583","$12,306"
,OTHER,,749,"$1,012,543","$805,145"
,TOTAL,,823,"$1,028,126","$817,451"
31230,80'S,,9,"$2,044","$1,635"
,OTHER,,76,"$104,798","$83,375"
,TOTAL,,85,"$106,842","$85,010"
31231,OTHER,,"157,579","$17,230,000","$13,151,180"
,TOTAL,,"157,579","$17,230,000","$13,151,180"
31233,SG,,25,"$6,560","$5,248"
,OTHER,,"5,120","$1,026,986","$800,297"
,TOTAL,,"5,145","$1,033,546","$805,546"
31235,SG,,11,"$2,648","$2,118"
,OTHER,,"1,613","$374,056","$295,223"
,TOTAL,,"1,624","$376,704","$297,342"
31237,SG,,452,"$181,951","$142,898"
,OTHER,,"35,331","$9,008,474","$7,034,985"
,TOTAL,,"35,783","$9,190,425","$7,177,883"
31238,SG,,107,"$32,110","$25,649"
,OTHER,,"10,576","$2,771,092","$2,172,471"
,TOTAL,,"10,683","$2,803,202","$2,198,120"
31239,SG,,142,"$78,343","$62,008"
,80'S,,4,$346,$277
,OTHER,,802,"$469,292","$370,986"
,TOTAL,,948,"$547,981","$433,271"
31240,SG,,367,"$93,627","$73,624"
,80'S,,1,$13,$10
,OTHER,,"2,062","$228,639","$180,195"
,TOTAL,,"2,430","$322,278","$253,830"
31254,SG,,951,"$350,090","$276,799"
,OTHER,,"5,778","$1,544,443","$1,212,163"
,TOTAL,,"6,729","$1,894,533","$1,488,962"
31255,SG,,"2,797","$1,956,578","$1,537,163"
,OTHER,,"17,807","$8,588,673","$6,770,092"
,TOTAL,,"20,604","$10,545,251","$8,307,255"
31256,SG,,"1,985","$622,418","$489,566"
,OTHER,,"11,611","$1,765,630","$1,388,866"
,TOTAL,,"13,596","$2,388,048","$1,878,432"
31267,SG,,"1,703","$538,265","$425,654"
,OTHER,,"12,411","$3,399,374","$2,679,351"
,TOTAL,,"14,114","$3,937,639","$3,105,005"
31276,SG,,"1,020","$314,595","$246,953"
,OTHER,,"7,232","$4,510,231","$3,558,205"
,TOTAL,,"8,252","$4,824,826","$3,805,158"
31287,SG,,536,"$162,278","$126,209"
,80'S,,1,$21,$17
,OTHER,,"3,982","$698,930","$552,315"
,TOTAL,,"4,519","$861,230","$678,541"
31288,SG,,461,"$140,880","$111,469"
,80'S,,2,$95,$76
,OTHER,,"4,003","$856,372","$678,052"
,TOTAL,,"4,466","$997,346","$789,597"
31290,80'S,,2,$304,$243
,OTHER,,91,"$100,217","$79,588"
,TOTAL,,93,"$100,521","$79,831"
31291,80'S,,3,$591,$473
,OTHER,,52,"$63,500","$50,800"
,TOTAL,,55,"$64,091","$51,273"
31292,80'S,,2,$295,$236
,OTHER,,67,"$73,000","$58,393"
,TOTAL,,69,"$73,295","$58,630"
31293,80'S,,2,$347,$278
,OTHER,,69,"$76,562","$59,543"
,TOTAL,,71,"$76,910","$59,820"
31294,80'S,,1,$211,$169
,OTHER,,7,"$11,539","$9,231"
,TOTAL,,8,"$11,750","$9,400"
31299,OTHER,,76,"$26,105","$20,884"
,TOTAL,,76,"$26,105","$20,884"
31300,SG,,2,"$1,306","$1,045"
,80'S,,20,"$3,489","$2,791"
,OTHER,,170,"$161,529","$127,615"
,TOTAL,,192,"$166,324","$131,452"
31320,80'S,,2,$193,$154
,OTHER,,17,"$9,474","$7,076"
,TOTAL,,19,"$9,667","$7,230"
31360,80'S,,201,"$43,650","$34,608"
,OTHER,,779,"$1,026,592","$811,406"
,TOTAL,,980,"$1,070,242","$846,014"
31365,80'S,,111,"$32,044","$25,555"
,OTHER,,606,"$1,088,976","$861,582"
,TOTAL,,717,"$1,121,019","$887,137"
31367,80'S,,7,"$1,932","$1,546"
,OTHER,,82,"$135,802","$107,994"
,TOTAL,,89,"$137,734","$109,540"
31368,80'S,,16,"$5,178","$4,111"
,OTHER,,93,"$196,539","$155,773"
,TOTAL,,109,"$201,717","$159,884"
31370,80'S,,7,"$1,722","$1,378"
,OTHER,,176,"$86,936","$68,525"
,TOTAL,,183,"$88,658","$69,903"
31375,80'S,,2,$446,$356
,OTHER,,74,"$85,315","$68,037"
,TOTAL,,76,"$85,760","$68,394"
31380,80'S,,2,$466,$373
,OTHER,,28,"$39,516","$31,453"
,TOTAL,,30,"$39,982","$31,826"
31382,80'S,,12,"$3,138","$2,510"
,OTHER,,86,"$137,788","$110,007"
,TOTAL,,98,"$140,926","$112,517"
31390,80'S,,7,"$2,388","$1,910"
,OTHER,,110,"$233,212","$186,352"
,TOTAL,,117,"$235,600","$188,262"
31395,80'S,,21,"$8,558","$6,846"
,OTHER,,98,"$247,853","$198,282"
,TOTAL,,119,"$256,411","$205,129"
31400,80'S,,5,$719,$575
,OTHER,,86,"$53,986","$42,708"
,TOTAL,,91,"$54,705","$43,283"
31420,80'S,,1,$69,$55
,OTHER,,47,"$33,742","$26,913"
,TOTAL,,48,"$33,810","$26,968"
31500,80'S,,1,$19,$15
,OTHER,,"249,497","$29,658,880","$23,480,904"
,TOTAL,,"249,498","$29,658,899","$23,480,919"
31502,OTHER,,"15,338","$756,001","$587,481"
