Medicare Part B Physician/Supplier BESS Data,,,,,
For Calendar Year 2001,,,,,
Code Ranges 30000 - 32999,,,,,
,,,,,
HCPCS,MODIFIER,DESCRIPTION,ALLOWED SERVICES,ALLOWED CHARGES,PAYMENT
,TOTAL,,"15,338","$756,001","$587,481"
31505,SG,,3,$985,$708
,OTHER,,"25,221","$1,772,235","$1,348,053"
,TOTAL,,"25,224","$1,773,220","$1,348,761"
31510,SG,,24,"$9,484","$7,587"
,OTHER,,164,"$15,867","$12,384"
,TOTAL,,188,"$25,351","$19,971"
31511,OTHER,,252,"$34,582","$27,013"
,TOTAL,,252,"$34,582","$27,013"
31512,SG,,12,"$4,868","$3,894"
,OTHER,,32,"$3,895","$3,036"
,TOTAL,,44,"$8,762","$6,930"
31513,SG,,11,"$4,912","$3,849"
,OTHER,,711,"$99,445","$77,559"
,TOTAL,,722,"$104,357","$81,408"
31515,SG,,57,"$13,405","$10,493"
,OTHER,,"1,923","$202,222","$156,874"
,TOTAL,,"1,980","$215,628","$167,368"
31520,OTHER,,39,"$5,237","$4,189"
,TOTAL,,39,"$5,237","$4,189"
31525,SG,,244,"$56,963","$45,095"
,80'S,,1,$12,$10
,OTHER,,"12,714","$2,067,497","$1,623,963"
,TOTAL,,"12,959","$2,124,473","$1,669,068"
31526,SG,,128,"$50,733","$39,640"
,OTHER,,"1,325","$204,335","$160,573"
,TOTAL,,"1,453","$255,068","$200,213"
31527,OTHER,,37,"$6,214","$4,972"
,TOTAL,,37,"$6,214","$4,972"
31528,SG,,6,"$2,124","$1,681"
,OTHER,,152,"$19,701","$15,462"
,TOTAL,,158,"$21,825","$17,143"
31529,OTHER,,71,"$9,442","$7,137"
,TOTAL,,71,"$9,442","$7,137"
31530,SG,,12,"$5,051","$3,961"
,OTHER,,375,"$78,498","$61,677"
,TOTAL,,387,"$83,550","$65,639"
31531,SG,,22,"$10,244","$8,195"
,OTHER,,207,"$36,483","$28,539"
,TOTAL,,229,"$46,727","$36,734"
31535,SG,,634,"$251,755","$199,831"
,80'S,,1,$38,$31
,OTHER,,"8,039","$1,545,886","$1,221,336"
,TOTAL,,"8,674","$1,797,679","$1,421,198"
31536,SG,,823,"$391,353","$310,047"
,OTHER,,"7,472","$1,758,111","$1,386,651"
,TOTAL,,"8,295","$2,149,464","$1,696,698"
31540,SG,,142,"$67,140","$52,738"
,OTHER,,"1,334","$369,143","$291,252"
,TOTAL,,"1,476","$436,283","$343,990"
31541,SG,,939,"$609,056","$433,833"
,OTHER,,"10,418","$3,149,851","$2,485,617"
,TOTAL,,"11,357","$3,758,907","$2,919,450"
31560,SG,,1,$653,$522
,OTHER,,29,"$10,072","$7,978"
,TOTAL,,30,"$10,725","$8,500"
31561,SG,,4,"$2,679","$2,143"
,80'S,,2,$128,$103
,OTHER,,267,"$82,620","$65,233"
,TOTAL,,273,"$85,427","$67,478"
31570,SG,,25,"$10,315","$8,252"
,OTHER,,"2,014","$546,193","$424,018"
,TOTAL,,"2,039","$556,508","$432,270"
31571,SG,,62,"$21,074","$16,538"
,OTHER,,726,"$173,998","$136,819"
,TOTAL,,788,"$195,072","$153,357"
31575,OTHER,,"386,053","$44,022,322","$33,787,822"
,TOTAL,,"386,053","$44,022,322","$33,787,822"
31576,SG,,16,"$6,637","$5,309"
,OTHER,,462,"$63,827","$50,104"
,TOTAL,,478,"$70,464","$55,414"
31577,SG,,1,$410,$328
,OTHER,,141,"$26,367","$20,697"
,TOTAL,,142,"$26,777","$21,025"
31578,SG,,11,"$4,345","$3,476"
,OTHER,,83,"$17,061","$13,433"
,TOTAL,,94,"$21,406","$16,909"
31579,OTHER,,"13,484","$2,525,294","$1,959,669"
,TOTAL,,"13,484","$2,525,294","$1,959,669"
31580,SG,,1,$641,$513
,80'S,,4,$702,$562
,OTHER,,54,"$45,134","$34,978"
,TOTAL,,59,"$46,477","$36,053"
31582,SG,,1,$670,$536
,OTHER,,116,"$177,301","$141,825"
,TOTAL,,117,"$177,970","$142,360"
31584,80'S,,2,$313,$250
,OTHER,,21,"$27,497","$21,997"
,TOTAL,,23,"$27,809","$22,247"
31585,OTHER,,3,$406,$325
,TOTAL,,3,$406,$325
31586,OTHER,,6,"$4,187","$3,270"
,TOTAL,,6,"$4,187","$3,270"
31587,80'S,,3,$454,$363
,OTHER,,23,"$18,301","$13,986"
,TOTAL,,26,"$18,756","$14,349"
31588,SG,,22,"$14,688","$11,394"
,80'S,,111,"$19,200","$15,280"
,OTHER,,"1,251","$1,328,110","$1,046,160"
,TOTAL,,"1,384","$1,361,999","$1,072,835"
31590,80'S,,4,$244,$195
,OTHER,,12,"$5,536","$4,378"
,TOTAL,,16,"$5,780","$4,573"
31595,OTHER,,11,"$4,364","$3,491"
,TOTAL,,11,"$4,364","$3,491"
31599,80'S,,9,"$1,340","$1,072"
,OTHER,,435,"$141,290","$112,817"
,TOTAL,,444,"$142,630","$113,889"
31600,SG,,8,"$2,518","$2,015"
,80'S,,6,$198,$159
,OTHER,,"40,952","$8,962,891","$7,124,649"
,TOTAL,,"40,966","$8,965,607","$7,126,823"
31601,80'S,,1,$42,$34
,OTHER,,63,"$18,472","$14,530"
,TOTAL,,64,"$18,514","$14,564"
31603,OTHER,,"3,132","$706,622","$561,745"
,TOTAL,,"3,132","$706,622","$561,745"
31605,OTHER,,416,"$89,161","$71,047"
,TOTAL,,416,"$89,161","$71,047"
31610,80'S,,1,$111,$89
,OTHER,,"1,347","$942,399","$748,201"
,TOTAL,,"1,348","$942,511","$748,290"
31611,SG,,42,"$19,932","$15,945"
,80'S,,56,"$3,176","$2,541"
,OTHER,,"1,040","$455,971","$357,646"
,TOTAL,,"1,138","$479,079","$376,132"
31612,SG,,3,$936,$749
,OTHER,,261,"$15,387","$12,107"
,TOTAL,,264,"$16,323","$12,857"
31613,SG,,25,"$8,723","$6,946"
,OTHER,,"1,052","$436,510","$343,719"
,TOTAL,,"1,077","$445,233","$350,665"
31614,SG,,16,"$5,998","$4,798"
,80'S,,1,$97,$77
,OTHER,,401,"$254,082","$201,360"
,TOTAL,,418,"$260,177","$206,236"
31615,SG,,11,"$2,775","$2,220"
,OTHER,,"5,660","$895,268","$700,639"
,TOTAL,,"5,671","$898,043","$702,859"
31622,SG,,"1,160","$313,721","$248,027"
,80'S,,6,$171,$137
,OTHER,,"99,186","$15,755,416","$12,490,151"
,TOTAL,,"100,352","$16,069,308","$12,738,314"
31623,OTHER,,"26,719","$3,037,398","$2,409,599"
,TOTAL,,"26,719","$3,037,398","$2,409,599"
31624,OTHER,,"34,018","$4,125,317","$3,269,915"
,TOTAL,,"34,018","$4,125,317","$3,269,915"
31625,SG,,607,"$248,686","$197,276"
,80'S,,1,$39,$31
,OTHER,,"46,280","$9,263,287","$7,343,294"
,TOTAL,,"46,888","$9,512,011","$7,540,600"
31628,SG,,462,"$187,357","$147,290"
,OTHER,,"49,185","$11,236,896","$8,910,675"
,TOTAL,,"49,647","$11,424,253","$9,057,964"
31629,SG,,93,"$33,074","$26,297"
,OTHER,,"8,335","$1,351,027","$1,070,129"
,TOTAL,,"8,428","$1,384,101","$1,096,426"
31630,SG,,5,"$2,085","$1,668"
,OTHER,,618,"$139,239","$109,825"
,TOTAL,,623,"$141,324","$111,493"
31631,SG,,3,"$1,076",$861
,OTHER,,"1,172","$271,858","$215,442"
,TOTAL,,"1,175","$272,934","$216,303"
31635,SG,,3,"$1,279","$1,023"
,OTHER,,"1,626","$366,993","$289,832"
,TOTAL,,"1,629","$368,272","$290,856"
31640,SG,,1,$447,$357
,OTHER,,362,"$113,177","$89,374"
,TOTAL,,363,"$113,624","$89,731"
31641,SG,,5,"$1,657","$1,326"
,OTHER,,"2,743","$866,922","$685,466"
,TOTAL,,"2,748","$868,580","$686,792"
31643,OTHER,,"1,513","$289,847","$229,717"
,TOTAL,,"1,513","$289,847","$229,717"
31645,SG,,33,"$7,845","$6,196"
,OTHER,,"25,697","$4,811,089","$3,827,872"
,TOTAL,,"25,730","$4,818,935","$3,834,068"
31646,SG,,1,$154,$123
,OTHER,,"4,785","$774,656","$616,558"
,TOTAL,,"4,786","$774,810","$616,681"
31656,80'S,,2,$46,$37
,OTHER,,47,"$5,805","$4,644"
,TOTAL,,49,"$5,852","$4,681"
31700,OTHER,,44,"$3,264","$2,533"
,TOTAL,,44,"$3,264","$2,533"
31708,OTHER,,61,"$4,758","$3,807"
,TOTAL,,61,"$4,758","$3,807"
31710,OTHER,,75,"$4,154","$3,323"
,TOTAL,,75,"$4,154","$3,323"
31715,SG,,1,$324,$259
,OTHER,,4,$254,$203
,TOTAL,,5,$578,$462
31717,OTHER,,94,"$7,938","$6,220"
,TOTAL,,94,"$7,938","$6,220"
31720,OTHER,,751,"$53,543","$42,482"
,TOTAL,,751,"$53,543","$42,482"
31725,OTHER,,666,"$68,899","$55,063"
,TOTAL,,666,"$68,899","$55,063"
31730,SG,,3,$908,$726
,OTHER,,837,"$133,803","$105,717"
,TOTAL,,840,"$134,711","$106,443"
31750,SG,,2,"$1,297","$1,038"
,80'S,,9,"$1,368","$1,094"
,OTHER,,194,"$170,721","$135,009"
,TOTAL,,205,"$173,386","$137,141"
31755,SG,,2,$849,$680
,80'S,,1,$191,$153
,OTHER,,59,"$63,647","$50,556"
,TOTAL,,62,"$64,688","$51,388"
31760,80'S,,3,$574,$459
,OTHER,,16,"$10,806","$8,623"
,TOTAL,,19,"$11,379","$9,082"
31766,80'S,,2,$457,$365
,OTHER,,1,"$1,903","$1,523"
,TOTAL,,3,"$2,360","$1,888"
31770,80'S,,3,$800,$640
,OTHER,,17,"$21,349","$17,079"
,TOTAL,,20,"$22,149","$17,719"
31775,OTHER,,11,"$16,363","$13,090"
,TOTAL,,11,"$16,363","$13,090"
31780,80'S,,7,"$1,472","$1,178"
,OTHER,,73,"$88,949","$68,869"
,TOTAL,,80,"$90,422","$70,047"
31781,OTHER,,27,"$36,739","$28,751"
,TOTAL,,27,"$36,739","$28,751"
31785,80'S,,5,$907,$726
,OTHER,,94,"$82,373","$65,770"
,TOTAL,,99,"$83,280","$66,495"
31786,OTHER,,21,"$27,062","$21,650"
,TOTAL,,21,"$27,062","$21,650"
31800,OTHER,,63,"$29,395","$23,429"
,TOTAL,,63,"$29,395","$23,429"
31805,80'S,,5,$387,$310
,OTHER,,21,"$15,123","$12,099"
,TOTAL,,26,"$15,511","$12,409"
31820,SG,,17,"$4,724","$3,779"
,OTHER,,291,"$116,088","$90,327"
,TOTAL,,308,"$120,812","$94,106"
31825,SG,,13,"$5,342","$4,273"
,80'S,,1,$106,$85
,OTHER,,237,"$143,108","$111,711"
,TOTAL,,251,"$148,556","$116,069"
31830,SG,,14,"$5,605","$4,484"
,OTHER,,132,"$51,557","$40,580"
,TOTAL,,146,"$57,161","$45,064"
31899,OTHER,,360,"$63,831","$50,907"
,TOTAL,,360,"$63,831","$50,907"
32000,SG,,424,"$129,154","$102,593"
,OTHER,,"161,072","$14,176,753","$11,233,891"
,TOTAL,,"161,496","$14,305,907","$11,336,484"
32002,SG,,10,"$3,747","$2,998"
,OTHER,,"35,073","$4,373,369","$3,476,108"
,TOTAL,,"35,083","$4,377,116","$3,479,106"
32005,SG,,1,$452,$361
,80'S,,1,$20,$16
,OTHER,,"9,276","$1,109,291","$882,478"
,TOTAL,,"9,278","$1,109,763","$882,856"
32020,SG,,3,"$1,217",$974
,80'S,,3,$111,$88
,OTHER,,"57,052","$13,295,789","$10,556,093"
,TOTAL,,"57,058","$13,297,117","$10,557,155"
32035,80'S,,23,"$2,237","$1,710"
,OTHER,,189,"$113,609","$90,463"
,TOTAL,,212,"$115,846","$92,173"
32036,80'S,,32,"$4,766","$3,733"
,OTHER,,311,"$213,993","$171,040"
,TOTAL,,343,"$218,759","$174,773"
32095,80'S,,282,"$29,947","$23,781"
,OTHER,,"2,647","$1,535,403","$1,217,890"
,TOTAL,,"2,929","$1,565,350","$1,241,670"
32100,80'S,,707,"$98,981","$78,189"
,OTHER,,"3,665","$2,831,120","$2,248,769"
,TOTAL,,"4,372","$2,930,101","$2,326,959"
32110,80'S,,107,"$15,175","$12,140"
,OTHER,,529,"$437,987","$346,923"
,TOTAL,,636,"$453,162","$359,063"
32120,80'S,,98,"$12,052","$9,641"
,OTHER,,843,"$561,812","$449,391"
,TOTAL,,941,"$573,864","$459,033"
32124,80'S,,178,"$17,345","$13,806"
,OTHER,,736,"$423,472","$336,459"
,TOTAL,,914,"$440,817","$350,265"
32140,80'S,,42,"$6,986","$5,589"
,OTHER,,150,"$134,356","$107,077"
,TOTAL,,192,"$141,343","$112,666"
32141,80'S,,158,"$22,934","$18,053"
,OTHER,,829,"$675,960","$534,713"
,TOTAL,,987,"$698,894","$552,766"
32150,80'S,,27,"$3,674","$2,939"
,OTHER,,231,"$177,125","$141,621"
,TOTAL,,258,"$180,800","$144,560"
32151,80'S,,4,$536,$429
,OTHER,,22,"$17,116","$13,693"
,TOTAL,,26,"$17,652","$14,122"
32160,80'S,,33,"$2,603","$2,083"
,OTHER,,288,"$145,057","$115,157"
,TOTAL,,321,"$147,660","$117,240"
32200,80'S,,13,"$1,484","$1,187"
,OTHER,,109,"$92,160","$73,548"
,TOTAL,,122,"$93,644","$74,735"
32201,80'S,,1,$50,$40
,OTHER,,540,"$198,045","$157,875"
,TOTAL,,541,"$198,095","$157,915"
32215,80'S,,24,"$2,308","$1,846"
,OTHER,,265,"$165,517","$131,073"
,TOTAL,,289,"$167,824","$132,919"
32220,80'S,,393,"$85,919","$68,225"
,OTHER,,"2,826","$3,028,470","$2,409,410"
,TOTAL,,"3,219","$3,114,388","$2,477,635"
32225,80'S,,103,"$14,802","$11,836"
,OTHER,,835,"$696,927","$554,348"
,TOTAL,,938,"$711,729","$566,183"
32310,80'S,,121,"$12,822","$10,153"
,OTHER,,437,"$279,040","$222,240"
,TOTAL,,558,"$291,862","$232,394"
32320,80'S,,231,"$54,518","$43,288"
,OTHER,,"1,157","$1,561,813","$1,234,515"
,TOTAL,,"1,388","$1,616,331","$1,277,803"
32400,SG,,2,$321,$257
,80'S,,2,$19,$15
,OTHER,,"3,095","$303,573","$241,157"
,TOTAL,,"3,099","$303,913","$241,429"
32402,80'S,,37,"$2,868","$2,240"
