CPT only copyright 2009 American Medical Association. All rights reserved.,,,,,,
,,,,,,
"Part B National Summary Data File
Code Range: 02) Surgery (10000 - 69999)",,,,,,
,,,,,,
DESCRIPTION,HCPCS,MODIFIER,ALLOWED SERVICES,ALLOWED CHARGES,PAYMENT,
,,SG,N/A,"$3,015.73","$2,386.36",
,,OTHER,"65,659","$8,332,854.22","$6,605,786.68",
,33234,TOTAL,"3,883","$1,498,112.59","$1,189,701.45",
,,80S,N/A,$88.87,$71.10,
,,SG,N/A,$480.89,$384.71,
,,OTHER,"3,881","$1,497,542.83","$1,189,245.64",
,33235,TOTAL,"3,565","$1,992,946.91","$1,584,412.71",
,,80S,N/A,$47.73,$38.18,
,,OTHER,"3,564","$1,992,899.18","$1,584,374.53",
,33236,TOTAL,77,"$36,581.79","$29,157.43",
,,80S,12,$947.91,$758.33,
,,OTHER,65,"$35,633.88","$28,399.10",
,33237,TOTAL,77,"$53,001.86","$42,275.43",
,,80S,N/A,$531.98,$425.59,
,,OTHER,71,"$52,469.88","$41,849.84",
,33238,TOTAL,111,"$63,244.42","$50,697.50",
,,80S,17,"$1,452.57","$1,162.06",
,,OTHER,94,"$61,791.85","$49,535.44",
,33240,TOTAL,"34,768","$16,328,128.14","$12,892,366.73",
,,80S,N/A,$33.61,$26.89,
,,OTHER,"34,767","$16,328,094.53","$12,892,339.84",
,33241,TOTAL,"41,393","$4,923,359.87","$3,890,612.48",
,,80S,79,"$2,074.73","$1,659.81",
,,OTHER,"41,314","$4,921,285.14","$3,888,952.67",
,33243,TOTAL,400,"$329,633.58","$262,686.58",
,,80S,83,"$10,912.56","$8,730.05",
,,OTHER,317,"$318,721.02","$253,956.53",
,33244,TOTAL,"6,050","$4,322,432.09","$3,427,210.69",
,,80S,N/A,$683.66,$546.92,
,,OTHER,"6,045","$4,321,748.43","$3,426,663.77",
,33249,TOTAL,"62,677","$55,901,694.06","$44,392,898.69",
,,80S,N/A,$262.57,$210.06,
,,OTHER,"62,675","$55,901,431.49","$44,392,688.63",
,33250,TOTAL,14,"$16,101.96","$12,881.56",
,,80S,N/A,$191.14,$152.91,
,,OTHER,13,"$15,910.82","$12,728.65",
,33251,TOTAL,152,"$79,239.98","$62,830.65",
,,80S,68,"$8,213.71","$6,570.90",
,,OTHER,84,"$71,026.27","$56,259.75",
,33254,TOTAL,111,"$99,309.61","$79,426.04",
,,80S,38,"$6,945.93","$5,556.78",
,,OTHER,73,"$92,363.68","$73,869.26",
,33255,TOTAL,146,"$160,449.34","$128,251.46",
,,80S,42,"$9,735.22","$7,788.16",
,,OTHER,104,"$150,714.12","$120,463.30",
,33256,TOTAL,142,"$206,396.88","$159,703.13",
,,80S,42,"$11,605.88","$9,052.93",
,,OTHER,100,"$194,791.00","$150,650.20",
,33257,TOTAL,"6,342","$2,394,817.65","$1,904,144.44",
,,80S,"2,398","$195,396.02","$155,660.53",
,,OTHER,"3,944","$2,199,421.63","$1,748,483.91",
,33258,TOTAL,247,"$98,068.52","$78,062.45",
,,80S,103,"$9,271.85","$7,417.42",
,,OTHER,144,"$88,796.67","$70,645.03",
,33259,TOTAL,"7,453","$4,151,556.98","$3,302,717.11",
,,80S,"2,884","$351,848.07","$279,999.52",
,,OTHER,"4,569","$3,799,708.91","$3,022,717.59",
,33261,TOTAL,66,"$41,998.72","$33,598.95",
,,80S,21,"$2,791.03","$2,232.83",
,,OTHER,45,"$39,207.69","$31,366.12",
,33265,TOTAL,139,"$131,577.78","$103,305.43",
,,80S,44,"$8,209.34","$6,482.66",
,,OTHER,95,"$123,368.44","$96,822.77",
,33266,TOTAL,273,"$343,137.48","$272,043.99",
,,80S,88,"$22,729.57","$18,017.03",
,,OTHER,185,"$320,407.91","$254,026.96",
,33282,TOTAL,"5,203","$1,542,530.92","$1,218,310.75",
,,80S,0,$0.00,$0.00,
,,OTHER,"5,203","$1,542,530.92","$1,218,310.75",
