Medicare Part Physician/Supplier BESS Data,,,,,
For Calendar Year 2000,,,,,
Code Ranges 30000 - 32999,,,,,
,,,,,
HCPCS,MODIFIER,DESCRIPTION,ALLOWED SERVICES,ALLOWED CHARGES,PAYMENT
,TOTAL,,897,"$151,823","$119,726"
31030,SG,,46,"$18,111","$14,143"
,80'S,,1,$74,$59
,OTHER,,895,"$289,617","$228,538"
,TOTAL,,942,"$307,803","$242,740"
31032,SG,,37,"$20,545","$16,318"
,OTHER,,456,"$209,745","$165,684"
,TOTAL,,493,"$230,290","$182,002"
31040,OTHER,,232,"$33,649","$26,590"
,TOTAL,,232,"$33,649","$26,590"
31050,SG,,7,"$1,982","$1,586"
,OTHER,,188,"$49,449","$38,840"
,TOTAL,,195,"$51,432","$40,425"
31051,SG,,10,"$4,780","$3,824"
,OTHER,,151,"$61,768","$48,947"
,TOTAL,,161,"$66,548","$52,771"
31070,SG,,36,"$9,744","$7,542"
,OTHER,,239,"$51,387","$40,864"
,TOTAL,,275,"$61,131","$48,405"
31075,SG,,6,"$2,229","$1,783"
,80'S,,4,$456,$365
,OTHER,,141,"$84,882","$67,079"
,TOTAL,,151,"$87,567","$69,227"
31080,SG,,1,$592,$473
,80'S,,4,$316,$253
,OTHER,,31,"$13,867","$11,091"
,TOTAL,,36,"$14,774","$11,817"
31081,80'S,,10,$975,$780
,OTHER,,58,"$34,138","$27,247"
,TOTAL,,68,"$35,113","$28,027"
31084,SG,,1,$310,$248
,80'S,,8,"$1,242",$993
,OTHER,,45,"$40,138","$32,089"
,TOTAL,,54,"$41,690","$33,330"
31085,80'S,,12,"$1,651","$1,321"
,OTHER,,113,"$101,034","$80,744"
,TOTAL,,125,"$102,685","$82,065"
31086,80'S,,1,$140,$112
,OTHER,,8,"$6,839","$5,471"
,TOTAL,,9,"$6,979","$5,583"
31087,80'S,,1,$65,$52
,OTHER,,14,"$8,479","$6,783"
,TOTAL,,15,"$8,544","$6,836"
